time,Toronto,pts.away,score,pts.home,Denver
10:30.0,Defensive rebound by N. Powell,,51-60,,
10:20.0,S. Ibaka misses 3-pt shot from 23 ft,,51-60,,
10:18.0,,,51-60,,Defensive rebound by N. Jokic
10:13.0,,,51-63,3,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic)
9:50.0,S. Ibaka misses 2-pt shot from 17 ft,,51-63,,
9:48.0,,,51-63,,Defensive rebound by N. Jokic
9:44.0,,,51-65,2,W. Chandler makes 2-pt shot from 3 ft (assist by N. Jokic)
9:26.0,K. Lowry misses 3-pt shot from 23 ft,,51-65,,
9:26.0,,,51-65,,Defensive rebound by Team
9:26.0,Personal foul by J. Valanciunas (drawn by N. Jokic),,51-65,,
9:09.0,,,51-65,,Shooting foul by K. Lowry (drawn by J. Murray)
9:09.0,,,51-66,1,J. Murray makes free throw 1 of 2
9:09.0,,,51-67,1,J. Murray makes free throw 2 of 2
8:45.0,N. Powell misses 3-pt shot from 23 ft,,51-67,,
8:42.0,,,51-67,,Defensive rebound by J. Murray
8:38.0,,,51-69,2,J. Murray makes 2-pt shot from 4 ft
8:19.0,N. Powell makes 3-pt shot from 25 ft (assist by K. Lowry),3,54-69,,
8:00.0,,,54-72,3,J. Murray makes 3-pt shot from 25 ft
7:46.0,Turnover by K. Lowry (bad pass; steal by P. Millsap),,54-72,,
7:46.0,Personal foul by N. Powell (drawn by N. Jokic),,54-72,,
7:46.0,L. Nogueira enters the game for J. Valanciunas,,54-72,,
7:31.0,,,54-74,2,W. Chandler makes 2-pt shot from 6 ft (assist by N. Jokic)
7:10.0,S. Ibaka makes 2-pt shot from 10 ft (assist by D. DeRozan),2,56-74,,
6:57.0,,,56-76,2,W. Chandler makes 2-pt shot from 5 ft
6:57.0,,,56-76,,Shooting foul by L. Nogueira (drawn by W. Chandler)
6:57.0,,,56-76,,Denver full timeout
6:57.0,P. Siakam enters the game for S. Ibaka,,56-76,,
6:57.0,,,56-77,1,W. Chandler makes free throw 1 of 1
6:33.0,P. Siakam misses 2-pt shot from 7 ft,,56-77,,
6:31.0,,,56-77,,Defensive rebound by N. Jokic
6:27.0,,,56-77,,Offensive charge foul by G. Harris (drawn by K. Lowry)
6:27.0,,,56-77,,Turnover by G. Harris (offensive foul)
6:11.0,Turnover by D. DeRozan (bad pass),,56-77,,
5:59.0,,,56-77,,N. Jokic misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by P. Siakam,,56-77,,
5:46.0,K. Lowry misses 3-pt shot from 26 ft,,56-77,,
5:42.0,,,56-77,,Defensive rebound by N. Jokic
5:33.0,,,56-77,,N. Jokic misses 2-pt shot from 9 ft
5:32.0,,,56-77,,Offensive rebound by P. Millsap
5:30.0,,,56-80,3,J. Murray makes 3-pt shot from 25 ft (assist by P. Millsap)
5:22.0,,,56-80,,Personal foul by J. Murray (drawn by N. Powell)
5:22.0,,,56-80,,W. Barton enters the game for N. Jokic
5:22.0,,,56-80,,M. Plumlee enters the game for W. Chandler
5:19.0,Shooting foul by G. Harris (drawn by D. DeRozan),,56-80,,
5:19.0,D. DeRozan makes free throw 1 of 2,1,57-80,,
5:19.0,D. DeRozan makes free throw 2 of 2,1,58-80,,
5:09.0,Personal foul by K. Lowry (drawn by J. Murray),,58-80,,
5:09.0,,,58-80,,J. Murray misses free throw 1 of 2
5:09.0,,,58-80,,Offensive rebound by Team
5:09.0,,,58-81,1,J. Murray makes free throw 2 of 2
4:58.0,N. Powell misses 3-pt shot from 25 ft,,58-81,,
4:56.0,Offensive rebound by P. Siakam,,58-81,,
4:47.0,Turnover by D. DeRozan (lost ball; steal by W. Barton),,58-81,,
4:42.0,,,58-84,3,W. Barton makes 3-pt shot from 26 ft (assist by P. Millsap)
4:38.0,Toronto full timeout,,58-84,,
4:38.0,D. Wright enters the game for K. Lowry,,58-84,,
4:38.0,C. Miles enters the game for D. DeRozan,,58-84,,
4:24.0,Turnover by D. Wright (lost ball; steal by P. Millsap),,58-84,,
4:17.0,,,58-87,3,G. Harris makes 3-pt shot from 26 ft (assist by M. Plumlee)
4:01.0,Turnover by C. Miles (lost ball; steal by W. Barton),,58-87,,
3:55.0,,,58-89,2,J. Murray makes 2-pt shot from 3 ft (assist by G. Harris)
3:37.0,N. Powell makes 2-pt shot from 2 ft (assist by P. Siakam),2,60-89,,
