time,Denver,pts.away,score,pts.home,Houston
4:05.0,Defensive rebound by T. Lyles,,72-120,,
3:56.0,M. Plumlee makes 2-pt shot at rim (assist by J. Hernangomez),2,74-120,,
3:41.0,,,74-120,,T. Black misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by T. Lyles,,74-120,,
3:27.0,T. Lyles makes 3-pt shot from 23 ft (assist by M. Plumlee),3,77-120,,
3:07.0,,,77-120,,Turnover by B. Brown (lost ball; steal by M. Plumlee)
2:56.0,M. Beasley makes 3-pt shot from 26 ft (assist by T. Lyles),3,80-120,,
2:33.0,,,80-120,,B. Brown misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by M. Plumlee,,80-120,,
2:26.0,M. Beasley misses 2-pt shot from 22 ft,,80-120,,
2:22.0,,,80-120,,Defensive rebound by T. Williams
2:17.0,,,80-120,,T. Williams misses 3-pt shot from 27 ft
2:15.0,Defensive rebound by M. Plumlee,,80-120,,
2:03.0,M. Beasley makes 3-pt shot from 23 ft (assist by M. Plumlee),3,83-120,,
1:47.0,,,83-120,,Z. Qi misses 3-pt shot from 23 ft
1:43.0,Defensive rebound by M. Beasley,,83-120,,
1:34.0,J. Hernangomez makes 3-pt shot from 27 ft,3,86-120,,
1:34.0,Shooting foul by T. Williams (drawn by J. Hernangomez),,86-120,,
1:34.0,J. Hernangomez makes free throw 1 of 1,1,87-120,,
1:16.0,,,87-122,2,T. Black makes 2-pt shot at rim
1:04.0,J. Hernangomez makes 3-pt shot from 25 ft (assist by T. Lyles),3,90-122,,
0:45.0,,,90-122,,B. Brown misses 3-pt shot from 29 ft
0:40.0,Defensive rebound by E. Mudiay,,90-122,,
0:40.0,M. Beasley makes 2-pt shot from 1 ft (assist by E. Mudiay),2,92-122,,
0:23.0,,,92-125,3,Z. Qi makes 3-pt shot from 24 ft (assist by T. Williams)
0:07.0,M. Plumlee makes 2-pt shot from 1 ft,2,94-125,,
0:07.0,Shooting foul by Z. Qi (drawn by M. Plumlee),,94-125,,
0:07.0,M. Plumlee makes free throw 1 of 1,1,95-125,,
0:04.0,,,95-125,,Turnover by B. Weber (lost ball; steal by M. Beasley)
