time,LA Lakers,pts.away,score,pts.home,Denver
5:09.0,,,81-88,,W. Barton misses 2-pt shot from 2 ft (block by L. Ball)
5:06.0,Defensive rebound by K. Caldwell-Pope,,81-88,,
4:56.0,I. Thomas makes 2-pt shot from 5 ft (assist by K. Kuzma),2,83-88,,
4:56.0,,,83-88,,Denver full timeout
4:56.0,,,83-88,,J. Hernangomez enters the game for W. Barton
4:37.0,,,83-90,2,N. Jokic makes 2-pt shot from 6 ft
4:14.0,K. Kuzma makes 2-pt shot from 21 ft (assist by J. Randle),2,85-90,,
4:03.0,,,85-90,,N. Jokic misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by L. Ball,,85-90,,
3:57.0,I. Thomas misses 3-pt shot from 24 ft,,85-90,,
3:53.0,,,85-90,,Defensive rebound by P. Millsap
3:41.0,,,85-90,,P. Millsap misses 2-pt shot from 8 ft
3:38.0,Defensive rebound by K. Caldwell-Pope,,85-90,,
3:27.0,L. Ball makes 2-pt shot from 19 ft,2,87-90,,
3:17.0,,,87-90,,Turnover by N. Jokic (bad pass; steal by L. Ball)
3:12.0,J. Randle makes 2-pt shot from 2 ft (assist by L. Ball),2,89-90,,
2:53.0,,,89-90,,Turnover by N. Jokic (lost ball; steal by J. Randle)
2:48.0,K. Kuzma misses 3-pt shot from 22 ft,,89-90,,
2:44.0,Offensive rebound by K. Kuzma,,89-90,,
2:44.0,K. Kuzma makes 2-pt shot from 1 ft,2,91-90,,
2:44.0,,,91-90,,Denver full timeout
2:44.0,,,91-90,,D. Harris enters the game for P. Millsap
2:44.0,,,91-90,,M. Plumlee enters the game for N. Jokic
2:44.0,,,91-90,,W. Barton enters the game for J. Murray
2:44.0,T. Ennis enters the game for K. Caldwell-Pope,,91-90,,
2:31.0,,,91-90,,G. Harris misses 2-pt shot from 14 ft
2:29.0,Defensive rebound by Team,,91-90,,
2:29.0,,,91-90,,Loose ball foul by M. Plumlee (drawn by J. Randle)
2:09.0,I. Thomas misses 2-pt shot from 3 ft,,91-90,,
2:08.0,Offensive rebound by K. Kuzma,,91-90,,
2:08.0,K. Kuzma misses 2-pt shot from 1 ft,,91-90,,
2:08.0,,,91-90,,Defensive rebound by G. Harris
2:00.0,,,91-90,,G. Harris misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by L. Ball,,91-90,,
1:53.0,K. Kuzma misses 2-pt shot from 2 ft,,91-90,,
1:50.0,Offensive rebound by L. Ball,,91-90,,
1:50.0,L. Ball makes 2-pt shot at rim,2,93-90,,
1:27.0,,,93-93,3,D. Harris makes 3-pt shot from 22 ft (assist by W. Barton)
1:16.0,Shooting foul by M. Plumlee (drawn by J. Randle),,93-93,,
1:16.0,J. Randle makes free throw 1 of 2,1,94-93,,
1:16.0,J. Randle misses free throw 2 of 2,,94-93,,
1:14.0,,,94-93,,Defensive rebound by J. Hernangomez
0:55.0,,,94-93,,J. Hernangomez misses 2-pt shot from 5 ft (block by T. Ennis)
0:52.0,Defensive rebound by J. Randle,,94-93,,
0:49.0,J. Randle makes 2-pt shot from 2 ft,2,96-93,,
0:42.0,,,96-93,,Shooting foul by L. Ball (drawn by D. Harris)
0:42.0,,,96-94,1,D. Harris makes free throw 1 of 2
0:42.0,I. Zubac enters the game for J. Randle,,96-94,,
0:42.0,,,96-94,,D. Harris misses free throw 2 of 2
0:40.0,Defensive rebound by K. Kuzma,,96-94,,
0:30.0,K. Kuzma misses 2-pt shot from 19 ft,,96-94,,
0:30.0,,,96-94,,Defensive rebound by G. Harris
0:07.0,,,96-94,,G. Harris misses 3-pt shot from 22 ft
0:03.0,Defensive rebound by I. Zubac,,96-94,,
0:00.0,L. Ball misses 3-pt shot from 29 ft,,96-94,,
0:00.0,Offensive rebound by Team,,96-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,96-94,,Personal foul by D. Harris (drawn by I. Thomas)
11:44.0,I. Thomas misses 2-pt shot from 12 ft,,96-94,,
11:41.0,Offensive rebound by Team,,96-94,,
11:26.0,I. Thomas misses 2-pt shot from 14 ft,,96-94,,
11:22.0,Offensive rebound by I. Zubac,,96-94,,
11:22.0,I. Zubac misses 2-pt shot at rim,,96-94,,
11:22.0,Offensive rebound by Team,,96-94,,
11:20.0,I. Thomas makes 2-pt shot from 14 ft (assist by K. Caldwell-Pope),2,98-94,,
11:03.0,,,98-94,,T. Lyles misses 2-pt shot from 6 ft
