time,Brooklyn,pts.away,score,pts.home,San Antonio
2:45.0,,,92-100,,Defensive rebound by L. Aldridge
2:42.0,,,92-100,,K. Leonard misses 2-pt shot from 1 ft
2:42.0,,,92-100,,Offensive rebound by M. Ginobili
2:42.0,,,92-102,2,M. Ginobili makes 2-pt shot at rim
2:42.0,,,92-102,,Shooting foul by S. Dinwiddie (drawn by M. Ginobili)
2:42.0,,,92-102,,D. Green enters the game for P. Gasol
2:42.0,,,92-103,1,M. Ginobili makes free throw 1 of 1
2:34.0,S. Dinwiddie misses 2-pt shot from 18 ft,,92-103,,
2:34.0,Offensive rebound by Team,,92-103,,
2:34.0,,,92-103,,Loose ball foul by P. Mills (drawn by D. Carroll)
2:28.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by L. Aldridge),,92-103,,
2:22.0,,,92-103,,Defensive rebound by D. Green
2:22.0,Personal foul by S. Dinwiddie (drawn by K. Leonard),,92-103,,
2:11.0,,,92-105,2,K. Leonard makes 2-pt shot from 1 ft
2:04.0,C. LeVert makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,95-105,,
1:40.0,,,95-107,2,K. Leonard makes 2-pt shot from 9 ft
1:40.0,Brooklyn full timeout,,95-107,,
1:40.0,,,95-107,,J. Lauvergne enters the game for P. Mills
1:40.0,,,95-107,,D. Murray enters the game for L. Aldridge
1:40.0,J. Harris enters the game for S. Dinwiddie,,95-107,,
1:40.0,Q. Acy enters the game for D. Carroll,,95-107,,
1:40.0,J. Allen enters the game for C. LeVert,,95-107,,
1:40.0,M. Doyle enters the game for R. Hollis-Jefferson,,95-107,,
1:40.0,N. Stauskas enters the game for A. Crabbe,,95-107,,
1:33.0,J. Allen misses 2-pt shot from 16 ft,,95-107,,
1:30.0,,,95-107,,Defensive rebound by D. Murray
1:25.0,,,95-107,,Turnover by D. Murray (out of bounds lost ball)
1:25.0,,,95-107,,D. Bertans enters the game for K. Leonard
1:25.0,,,95-107,,B. Forbes enters the game for M. Ginobili
1:13.0,Q. Acy misses 3-pt shot from 22 ft,,95-107,,
1:09.0,,,95-107,,Defensive rebound by D. Murray
0:59.0,,,95-107,,B. Forbes misses 2-pt shot from 7 ft
0:54.0,Defensive rebound by J. Allen,,95-107,,
0:54.0,,,95-107,,Personal foul by B. Forbes (drawn by J. Allen)
0:54.0,,,95-107,,K. Anderson enters the game for D. Green
0:54.0,C. LeVert enters the game for J. Harris,,95-107,,
0:46.0,M. Doyle misses 2-pt shot from 7 ft,,95-107,,
0:42.0,,,95-107,,Defensive rebound by D. Bertans
0:26.0,,,95-109,2,D. Murray makes 2-pt shot from 1 ft
0:17.0,,,95-109,,Personal foul by B. Forbes (drawn by M. Doyle)
0:17.0,M. Doyle makes free throw 1 of 2,1,96-109,,
0:17.0,M. Doyle makes free throw 2 of 2,1,97-109,,
