time,Minnesota,pts.away,score,pts.home,Boston
2:23.0,,,78-87,,K. Irving misses 2-pt shot from 6 ft (block by K. Towns)
2:19.0,Defensive rebound by K. Towns,,78-87,,
2:12.0,J. Butler misses 3-pt shot from 23 ft,,78-87,,
2:10.0,,,78-87,,Defensive rebound by K. Irving
2:06.0,,,78-87,,Turnover by J. Brown (lost ball; steal by J. Butler)
2:00.0,Turnover by J. Butler (lost ball; steal by A. Horford),,78-87,,
1:54.0,,,78-89,2,J. Tatum makes 2-pt shot from 1 ft (assist by M. Smart)
1:54.0,Minnesota full timeout,,78-89,,
1:44.0,Turnover by J. Butler (bad pass; steal by K. Irving),,78-89,,
1:38.0,,,78-89,,J. Brown misses 2-pt shot from 1 ft
1:36.0,,,78-89,,Offensive rebound by A. Horford
1:18.0,,,78-89,,K. Irving misses 2-pt shot from 17 ft
1:15.0,Defensive rebound by K. Towns,,78-89,,
1:11.0,Shooting foul by J. Brown (drawn by A. Wiggins),,78-89,,
1:11.0,A. Wiggins misses free throw 1 of 2,,78-89,,
1:11.0,Offensive rebound by Team,,78-89,,
1:11.0,A. Wiggins makes free throw 2 of 2,1,79-89,,
0:47.0,,,79-89,,K. Irving misses 3-pt shot from 27 ft
0:43.0,Defensive rebound by T. Gibson,,79-89,,
0:39.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,81-89,,
0:38.0,Personal take foul by K. Towns (drawn by M. Smart),,81-89,,
0:15.0,,,81-91,2,J. Brown makes 2-pt shot from 16 ft (assist by M. Smart)
0:11.0,T. Jones makes 3-pt shot from 25 ft,3,84-91,,
