time,Philadelphia,pts.away,score,pts.home,Portland
4:33.0,,,90-97,,Turnover by C. McCollum (lost ball; steal by T. McConnell)
4:24.0,D. Saric makes 3-pt shot from 24 ft (assist by J. Redick),3,93-97,,
4:06.0,,,93-100,3,M. Harkless makes 3-pt shot from 22 ft (assist by S. Napier)
3:46.0,B. Simmons misses 2-pt shot from 1 ft (block by M. Harkless),,93-100,,
3:44.0,,,93-100,,Defensive rebound by C. McCollum
3:42.0,,,93-100,,C. McCollum misses 2-pt shot from 15 ft
3:41.0,,,93-100,,Offensive rebound by A. Aminu
3:41.0,Personal foul by J. Embiid (drawn by A. Aminu),,93-100,,
3:41.0,,,93-100,,A. Aminu misses free throw 1 of 2
3:41.0,,,93-100,,Offensive rebound by Team
3:41.0,,,93-100,,A. Aminu misses free throw 2 of 2
3:38.0,Defensive rebound by B. Simmons,,93-100,,
3:25.0,J. Embiid misses 2-pt shot from 4 ft,,93-100,,
3:23.0,,,93-100,,Defensive rebound by M. Harkless
3:23.0,,,93-100,,Portland full timeout
3:09.0,,,93-103,3,M. Harkless makes 3-pt shot from 23 ft (assist by C. McCollum)
2:43.0,J. Redick makes 3-pt shot from 28 ft (assist by J. Embiid),3,96-103,,
2:24.0,,,96-103,,C. McCollum misses 2-pt shot from 16 ft
2:22.0,Defensive rebound by D. Saric,,96-103,,
2:17.0,J. Redick misses 3-pt shot from 25 ft,,96-103,,
2:14.0,Offensive rebound by D. Saric,,96-103,,
2:06.0,J. Embiid makes 3-pt shot from 22 ft (assist by D. Saric),3,99-103,,
1:44.0,,,99-103,,Shooting foul by D. Saric (drawn by J. Nurkic)
1:44.0,,,99-104,1,J. Nurkic makes free throw 1 of 2
1:44.0,,,99-105,1,J. Nurkic makes free throw 2 of 2
1:25.0,J. Embiid misses 2-pt shot from 1 ft,,99-105,,
1:22.0,,,99-105,,Defensive rebound by S. Napier
1:07.0,,,99-107,2,C. McCollum makes 2-pt shot from 8 ft
1:07.0,Philadelphia full timeout,,99-107,,
1:00.0,Turnover by B. Simmons (lost ball; steal by M. Harkless),,99-107,,
0:35.0,,,99-107,,A. Aminu misses 3-pt shot from 27 ft
0:32.0,Defensive rebound by J. Embiid,,99-107,,
0:24.0,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons),3,102-107,,
0:19.0,Personal take foul by J. Redick (drawn by C. McCollum),,102-107,,
0:19.0,,,102-108,1,C. McCollum makes free throw 1 of 2
0:19.0,,,102-109,1,C. McCollum makes free throw 2 of 2
0:16.0,J. Embiid makes 3-pt shot from 25 ft (assist by B. Simmons),3,105-109,,
0:15.0,,,105-109,,Turnover by S. Napier (bad pass)
0:14.0,Turnover by B. Simmons (bad pass; steal by C. McCollum),,105-109,,
0:14.0,Personal take foul by J. Redick (drawn by C. McCollum),,105-109,,
0:14.0,,,105-110,1,C. McCollum makes free throw 1 of 2
0:14.0,,,105-111,1,C. McCollum makes free throw 2 of 2
0:09.0,J. Embiid makes 3-pt shot from 32 ft (assist by D. Saric),2,108-111,,
0:09.0,,,108-112,1,C. McCollum makes technical free throw
0:09.0,,,108-112,,Portland full timeout
0:09.0,,,108-112,,E. Turner enters the game for M. Harkless
0:09.0,,,108-112,,P. Connaughton enters the game for J. Nurkic
0:05.0,Personal take foul by B. Simmons (drawn by P. Connaughton),,108-112,,
0:05.0,,,108-113,1,P. Connaughton makes free throw 1 of 2
0:05.0,,,108-114,1,P. Connaughton makes free throw 2 of 2
0:00.0,J. Redick makes 2-pt shot at rim (assist by B. Simmons),2,110-114,,
