time,Chicago,pts.away,score,pts.home,Miami
2:06.0,L. Markkanen misses 3-pt shot from 25 ft,,75-89,,
2:02.0,Offensive rebound by J. Grant,,75-89,,
2:00.0,J. Grant makes 3-pt shot from 25 ft (assist by K. Dunn),3,78-89,,
1:40.0,,,78-89,,W. Ellington misses 2-pt shot from 21 ft
1:37.0,Defensive rebound by L. Markkanen,,78-89,,
1:29.0,Shooting foul by T. Johnson (drawn by L. Markkanen),,78-89,,
1:29.0,L. Markkanen misses free throw 1 of 2,,78-89,,
1:29.0,Offensive rebound by Team,,78-89,,
1:29.0,L. Markkanen makes free throw 2 of 2,1,79-89,,
1:04.0,,,79-89,,D. Waiters misses 2-pt shot from 19 ft
1:00.0,Defensive rebound by K. Dunn,,79-89,,
0:59.0,J. Holiday makes 3-pt shot from 23 ft (assist by K. Dunn),3,82-89,,
0:59.0,,,82-89,,Miami full timeout
0:59.0,,,82-89,,G. Dragic enters the game for W. Ellington
0:46.0,,,82-91,2,J. Winslow makes 2-pt shot from 9 ft (assist by G. Dragic)
0:27.0,J. Grant makes 3-pt shot from 25 ft,3,85-91,,
0:24.0,Personal foul by K. Dunn (drawn by J. Winslow),,85-91,,
0:24.0,,,85-92,1,J. Winslow makes free throw 1 of 2
0:24.0,,,85-93,1,J. Winslow makes free throw 2 of 2
0:15.0,L. Markkanen misses 3-pt shot from 23 ft,,85-93,,
0:14.0,,,85-93,,Defensive rebound by G. Dragic
0:14.0,Personal foul by J. Grant (drawn by G. Dragic),,85-93,,
0:14.0,,,85-94,1,G. Dragic makes free throw 1 of 2
0:14.0,,,85-95,1,G. Dragic makes free throw 2 of 2
0:14.0,Chicago full timeout,,85-95,,
0:09.0,L. Markkanen makes 3-pt shot from 26 ft,3,88-95,,
0:07.0,Personal foul by J. Holiday (drawn by T. Johnson),,88-95,,
0:07.0,,,88-96,1,T. Johnson makes free throw 1 of 2
0:07.0,,,88-97,1,T. Johnson makes free throw 2 of 2
0:00.0,J. Holiday makes 3-pt shot from 23 ft,3,91-97,,
