time,Memphis,pts.away,score,pts.home,Minnesota
5:50.0,B. McLemore misses 2-pt shot from 2 ft,,85-98,,
5:45.0,Offensive rebound by D. Davis,,85-98,,
5:45.0,D. Davis misses 2-pt shot at rim,,85-98,,
5:44.0,,,85-98,,Defensive rebound by A. Wiggins
5:41.0,,,85-98,,Turnover by J. Crawford (bad pass; steal by M. Henry)
5:33.0,M. Brooks misses 2-pt shot from 1 ft,,85-98,,
5:31.0,Offensive rebound by K. Simmons,,85-98,,
5:31.0,K. Simmons makes 2-pt shot at rim,2,87-98,,
5:31.0,,,87-98,,Minnesota full timeout
5:31.0,,,87-98,,T. Jones enters the game for D. Rose
5:08.0,,,87-100,2,J. Teague makes 2-pt shot from 9 ft (assist by K. Towns)
4:43.0,M. Brooks misses 3-pt shot from 25 ft,,87-100,,
4:41.0,Offensive rebound by D. Davis,,87-100,,
4:41.0,D. Davis makes 2-pt shot at rim,2,89-100,,
4:14.0,,,89-100,,J. Teague misses 2-pt shot from 5 ft
4:12.0,,,89-100,,Offensive rebound by J. Teague
4:12.0,,,89-102,2,J. Teague makes 2-pt shot at rim
3:52.0,B. McLemore misses 2-pt shot from 20 ft,,89-102,,
3:48.0,,,89-102,,Defensive rebound by J. Crawford
3:31.0,,,89-104,2,K. Towns makes 2-pt shot at rim (assist by T. Jones)
3:15.0,D. Davis makes 2-pt shot from 1 ft (assist by M. Brooks),2,91-104,,
2:50.0,,,91-104,,J. Crawford misses 2-pt shot from 21 ft
2:47.0,,,91-104,,Offensive rebound by K. Towns
2:29.0,,,91-106,2,J. Teague makes 2-pt shot from 11 ft
2:17.0,Turnover by M. Brooks (bad pass; steal by A. Wiggins),,91-106,,
2:00.0,,,91-108,2,K. Towns makes 2-pt shot at rim (assist by J. Teague)
1:43.0,M. Brooks misses 2-pt shot from 6 ft,,91-108,,
1:39.0,,,91-108,,Defensive rebound by K. Towns
1:20.0,,,91-108,,J. Teague misses 2-pt shot from 1 ft
1:19.0,,,91-108,,Offensive rebound by K. Towns
1:19.0,,,91-110,2,K. Towns makes 2-pt shot at rim
1:04.0,D. Davis misses 2-pt shot from 20 ft,,91-110,,
1:03.0,,,91-110,,Defensive rebound by Team
1:03.0,,,91-110,,C. Aldrich enters the game for J. Teague
1:03.0,,,91-110,,M. Georges-Hunt enters the game for A. Wiggins
1:03.0,,,91-110,,A. Brooks enters the game for K. Towns
1:03.0,O. Johnson enters the game for D. Davis,,91-110,,
0:49.0,,,91-110,,Turnover by A. Brooks (traveling)
0:41.0,K. Simmons makes 3-pt shot from 23 ft (assist by O. Johnson),3,94-110,,
0:22.0,,,94-113,3,M. Georges-Hunt makes 3-pt shot from 22 ft (assist by C. Aldrich)
0:11.0,K. Simmons misses 2-pt shot from 7 ft,,94-113,,
0:09.0,,,94-113,,Defensive rebound by C. Aldrich
