time,Atlanta,pts.away,score,pts.home,Phoenix
3:44.0,Atlanta full timeout,,97-89,,
3:44.0,K. Bazemore enters the game for M. Belinelli,,97-89,,
3:26.0,M. Plumlee misses 2-pt shot at rim (block by M. Chriss),,97-89,,
3:21.0,Offensive rebound by M. Plumlee,,97-89,,
3:20.0,K. Bazemore misses 3-pt shot from 24 ft,,97-89,,
3:18.0,,,97-89,,Defensive rebound by M. Chriss
3:02.0,,,97-89,,T. Warren misses 2-pt shot from 16 ft
2:57.0,,,97-89,,Offensive rebound by T. Chandler
2:57.0,,,97-89,,T. Chandler misses 2-pt shot at rim
2:57.0,Defensive rebound by T. Waller-Prince,,97-89,,
2:53.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,99-89,,
2:48.0,,,99-89,,Turnover by D. Booker (lost ball; steal by D. Schroder)
2:48.0,Turnover by D. Schroder (step out of bounds),,99-89,,
2:34.0,,,99-89,,T. Warren misses 2-pt shot from 19 ft
2:30.0,,,99-89,,Offensive rebound by T. Chandler
2:29.0,,,99-89,,M. Chriss misses 3-pt shot from 25 ft
2:29.0,,,99-89,,Offensive rebound by M. Chriss
2:23.0,,,99-91,2,D. Booker makes 2-pt shot from 1 ft (assist by M. Chriss)
1:57.0,Shooting foul by T. Chandler (drawn by E. Ilyasova),,99-91,,
1:57.0,E. Ilyasova makes free throw 1 of 2,1,100-91,,
1:57.0,E. Ilyasova misses free throw 2 of 2,,100-91,,
1:55.0,,,100-91,,Defensive rebound by M. Chriss
1:50.0,Personal foul by K. Bazemore (drawn by D. Booker),,100-91,,
1:50.0,,,100-92,1,D. Booker makes free throw 1 of 2
1:50.0,,,100-93,1,D. Booker makes free throw 2 of 2
1:37.0,Shooting foul by M. Chriss (drawn by D. Schroder),,100-93,,
1:37.0,D. Schroder makes free throw 1 of 2,1,101-93,,
1:37.0,D. Schroder misses free throw 2 of 2,,101-93,,
1:37.0,,,101-93,,Defensive rebound by M. Chriss
1:29.0,,,101-96,3,M. Chriss makes 3-pt shot from 26 ft (assist by D. Booker)
1:05.0,Turnover by K. Bazemore (lost ball; steal by D. Booker),,101-96,,
0:58.0,,,101-96,,T. Daniels misses 3-pt shot from 28 ft
0:56.0,Defensive rebound by M. Plumlee,,101-96,,
0:43.0,,,101-96,,Personal take foul by T. Chandler (drawn by M. Plumlee)
0:43.0,M. Plumlee misses free throw 1 of 2,,101-96,,
0:43.0,Offensive rebound by Team,,101-96,,
0:43.0,M. Plumlee misses free throw 2 of 2,,101-96,,
0:42.0,,,101-96,,Defensive rebound by T. Warren
0:42.0,,,101-96,,Phoenix full timeout
0:37.0,,,101-99,3,D. Booker makes 3-pt shot from 27 ft (assist by T. Warren)
0:37.0,Atlanta full timeout,,101-99,,
0:37.0,M. Belinelli enters the game for M. Plumlee,,101-99,,
0:37.0,,,101-99,,I. Canaan enters the game for T. Chandler
0:21.0,M. Delaney enters the game for M. Belinelli,,101-99,,
0:20.0,Offensive charge foul by D. Schroder (drawn by I. Canaan),,101-99,,
0:20.0,Turnover by D. Schroder (offensive foul),,101-99,,
0:12.0,,,101-99,,Shooting foul by K. Bazemore (drawn by D. Booker)
0:12.0,,,101-100,1,D. Booker makes free throw 1 of 3
0:12.0,,,101-101,1,D. Booker makes free throw 2 of 3
0:12.0,,,101-102,1,D. Booker makes free throw 3 of 3
0:12.0,Atlanta full timeout,,101-102,,
0:12.0,M. Belinelli enters the game for M. Delaney,,101-102,,
0:06.0,T. Waller-Prince misses 2-pt shot from 2 ft (block by M. Chriss),,101-102,,
0:06.0,,,101-102,,Defensive rebound by D. Booker
0:06.0,Personal take foul by K. Bazemore (drawn by D. Booker),,101-102,,
0:06.0,,,101-103,1,D. Booker makes free throw 1 of 2
0:06.0,,,101-104,1,D. Booker makes free throw 2 of 2
0:00.0,D. Schroder makes 2-pt shot from 1 ft,2,103-104,,
