time,Phoenix,pts.away,score,pts.home,Atlanta
4:38.0,,,102-103,,Defensive rebound by T. Dorsey
4:38.0,Personal foul by E. Payton (drawn by T. Dorsey),,102-103,,
4:28.0,,,102-103,,T. Waller-Prince misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by T. Warren,,102-103,,
4:08.0,T. Warren misses 3-pt shot from 24 ft,,102-103,,
4:04.0,,,102-103,,Defensive rebound by I. Taylor
3:50.0,,,102-103,,M. Plumlee misses 2-pt shot from 2 ft
3:48.0,Defensive rebound by E. Payton,,102-103,,
3:43.0,,,102-103,,Personal foul by T. Dorsey (drawn by E. Payton)
3:43.0,D. Bender enters the game for T. Chandler,,102-103,,
3:38.0,D. Booker misses 2-pt shot from 15 ft,,102-103,,
3:35.0,,,102-103,,Defensive rebound by T. Dorsey
3:26.0,,,102-106,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by I. Taylor)
3:14.0,Shooting foul by M. Muscala (drawn by D. Booker),,102-106,,
3:14.0,D. Booker makes free throw 1 of 2,1,103-106,,
3:14.0,D. Booker misses free throw 2 of 2,,103-106,,
3:11.0,,,103-106,,Defensive rebound by M. Plumlee
3:03.0,,,103-106,,I. Taylor misses 2-pt shot from 1 ft
3:00.0,Defensive rebound by E. Payton,,103-106,,
2:57.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Payton),2,105-106,,
2:35.0,,,105-106,,I. Taylor misses 2-pt shot from 4 ft
2:30.0,Defensive rebound by D. Bender,,105-106,,
2:26.0,D. Booker misses 2-pt shot from 1 ft,,105-106,,
2:23.0,,,105-106,,Defensive rebound by T. Waller-Prince
2:20.0,,,105-108,2,T. Waller-Prince makes 2-pt shot from 1 ft
2:14.0,J. Jackson makes 2-pt shot at rim (assist by E. Payton),2,107-108,,
2:14.0,,,107-108,,Violation by T. Waller-Prince (def goaltending)
2:14.0,,,107-108,,J. Morris enters the game for I. Taylor
2:14.0,S. Harrison enters the game for E. Payton,,107-108,,
2:02.0,,,107-110,2,T. Waller-Prince makes 2-pt shot from 15 ft
1:48.0,D. Booker makes 3-pt shot from 25 ft (assist by D. Bender),3,110-110,,
1:48.0,Shooting foul by T. Dorsey (drawn by D. Booker),,110-110,,
1:48.0,D. Booker misses free throw 1 of 1,,110-110,,
1:45.0,,,110-110,,Defensive rebound by M. Plumlee
1:38.0,,,110-110,,T. Dorsey misses 2-pt shot from 2 ft
1:34.0,Defensive rebound by S. Harrison,,110-110,,
1:22.0,D. Booker misses 2-pt shot from 17 ft,,110-110,,
1:22.0,,,110-110,,Defensive rebound by M. Plumlee
1:07.0,,,110-110,,T. Waller-Prince misses 2-pt shot from 9 ft
1:05.0,Defensive rebound by S. Harrison,,110-110,,
1:01.0,S. Harrison misses 2-pt shot from 1 ft,,110-110,,
1:01.0,Offensive rebound by Team,,110-110,,
0:54.0,J. Jackson misses 2-pt shot from 21 ft,,110-110,,
0:49.0,,,110-110,,Defensive rebound by M. Plumlee
0:36.0,,,110-110,,Turnover by T. Waller-Prince (out of bounds lost ball)
0:20.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Bender),2,112-110,,
0:08.0,,,112-113,3,T. Waller-Prince makes 3-pt shot from 25 ft
0:07.0,Phoenix full timeout,,112-113,,
0:07.0,T. Chandler enters the game for S. Harrison,,112-113,,
0:00.0,D. Booker misses 2-pt shot from 14 ft,,112-113,,
0:00.0,Offensive rebound by Team,,112-113,,
