time,Miami,pts.away,score,pts.home,Boston
1:40.0,,,87-81,,J. Tatum misses 3-pt shot from 23 ft
1:37.0,,,87-81,,Offensive rebound by M. Smart
1:31.0,,,87-84,3,J. Brown makes 3-pt shot from 26 ft (assist by K. Irving)
1:31.0,Miami full timeout,,87-84,,
1:24.0,,,87-84,,Personal foul by J. Brown (drawn by K. Olynyk)
1:24.0,K. Olynyk misses free throw 2 of 2,,87-84,,
1:24.0,,,87-84,,Defensive rebound by J. Tatum
1:24.0,K. Olynyk makes free throw 1 of 2,1,88-84,,
1:12.0,,,88-86,2,K. Irving makes 2-pt shot from 5 ft
1:00.0,K. Olynyk makes 2-pt shot from 4 ft (assist by D. Waiters),2,90-86,,
0:53.0,,,90-86,,Shooting foul by W. Ellington (drawn by J. Brown)
0:53.0,,,90-86,,J. Brown misses free throw 1 of 2
0:53.0,,,90-86,,Offensive rebound by Team
0:53.0,,,90-86,,S. Ojeleye enters the game for T. Rozier
0:53.0,,,90-87,1,J. Brown makes free throw 2 of 2
0:39.0,D. Waiters misses 3-pt shot from 24 ft,,90-87,,
0:37.0,,,90-87,,Defensive rebound by J. Brown
0:37.0,,,90-87,,Boston full timeout
0:37.0,,,90-87,,T. Rozier enters the game for S. Ojeleye
0:37.0,B. Adebayo enters the game for K. Olynyk,,90-87,,
0:27.0,,,90-89,2,K. Irving makes 2-pt shot from 1 ft
0:07.0,J. Richardson misses 2-pt shot from 9 ft,,90-89,,
0:06.0,,,90-89,,Defensive rebound by J. Tatum
0:06.0,,,90-89,,Boston full timeout
0:06.0,,,90-89,,D. Theis enters the game for T. Rozier
0:00.0,,,90-89,,K. Irving misses 2-pt shot from 20 ft
0:00.0,,,90-89,,Offensive rebound by Team
