time,LA Lakers,pts.away,score,pts.home,Indiana
2:10.0,,,96-110,2,V. Oladipo makes 2-pt shot from 15 ft (assist by T. Young)
1:53.0,K. Kuzma makes 2-pt shot at rim (assist by L. Ball),2,98-110,,
1:31.0,,,98-110,,M. Turner misses 2-pt shot from 18 ft
1:28.0,,,98-110,,Offensive rebound by T. Young
1:06.0,,,98-110,,V. Oladipo misses 2-pt shot at rim (block by B. Lopez)
1:05.0,,,98-110,,Offensive rebound by Team
1:04.0,,,98-110,,D. Collison misses 3-pt shot from 26 ft
1:04.0,,,98-110,,Offensive rebound by Team
1:04.0,,,98-110,,Turnover by Team (shot clock)
0:52.0,J. Randle misses 2-pt shot from 1 ft (block by M. Turner),,98-110,,
0:51.0,Offensive rebound by J. Randle,,98-110,,
0:51.0,J. Randle makes 2-pt shot from 1 ft,2,100-110,,
0:25.0,,,100-110,,C. Joseph misses 2-pt shot from 6 ft
0:22.0,Defensive rebound by K. Kuzma,,100-110,,
0:19.0,K. Kuzma misses 3-pt shot from 31 ft,,100-110,,
0:16.0,Offensive rebound by J. Randle,,100-110,,
0:14.0,J. Randle misses 2-pt shot from 5 ft,,100-110,,
0:12.0,,,100-110,,Defensive rebound by T. Young
