time,Atlanta,pts.away,score,pts.home,LA Clippers
9:32.0,E. Ilyasova enters the game for T. Cavanaugh,,84-84,,
9:21.0,M. Delaney makes 2-pt shot at rim,2,86-84,,
9:16.0,,,86-84,,Turnover by T. Wallace (bad pass)
9:03.0,M. Delaney misses 3-pt shot from 25 ft,,86-84,,
8:58.0,,,86-84,,Defensive rebound by W. Johnson
8:50.0,,,86-84,,L. Williams misses 2-pt shot from 2 ft
8:48.0,Defensive rebound by E. Ilyasova,,86-84,,
8:33.0,T. Waller-Prince misses 2-pt shot from 2 ft,,86-84,,
8:30.0,Offensive rebound by M. Muscala,,86-84,,
8:30.0,M. Muscala makes 2-pt shot at rim,2,88-84,,
8:30.0,,,88-84,,LA Clippers full timeout
8:20.0,,,88-84,,L. Williams misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by E. Ilyasova,,88-84,,
8:11.0,Shooting foul by W. Johnson (drawn by M. Belinelli),,88-84,,
8:11.0,M. Belinelli makes free throw 1 of 3,1,89-84,,
8:11.0,M. Belinelli makes free throw 2 of 3,1,90-84,,
8:11.0,M. Belinelli makes free throw 3 of 3,1,91-84,,
7:54.0,,,91-86,2,D. Jordan makes 2-pt shot from 4 ft (assist by L. Williams)
7:43.0,M. Belinelli misses 3-pt shot from 25 ft,,91-86,,
7:42.0,,,91-86,,Defensive rebound by Team
7:42.0,,,91-86,,J. Evans enters the game for T. Wallace
7:42.0,K. Bazemore enters the game for M. Belinelli,,91-86,,
7:36.0,,,91-89,3,L. Williams makes 3-pt shot from 24 ft
7:24.0,M. Delaney makes 2-pt shot at rim,2,93-89,,
7:14.0,,,93-89,,L. Williams misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by K. Bazemore,,93-89,,
7:06.0,T. Waller-Prince makes 2-pt shot from 3 ft,2,95-89,,
6:50.0,,,95-89,,LA Clippers full timeout
6:50.0,D. Dedmon enters the game for M. Muscala,,95-89,,
6:43.0,,,95-89,,J. Evans misses 2-pt shot from 1 ft
6:39.0,,,95-89,,Offensive rebound by D. Jordan
6:39.0,,,95-91,2,D. Jordan makes 2-pt shot at rim
6:25.0,T. Waller-Prince misses 2-pt shot from 2 ft (block by C. Williams),,95-91,,
6:22.0,,,95-91,,Defensive rebound by W. Johnson
6:18.0,Personal foul by M. Delaney (drawn by D. Jordan),,95-91,,
6:18.0,D. Schroder enters the game for M. Delaney,,95-91,,
6:12.0,,,95-91,,Turnover by W. Johnson (bad pass; steal by D. Dedmon)
6:05.0,D. Schroder makes 2-pt shot from 1 ft,2,97-91,,
5:51.0,,,97-94,3,C. Williams makes 3-pt shot from 22 ft (assist by J. Evans)
5:28.0,D. Schroder misses 2-pt shot from 16 ft,,97-94,,
5:25.0,,,97-94,,Defensive rebound by C. Williams
5:18.0,Shooting block foul by D. Dedmon (drawn by L. Williams),,97-94,,
5:18.0,,,97-95,1,L. Williams makes free throw 1 of 2
5:18.0,M. Muscala enters the game for E. Ilyasova,,97-95,,
5:18.0,,,97-96,1,L. Williams makes free throw 2 of 2
5:02.0,D. Dedmon makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,99-96,,
4:52.0,,,99-96,,W. Johnson misses 3-pt shot from 24 ft
4:48.0,,,99-96,,Offensive rebound by J. Evans
4:39.0,,,99-96,,L. Williams misses 2-pt shot from 4 ft
4:34.0,,,99-96,,Offensive rebound by D. Jordan
4:33.0,,,99-96,,D. Jordan misses 2-pt shot from 4 ft
4:31.0,Defensive rebound by T. Waller-Prince,,99-96,,
4:16.0,D. Schroder misses 2-pt shot from 15 ft (block by C. Williams),,99-96,,
4:13.0,,,99-96,,Defensive rebound by C. Williams
4:12.0,,,99-96,,Shooting foul by K. Bazemore (drawn by J. Evans)
4:12.0,,,99-97,1,J. Evans makes free throw 1 of 2
4:12.0,,,99-97,,J. Evans misses free throw 2 of 2
4:09.0,Defensive rebound by D. Dedmon,,99-97,,
3:47.0,D. Schroder misses 3-pt shot from 25 ft,,99-97,,
3:43.0,,,99-97,,Defensive rebound by D. Jordan
3:35.0,,,99-99,2,C. Williams makes 2-pt shot from 6 ft
3:33.0,Atlanta full timeout,,99-99,,
3:33.0,M. Delaney enters the game for D. Dedmon,,99-99,,
3:33.0,E. Ilyasova enters the game for D. Schroder,,99-99,,
3:21.0,K. Bazemore makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,101-99,,
3:05.0,,,101-99,,L. Williams misses 2-pt shot from 11 ft
3:02.0,Defensive rebound by M. Delaney,,101-99,,
2:43.0,K. Bazemore misses 3-pt shot from 25 ft,,101-99,,
2:40.0,,,101-99,,Defensive rebound by C. Williams
2:33.0,,,101-99,,L. Williams misses 2-pt shot from 1 ft
2:29.0,Defensive rebound by M. Muscala,,101-99,,
2:11.0,K. Bazemore makes 3-pt shot from 23 ft (assist by M. Delaney),3,104-99,,
2:04.0,Personal take foul by M. Muscala (drawn by D. Jordan),,104-99,,
2:04.0,,,104-99,,D. Jordan misses free throw 1 of 2
2:04.0,,,104-99,,Offensive rebound by Team
2:04.0,,,104-100,1,D. Jordan makes free throw 2 of 2
1:48.0,Turnover by T. Waller-Prince (lost ball; steal by J. Evans),,104-100,,
1:41.0,,,104-100,,Turnover by L. Williams (out of bounds lost ball)
1:26.0,Shooting foul by D. Jordan (drawn by K. Bazemore),,104-100,,
1:26.0,K. Bazemore makes free throw 1 of 2,1,105-100,,
1:26.0,K. Bazemore misses free throw 2 of 2,,105-100,,
1:26.0,,,105-100,,Defensive rebound by D. Jordan
1:25.0,Personal take foul by M. Muscala (drawn by D. Jordan),,105-100,,
1:25.0,,,105-101,1,D. Jordan makes free throw 1 of 2
1:25.0,,,105-102,1,D. Jordan makes free throw 2 of 2
1:09.0,K. Bazemore misses 2-pt shot from 5 ft,,105-102,,
1:08.0,,,105-102,,Defensive rebound by D. Jordan
1:08.0,Personal take foul by K. Bazemore (drawn by D. Jordan),,105-102,,
1:08.0,,,105-103,1,D. Jordan makes free throw 1 of 2
1:08.0,,,105-104,1,D. Jordan makes free throw 2 of 2
1:05.0,Turnover by M. Delaney (turnover),,105-104,,
1:05.0,Loose ball foul by M. Delaney (drawn by J. Evans),,105-104,,
1:05.0,,,105-105,1,J. Evans makes free throw 1 of 1
1:05.0,,,105-105,,T. Wallace enters the game for L. Williams
1:05.0,,,105-105,,Turnover by W. Johnson (offensive goaltending)
0:52.0,K. Bazemore misses 2-pt shot from 2 ft,,105-105,,
0:52.0,,,105-105,,Defensive rebound by D. Jordan
0:52.0,,,105-105,,LA Clippers full timeout
0:52.0,,,105-105,,L. Williams enters the game for T. Wallace
0:33.0,,,105-105,,L. Williams misses 2-pt shot from 8 ft
0:29.0,,,105-105,,Offensive rebound by L. Williams
0:29.0,,,105-105,,L. Williams misses 2-pt shot from 7 ft
0:29.0,Defensive rebound by M. Muscala,,105-105,,
0:24.0,K. Bazemore misses 2-pt shot from 7 ft,,105-105,,
0:23.0,Offensive rebound by K. Bazemore,,105-105,,
0:23.0,,,105-105,,Personal foul by W. Johnson (drawn by K. Bazemore)
0:23.0,K. Bazemore makes free throw 1 of 2,1,106-105,,
0:23.0,K. Bazemore makes free throw 2 of 2,1,107-105,,
0:23.0,,,107-105,,LA Clippers full timeout
0:16.0,,,107-105,,L. Williams misses 3-pt shot from 27 ft
0:12.0,,,107-105,,Offensive rebound by W. Johnson
0:09.0,,,107-108,3,C. Williams makes 3-pt shot from 25 ft
0:09.0,Atlanta full timeout,,107-108,,
0:09.0,,,107-108,,T. Wallace enters the game for J. Evans
0:03.0,T. Waller-Prince misses 2-pt shot from 14 ft,,107-108,,
0:00.0,Offensive rebound by E. Ilyasova,,107-108,,
