time,Charlotte,pts.away,score,pts.home,Sacramento
8:04.0,,,111-94,,Defensive rebound by W. Cauley-Stein
7:58.0,,,111-96,2,K. Koufos makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
7:38.0,F. Kaminsky makes 2-pt shot from 8 ft,2,113-96,,
7:21.0,,,113-96,,B. Bogdanovic misses 2-pt shot from 22 ft
7:20.0,,,113-96,,Offensive rebound by W. Cauley-Stein
7:15.0,,,113-96,,G. Hill misses 2-pt shot from 20 ft
7:15.0,Defensive rebound by M. Carter-Williams,,113-96,,
7:11.0,,,113-96,,Personal foul by B. Bogdanovic (drawn by T. Graham)
7:11.0,N. Batum enters the game for M. Carter-Williams,,113-96,,
7:11.0,K. Walker enters the game for T. Graham,,113-96,,
7:04.0,Shooting foul by B. Bogdanovic (drawn by F. Kaminsky),,113-96,,
7:04.0,F. Kaminsky makes free throw 1 of 2,1,114-96,,
7:04.0,F. Kaminsky makes free throw 2 of 2,1,115-96,,
6:52.0,,,115-96,,Offensive foul by G. Hill (drawn by F. Kaminsky)
6:52.0,,,115-96,,Turnover by G. Hill (offensive foul)
6:43.0,,,115-96,,G. Papagiannis enters the game for G. Hill
6:43.0,,,115-96,,D. Fox enters the game for K. Koufos
6:39.0,J. Lamb makes 2-pt shot from 3 ft (assist by N. Batum),2,117-96,,
6:21.0,,,117-96,,Shooting foul by K. Walker (drawn by D. Fox)
6:21.0,,,117-96,,D. Fox misses free throw 1 of 2
6:21.0,,,117-96,,Offensive rebound by Team
6:21.0,,,117-96,,S. Labissiere enters the game for W. Cauley-Stein
6:21.0,,,117-96,,M. Richardson enters the game for B. Bogdanovic
6:21.0,,,117-96,,J. Jackson enters the game for B. Hield
6:21.0,,,117-97,1,D. Fox makes free throw 2 of 2
6:07.0,N. Batum misses 2-pt shot from 15 ft,,117-97,,
6:04.0,,,117-97,,Defensive rebound by S. Labissiere
5:55.0,,,117-97,,J. Jackson misses 2-pt shot from 12 ft
5:47.0,,,117-97,,Offensive rebound by M. Richardson
5:44.0,,,117-97,,D. Fox misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by J. O'Bryant,,117-97,,
5:30.0,J. O'Bryant makes 2-pt shot from 16 ft (assist by N. Batum),2,119-97,,
5:11.0,M. Monk enters the game for N. Batum,,119-97,,
5:11.0,M. Carter-Williams enters the game for K. Walker,,119-97,,
5:08.0,,,119-97,,J. Jackson misses 2-pt shot from 20 ft
5:03.0,Defensive rebound by M. Carter-Williams,,119-97,,
4:55.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lamb),3,122-97,,
4:43.0,,,122-97,,Turnover by D. Fox (bad pass)
4:32.0,M. Monk misses 3-pt shot from 24 ft,,122-97,,
4:27.0,,,122-97,,Defensive rebound by J. Jackson
4:20.0,,,122-97,,M. Richardson misses 2-pt shot from 3 ft
4:16.0,,,122-97,,Offensive rebound by S. Labissiere
4:14.0,,,122-97,,Turnover by S. Labissiere (lost ball; steal by J. Lamb)
4:10.0,Turnover by F. Kaminsky (lost ball; steal by D. Fox),,122-97,,
4:05.0,,,122-99,2,S. Labissiere makes 2-pt shot from 6 ft (assist by D. Fox)
4:05.0,,,122-99,,Shooting foul by J. O'Bryant (drawn by S. Labissiere)
4:05.0,,,122-100,1,S. Labissiere makes free throw 1 of 1
4:05.0,T. Graham enters the game for J. Lamb,,122-100,,
4:05.0,D. Bacon enters the game for F. Kaminsky,,122-100,,
3:53.0,M. Monk misses 3-pt shot from 25 ft,,122-100,,
3:50.0,,,122-100,,Defensive rebound by Team
3:46.0,,,122-100,,G. Papagiannis misses 2-pt shot from 19 ft
3:45.0,,,122-100,,Offensive rebound by Team
3:45.0,Loose ball foul by T. Graham (drawn by S. Labissiere),,122-100,,
3:45.0,,,122-101,1,S. Labissiere makes free throw 1 of 2
3:45.0,,,122-102,1,S. Labissiere makes free throw 2 of 2
3:27.0,D. Bacon misses 2-pt shot from 19 ft,,122-102,,
3:21.0,,,122-102,,Defensive rebound by G. Papagiannis
3:15.0,,,122-104,2,D. Fox makes 2-pt shot from 1 ft
3:00.0,J. O'Bryant misses 3-pt shot from 25 ft,,122-104,,
2:58.0,,,122-104,,Defensive rebound by S. Labissiere
2:48.0,,,122-104,,G. Papagiannis misses 2-pt shot from 9 ft
2:41.0,,,122-104,,Offensive rebound by S. Labissiere
2:41.0,,,122-104,,S. Labissiere misses 2-pt shot at rim
2:40.0,,,122-104,,Offensive rebound by S. Labissiere
2:40.0,,,122-104,,S. Labissiere misses 2-pt shot at rim
2:40.0,Defensive rebound by M. Carter-Williams,,122-104,,
2:34.0,T. Graham makes 2-pt shot from 2 ft,2,124-104,,
2:25.0,,,124-106,2,D. Fox makes 2-pt shot from 6 ft
2:05.0,J. O'Bryant makes 2-pt shot from 2 ft,2,126-106,,
2:02.0,Personal foul by M. Carter-Williams (drawn by D. Fox),,126-106,,
2:02.0,,,126-106,,Sacramento full timeout
2:02.0,J. Stone enters the game for M. Carter-Williams,,126-106,,
2:02.0,,,126-107,1,D. Fox makes free throw 1 of 2
2:02.0,,,126-108,1,D. Fox makes free throw 2 of 2
