time,Houston,pts.away,score,pts.home,Chicago
2:44.0,,,113-95,,J. Holiday misses 2-pt shot from 2 ft (block by C. Capela)
2:41.0,Defensive rebound by C. Paul,,113-95,,
2:39.0,E. Gordon misses 3-pt shot from 25 ft,,113-95,,
2:35.0,,,113-95,,Defensive rebound by D. Valentine
2:30.0,,,113-97,2,L. Markkanen makes 2-pt shot from 9 ft (assist by D. Valentine)
2:09.0,,,113-97,,Personal foul by B. Portis (drawn by C. Paul)
1:56.0,C. Paul makes 3-pt shot from 26 ft,3,116-97,,
1:49.0,,,116-99,2,K. Dunn makes 2-pt shot from 5 ft (assist by J. Holiday)
1:27.0,C. Paul misses 3-pt shot from 24 ft,,116-99,,
1:24.0,,,116-99,,Defensive rebound by D. Valentine
1:21.0,,,116-102,3,D. Valentine makes 3-pt shot from 25 ft
1:14.0,Turnover by C. Capela (out of bounds lost ball),,116-102,,
1:00.0,,,116-102,,K. Dunn misses 2-pt shot from 7 ft
0:58.0,Defensive rebound by C. Capela,,116-102,,
0:42.0,P. Tucker misses 3-pt shot from 25 ft,,116-102,,
0:40.0,,,116-102,,Defensive rebound by J. Holiday
0:36.0,,,116-104,2,L. Markkanen makes 2-pt shot from 2 ft (assist by D. Valentine)
0:33.0,,,116-104,,Personal foul by L. Markkanen (drawn by P. Tucker)
0:17.0,T. Ariza misses 3-pt shot from 23 ft,,116-104,,
0:14.0,,,116-104,,Defensive rebound by J. Holiday
0:08.0,,,116-107,3,L. Markkanen makes 3-pt shot from 25 ft (assist by K. Dunn)
