time,Cleveland,pts.away,score,pts.home,Dallas
3:43.0,,,96-94,,Defensive rebound by Team
3:23.0,,,96-94,,H. Barnes misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by K. Love,,96-94,,
3:06.0,K. Love misses 2-pt shot from 2 ft,,96-94,,
3:04.0,Offensive rebound by J. Crowder,,96-94,,
3:03.0,J. Crowder makes 2-pt shot from 1 ft,2,98-94,,
2:51.0,,,98-97,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Smith)
2:35.0,Turnover by L. James (out of bounds lost ball),,98-97,,
2:25.0,,,98-97,,W. Matthews misses 3-pt shot from 28 ft (block by K. Love)
2:22.0,Defensive rebound by K. Korver,,98-97,,
2:14.0,L. James makes 2-pt shot from 2 ft,2,100-97,,
1:57.0,,,100-97,,J. Barea misses 2-pt shot from 3 ft
1:57.0,Defensive rebound by K. Love,,100-97,,
1:44.0,K. Korver makes 2-pt shot from 1 ft (assist by L. James),2,102-97,,
1:44.0,Shooting foul by Y. Ferrell (drawn by K. Korver),,102-97,,
1:44.0,,,102-97,,D. Nowitzki enters the game for J. Barea
1:44.0,J. Green enters the game for K. Love,,102-97,,
1:44.0,K. Korver misses free throw 1 of 1,,102-97,,
1:41.0,,,102-97,,Defensive rebound by H. Barnes
1:30.0,,,102-99,2,D. Smith makes 2-pt shot from 1 ft
1:07.0,L. James makes 2-pt shot at rim,2,104-99,,
1:03.0,,,104-102,3,D. Smith makes 3-pt shot from 25 ft
0:46.0,L. James misses 3-pt shot from 26 ft,,104-102,,
0:43.0,,,104-102,,Defensive rebound by D. Nowitzki
0:39.0,,,104-102,,H. Barnes misses 3-pt shot from 23 ft
0:36.0,Defensive rebound by K. Korver,,104-102,,
0:36.0,,,104-102,,Loose ball foul by Y. Ferrell (drawn by K. Korver)
0:36.0,K. Korver makes free throw 1 of 2,1,105-102,,
0:36.0,,,105-102,,S. Mejri enters the game for Y. Ferrell
0:36.0,,,105-102,,D. Powell enters the game for W. Matthews
0:36.0,K. Korver makes free throw 2 of 2,1,106-102,,
0:36.0,,,106-102,,Dallas full timeout
0:36.0,,,106-102,,Y. Ferrell enters the game for S. Mejri
0:36.0,,,106-102,,W. Matthews enters the game for D. Powell
0:36.0,I. Shumpert enters the game for K. Korver,,106-102,,
0:30.0,,,106-102,,D. Smith misses 2-pt shot at rim
0:28.0,Defensive rebound by J. Green,,106-102,,
0:28.0,,,106-102,,Personal take foul by H. Barnes (drawn by J. Green)
0:28.0,J. Green makes free throw 1 of 2,1,107-102,,
0:28.0,J. Green misses free throw 2 of 2,,107-102,,
0:27.0,,,107-102,,Defensive rebound by H. Barnes
0:18.0,,,107-102,,W. Matthews misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by I. Shumpert,,107-102,,
0:15.0,,,107-102,,Personal take foul by Y. Ferrell (drawn by I. Shumpert)
0:15.0,I. Shumpert makes free throw 1 of 2,1,108-102,,
0:15.0,I. Shumpert makes free throw 2 of 2,1,109-102,,
0:11.0,,,109-104,2,D. Smith makes 2-pt shot at rim
0:09.0,,,109-104,,Personal take foul by D. Smith (drawn by L. James)
0:09.0,L. James makes free throw 1 of 2,1,110-104,,
0:09.0,L. James makes free throw 2 of 2,1,111-104,,
0:04.0,,,111-104,,W. Matthews misses 3-pt shot from 30 ft
0:00.0,Defensive rebound by L. James,,111-104,,
