time,Oklahoma City,pts.away,score,pts.home,Detroit
4:30.0,R. Westbrook makes free throw 1 of 2,1,107-97,,
4:30.0,R. Westbrook makes free throw 2 of 2,1,108-97,,
4:30.0,Loose ball foul by S. Adams (drawn by A. Drummond),,108-97,,
4:30.0,,,108-97,,T. Harris enters the game for A. Tolliver
4:14.0,,,108-97,,L. Kennard misses 2-pt shot from 13 ft
4:11.0,Defensive rebound by R. Westbrook,,108-97,,
3:56.0,C. Anthony misses 2-pt shot from 11 ft,,108-97,,
3:52.0,,,108-97,,Defensive rebound by A. Drummond
3:46.0,,,108-99,2,I. Smith makes 2-pt shot from 1 ft
3:28.0,T. Ferguson makes 3-pt shot from 23 ft (assist by P. George),3,111-99,,
3:05.0,,,111-99,,R. Bullock misses 3-pt shot from 24 ft
3:02.0,,,111-99,,Offensive rebound by A. Drummond
3:02.0,,,111-99,,Turnover by A. Drummond (out of bounds lost ball)
3:02.0,,,111-99,,A. Bradley enters the game for L. Kennard
2:50.0,P. George misses 3-pt shot from 27 ft,,111-99,,
2:46.0,,,111-99,,Defensive rebound by T. Harris
2:45.0,,,111-99,,Shooting foul by T. Ferguson (drawn by T. Harris)
2:45.0,,,111-100,1,T. Harris makes free throw 1 of 2
2:45.0,,,111-101,1,T. Harris makes free throw 2 of 2
2:29.0,R. Westbrook makes 2-pt shot from 2 ft,2,113-101,,
2:12.0,,,113-104,3,T. Harris makes 3-pt shot from 23 ft (assist by R. Bullock)
1:51.0,T. Ferguson misses 3-pt shot from 26 ft,,113-104,,
1:43.0,Offensive rebound by S. Adams,,113-104,,
1:41.0,C. Anthony misses 2-pt shot from 16 ft,,113-104,,
1:39.0,Offensive rebound by R. Westbrook,,113-104,,
1:27.0,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook),2,115-104,,
1:19.0,,,115-104,,R. Bullock misses 3-pt shot from 29 ft
1:15.0,Defensive rebound by P. George,,115-104,,
0:54.0,R. Westbrook makes 3-pt shot from 34 ft,3,118-104,,
0:40.0,,,118-104,,A. Drummond misses 2-pt shot from 2 ft
0:36.0,,,118-104,,Offensive rebound by A. Drummond
0:36.0,,,118-106,2,A. Drummond makes 2-pt shot at rim
0:36.0,Oklahoma City full timeout,,118-106,,
0:36.0,,,118-106,,B. Marjanovic enters the game for A. Drummond
0:36.0,,,118-106,,L. Galloway enters the game for I. Smith
0:36.0,,,118-106,,A. Tolliver enters the game for A. Bradley
0:36.0,A. Abrines enters the game for R. Westbrook,,118-106,,
0:36.0,P. Patterson enters the game for C. Anthony,,118-106,,
0:36.0,J. Huestis enters the game for S. Adams,,118-106,,
0:36.0,J. Grant enters the game for P. George,,118-106,,
0:36.0,,,118-106,,L. Kennard enters the game for T. Harris
0:25.0,T. Ferguson makes 3-pt shot from 26 ft (assist by P. Patterson),3,121-106,,
0:10.0,,,121-108,2,A. Tolliver makes 2-pt shot from 1 ft (assist by B. Marjanovic)
