time,Toronto,pts.away,score,pts.home,Phoenix
4:38.0,,,101-96,,M. Chriss misses 2-pt shot from 20 ft
4:36.0,Defensive rebound by S. Ibaka,,101-96,,
4:29.0,D. DeRozan misses 2-pt shot from 11 ft,,101-96,,
4:26.0,,,101-96,,Defensive rebound by M. Chriss
4:16.0,,,101-96,,T. Daniels misses 3-pt shot from 22 ft
4:13.0,Defensive rebound by J. Valanciunas,,101-96,,
3:53.0,J. Valanciunas misses 2-pt shot from 10 ft,,101-96,,
3:53.0,,,101-96,,Defensive rebound by Team
3:53.0,Loose ball foul by S. Ibaka (drawn by M. Chriss),,101-96,,
3:53.0,,,101-96,,M. Chriss misses free throw 1 of 2
3:53.0,,,101-96,,Offensive rebound by Team
3:53.0,,,101-97,1,M. Chriss makes free throw 2 of 2
3:53.0,Toronto full timeout,,101-97,,
3:37.0,K. Lowry misses 3-pt shot from 23 ft,,101-97,,
3:33.0,,,101-97,,Defensive rebound by T. Daniels
3:31.0,Shooting block foul by F. VanVleet (drawn by M. Chriss),,101-97,,
3:31.0,,,101-98,1,M. Chriss makes free throw 1 of 2
3:31.0,,,101-98,,M. Chriss misses free throw 2 of 2
3:28.0,Defensive rebound by D. DeRozan,,101-98,,
3:13.0,D. DeRozan misses 2-pt shot from 12 ft,,101-98,,
3:10.0,Offensive rebound by D. DeRozan,,101-98,,
3:10.0,,,101-98,,Personal foul by M. Chriss (drawn by D. DeRozan)
3:08.0,F. VanVleet misses 2-pt shot from 1 ft (block by T. Daniels),,101-98,,
3:08.0,Offensive rebound by Team,,101-98,,
3:00.0,K. Lowry makes 3-pt shot from 25 ft,3,104-98,,
2:44.0,Personal foul by F. VanVleet (drawn by T. Ulis),,104-98,,
2:44.0,,,104-99,1,T. Ulis makes free throw 1 of 2
2:44.0,,,104-100,1,T. Ulis makes free throw 2 of 2
2:26.0,,,104-100,,Personal foul by T. Ulis (drawn by D. DeRozan)
2:26.0,,,104-100,,T. Warren enters the game for M. Chriss
2:14.0,F. VanVleet misses 3-pt shot from 25 ft,,104-100,,
2:12.0,Offensive rebound by Team,,104-100,,
2:10.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,106-100,,
1:52.0,,,106-100,,Shooting foul by S. Ibaka (drawn by T. Warren)
1:52.0,,,106-101,1,T. Warren makes free throw 1 of 2
1:52.0,,,106-102,1,T. Warren makes free throw 2 of 2
1:39.0,D. DeRozan makes 2-pt shot from 2 ft,2,108-102,,
1:28.0,,,108-102,,Shooting foul by J. Valanciunas (drawn by G. Monroe)
1:28.0,,,108-102,,G. Monroe misses free throw 1 of 2
1:28.0,,,108-102,,Offensive rebound by Team
1:28.0,,,108-103,1,G. Monroe makes free throw 2 of 2
1:15.0,Shooting foul by J. Jackson (drawn by D. DeRozan),,108-103,,
1:15.0,D. DeRozan makes free throw 1 of 2,1,109-103,,
1:15.0,D. DeRozan makes free throw 2 of 2,1,110-103,,
1:15.0,,,110-103,,Phoenix full timeout
1:10.0,,,110-105,2,T. Warren makes 2-pt shot from 4 ft
0:53.0,K. Lowry misses 2-pt shot from 3 ft,,110-105,,
0:52.0,,,110-105,,Defensive rebound by T. Ulis
0:48.0,,,110-107,2,T. Warren makes 2-pt shot at rim (assist by T. Ulis)
0:30.0,D. DeRozan misses 2-pt shot from 17 ft,,110-107,,
0:28.0,Offensive rebound by Team,,110-107,,
0:28.0,,,110-107,,Loose ball foul by T. Daniels (drawn by J. Valanciunas)
0:28.0,J. Valanciunas misses free throw 1 of 2,,110-107,,
0:28.0,Offensive rebound by Team,,110-107,,
0:28.0,J. Valanciunas makes free throw 2 of 2,1,111-107,,
0:28.0,,,111-107,,Phoenix full timeout
0:23.0,,,111-109,2,T. Daniels makes 2-pt shot from 16 ft (assist by T. Warren)
0:22.0,Toronto full timeout,,111-109,,
0:22.0,,,111-109,,D. House enters the game for T. Warren
0:22.0,C. Miles enters the game for F. VanVleet,,111-109,,
0:20.0,,,111-109,,Personal take foul by J. Jackson (drawn by D. DeRozan)
0:20.0,D. DeRozan makes free throw 1 of 2,1,112-109,,
0:20.0,,,112-109,,T. Warren enters the game for D. House
0:20.0,F. VanVleet enters the game for C. Miles,,112-109,,
0:20.0,D. DeRozan makes free throw 2 of 2,1,113-109,,
0:09.0,,,113-109,,T. Warren misses 2-pt shot from 11 ft
0:07.0,Defensive rebound by K. Lowry,,113-109,,
0:07.0,,,113-109,,Personal take foul by T. Warren (drawn by K. Lowry)
0:07.0,,,113-109,,M. James enters the game for T. Warren
0:07.0,K. Lowry makes free throw 1 of 2,1,114-109,,
0:07.0,K. Lowry makes free throw 2 of 2,1,115-109,,
0:04.0,,,115-109,,T. Ulis misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by J. Valanciunas,,115-109,,
