time,Chicago,pts.away,score,pts.home,Dallas
1:06.0,,,114-107,1,W. Matthews makes free throw 3 of 3
1:05.0,,,114-107,,Personal foul by D. Powell (drawn by D. Valentine)
1:00.0,,,114-107,,Personal take foul by D. Powell (drawn by J. Holiday)
1:00.0,J. Holiday makes free throw 1 of 2,1,115-107,,
1:00.0,D. Nwaba enters the game for D. Valentine,,115-107,,
1:00.0,J. Holiday makes free throw 2 of 2,1,116-107,,
0:55.0,,,116-109,2,D. Powell makes 2-pt shot at rim (assist by Y. Ferrell)
0:55.0,,,116-109,,Shooting foul by J. Holiday (drawn by D. Powell)
0:55.0,D. Valentine enters the game for D. Nwaba,,116-109,,
0:55.0,,,116-110,1,D. Powell makes free throw 1 of 1
0:49.0,,,116-110,,Personal foul by D. Powell (drawn by D. Valentine)
0:49.0,,,116-110,,M. Kleber enters the game for D. Powell
0:49.0,D. Valentine makes free throw 1 of 2,1,117-110,,
0:49.0,D. Valentine makes free throw 2 of 2,1,118-110,,
0:44.0,,,118-112,2,D. Smith makes 2-pt shot from 1 ft
0:43.0,,,118-112,,Personal take foul by Y. Ferrell (drawn by J. Holiday)
0:43.0,J. Holiday makes free throw 1 of 2,1,119-112,,
0:43.0,D. Nwaba enters the game for D. Valentine,,119-112,,
0:43.0,J. Holiday makes free throw 2 of 2,1,120-112,,
0:31.0,,,120-112,,Y. Ferrell misses 2-pt shot from 1 ft
0:28.0,,,120-112,,Offensive rebound by H. Barnes
0:28.0,,,120-114,2,H. Barnes makes 2-pt shot from 1 ft
0:27.0,,,120-114,,Personal foul by M. Kleber (drawn by K. Dunn)
0:27.0,K. Dunn makes free throw 1 of 2,1,121-114,,
0:27.0,K. Dunn makes free throw 2 of 2,1,122-114,,
0:19.0,,,122-117,3,D. Smith makes 3-pt shot from 25 ft
0:19.0,Chicago full timeout,,122-117,,
0:19.0,D. Valentine enters the game for D. Nwaba,,122-117,,
0:18.0,,,122-117,,Personal take foul by H. Barnes (drawn by J. Holiday)
0:18.0,J. Holiday makes free throw 1 of 2,1,123-117,,
0:18.0,D. Nwaba enters the game for D. Valentine,,123-117,,
0:18.0,J. Holiday makes free throw 2 of 2,1,124-117,,
0:14.0,,,124-119,2,M. Kleber makes 2-pt shot at rim (assist by D. Smith)
0:14.0,Turnover by N. Mirotic (bad pass; steal by D. Smith),,124-119,,
0:13.0,,,124-121,2,D. Smith makes 2-pt shot at rim
0:11.0,,,124-121,,Personal take foul by M. Kleber (drawn by K. Dunn)
0:11.0,K. Dunn makes free throw 1 of 2,1,125-121,,
0:11.0,K. Dunn misses free throw 2 of 2,,125-121,,
0:11.0,Turnover by N. Mirotic (turnover),,125-121,,
0:07.0,,,125-121,,D. Smith misses 3-pt shot from 24 ft
0:04.0,,,125-121,,Offensive rebound by H. Barnes
0:03.0,,,125-124,3,D. Smith makes 3-pt shot from 24 ft (assist by H. Barnes)
0:03.0,Chicago full timeout,,125-124,,
0:03.0,D. Valentine enters the game for D. Nwaba,,125-124,,
0:02.0,,,125-124,,Personal take foul by Y. Ferrell (drawn by J. Holiday)
0:02.0,J. Holiday makes free throw 1 of 2,1,126-124,,
0:02.0,D. Nwaba enters the game for D. Valentine,,126-124,,
0:02.0,J. Holiday makes free throw 2 of 2,1,127-124,,
0:00.0,,,127-124,,Y. Ferrell misses 3-pt shot from 24 ft
0:00.0,,,127-124,,Offensive rebound by Team
