time,Boston,pts.away,score,pts.home,LA Clippers
7:35.0,,,101-84,,L. Williams misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by S. Ojeleye,,101-84,,
7:18.0,,,101-84,,Personal foul by T. Wallace (drawn by S. Larkin)
7:18.0,,,101-84,,D. Jordan enters the game for M. Harrell
7:12.0,T. Rozier misses 3-pt shot from 26 ft,,101-84,,
7:10.0,,,101-84,,Defensive rebound by B. Griffin
7:03.0,,,101-84,,B. Griffin misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by J. Tatum,,101-84,,
6:36.0,S. Larkin makes 2-pt shot from 20 ft,2,103-84,,
6:12.0,,,103-86,2,L. Williams makes 2-pt shot from 17 ft
5:50.0,Shooting foul by D. Jordan (drawn by T. Rozier),,103-86,,
5:50.0,,,103-86,,LA Clippers full timeout
5:50.0,T. Rozier makes free throw 1 of 2,1,104-86,,
5:50.0,T. Rozier makes free throw 2 of 2,1,105-86,,
5:35.0,,,105-86,,T. Wallace misses 2-pt shot from 2 ft (block by D. Theis)
5:35.0,,,105-86,,Offensive rebound by D. Jordan
5:35.0,,,105-86,,Shooting foul by S. Ojeleye (drawn by D. Jordan)
5:35.0,,,105-86,,D. Jordan misses free throw 1 of 2
5:35.0,,,105-86,,Offensive rebound by Team
5:35.0,K. Irving enters the game for T. Rozier,,105-86,,
5:35.0,,,105-87,1,D. Jordan makes free throw 2 of 2
5:22.0,J. Tatum misses 2-pt shot from 4 ft (block by W. Johnson),,105-87,,
5:18.0,,,105-87,,Defensive rebound by L. Williams
5:14.0,,,105-89,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
5:14.0,,,105-89,,Shooting foul by D. Theis (drawn by D. Jordan)
5:14.0,M. Morris enters the game for S. Ojeleye,,105-89,,
5:14.0,,,105-90,1,D. Jordan makes free throw 1 of 1
4:57.0,S. Larkin misses 3-pt shot from 25 ft,,105-90,,
4:54.0,,,105-90,,Defensive rebound by D. Jordan
4:40.0,,,105-92,2,B. Griffin makes 2-pt shot from 2 ft (assist by W. Johnson)
4:39.0,Boston full timeout,,105-92,,
4:39.0,A. Baynes enters the game for S. Larkin,,105-92,,
4:39.0,T. Rozier enters the game for D. Theis,,105-92,,
4:28.0,M. Morris makes 3-pt shot from 23 ft (assist by K. Irving),3,108-92,,
4:07.0,,,108-94,2,B. Griffin makes 2-pt shot from 2 ft (assist by L. Williams)
3:51.0,M. Morris misses 3-pt shot from 25 ft,,108-94,,
3:46.0,,,108-94,,Defensive rebound by W. Johnson
3:29.0,,,108-94,,B. Griffin misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by K. Irving,,108-94,,
3:11.0,K. Irving misses 2-pt shot at rim,,108-94,,
3:07.0,,,108-94,,Defensive rebound by D. Jordan
3:05.0,,,108-94,,Turnover by D. Jordan (bad pass; steal by T. Rozier)
3:00.0,K. Irving makes 2-pt shot from 1 ft (assist by T. Rozier),2,110-94,,
2:46.0,,,110-97,3,W. Johnson makes 3-pt shot from 25 ft (assist by B. Griffin)
2:45.0,,,110-97,,Technical foul by B. Griffin
2:45.0,,,110-97,,LA Clippers full timeout
2:45.0,,,110-97,,S. Dekker enters the game for D. Jordan
2:45.0,,,110-97,,M. Harrell enters the game for L. Williams
2:45.0,,,110-97,,S. Thornwell enters the game for B. Griffin
2:45.0,K. Irving makes technical free throw,1,111-97,,
2:28.0,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving),2,113-97,,
2:13.0,,,113-97,,W. Johnson misses 3-pt shot from 23 ft
2:11.0,Defensive rebound by K. Irving,,113-97,,
2:04.0,,,113-97,,Violation by S. Dekker (kicked ball)
2:04.0,,,113-97,,W. Reed enters the game for T. Wallace
2:04.0,J. Eddie enters the game for J. Tatum,,113-97,,
2:04.0,S. Larkin enters the game for K. Irving,,113-97,,
2:04.0,A. Nader enters the game for T. Rozier,,113-97,,
2:01.0,Offensive foul by M. Morris (drawn by S. Thornwell),,113-97,,
2:01.0,Turnover by M. Morris (offensive foul),,113-97,,
1:53.0,,,113-100,3,W. Johnson makes 3-pt shot from 25 ft (assist by S. Thornwell)
1:32.0,M. Morris misses 2-pt shot from 19 ft,,113-100,,
1:28.0,,,113-100,,Defensive rebound by W. Reed
1:17.0,,,113-100,,M. Harrell misses 2-pt shot from 14 ft
1:15.0,Defensive rebound by A. Nader,,113-100,,
1:01.0,A. Baynes misses 2-pt shot from 17 ft,,113-100,,
0:58.0,,,113-100,,Defensive rebound by W. Reed
0:48.0,,,113-102,2,S. Dekker makes 2-pt shot from 1 ft (assist by W. Reed)
0:33.0,A. Nader misses 3-pt shot from 22 ft,,113-102,,
0:28.0,,,113-102,,Defensive rebound by S. Dekker
0:22.0,,,113-102,,Turnover by S. Dekker (bad pass; steal by J. Eddie)
