time,Golden State,pts.away,score,pts.home,New York
2:35.0,,,120-100,,Defensive rebound by L. Thomas
2:35.0,,,120-100,,New York full timeout
2:35.0,,,120-100,,T. Burke enters the game for E. Mudiay
2:35.0,,,120-100,,F. Ntilikina enters the game for L. Thomas
2:20.0,,,120-102,2,T. Williams makes 2-pt shot at rim (assist by D. Dotson)
1:58.0,Turnover by N. Young (bad pass; steal by T. Williams),,120-102,,
1:53.0,,,120-104,2,I. Hicks makes 2-pt shot from 1 ft (assist by D. Dotson)
1:40.0,Shooting foul by I. Hicks (drawn by Z. Pachulia),,120-104,,
1:40.0,Z. Pachulia makes free throw 1 of 2,1,121-104,,
1:40.0,Z. Pachulia misses free throw 2 of 2,,121-104,,
1:37.0,,,121-104,,Defensive rebound by T. Williams
1:20.0,,,121-104,,Turnover by D. Dotson (bad pass; steal by O. Casspi)
1:02.0,Turnover by Z. Pachulia (bad pass),,121-104,,
0:54.0,,,121-106,2,T. Burke makes 2-pt shot from 11 ft
0:42.0,J. Bell makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,123-106,,
0:35.0,,,123-108,2,T. Burke makes 2-pt shot from 17 ft
0:35.0,,,123-108,,Shooting foul by Q. Cook (drawn by T. Burke)
0:35.0,,,123-109,1,T. Burke makes free throw 1 of 1
0:26.0,Shooting foul by D. Dotson (drawn by Z. Pachulia),,123-109,,
0:26.0,Z. Pachulia makes free throw 1 of 2,1,124-109,,
0:26.0,Z. Pachulia makes free throw 2 of 2,1,125-109,,
0:16.0,,,125-111,2,I. Hicks makes 2-pt shot from 23 ft (assist by T. Burke)
