time,Atlanta,pts.away,score,pts.home,Sacramento
3:06.0,,,90-99,,Defensive rebound by K. Koufos
2:48.0,,,90-101,2,B. Hield makes 2-pt shot from 12 ft (assist by K. Koufos)
2:40.0,Shooting foul by K. Koufos (drawn by M. Plumlee),,90-101,,
2:40.0,,,90-101,,J. Jackson enters the game for V. Carter
2:40.0,M. Plumlee misses free throw 1 of 2,,90-101,,
2:40.0,Offensive rebound by Team,,90-101,,
2:40.0,M. Plumlee misses free throw 2 of 2,,90-101,,
2:40.0,,,90-101,,Defensive rebound by B. Caboclo
2:30.0,Personal foul by M. Plumlee (drawn by K. Koufos),,90-101,,
2:15.0,,,90-101,,K. Koufos misses 2-pt shot from 7 ft
2:12.0,,,90-101,,Offensive rebound by K. Koufos
2:11.0,,,90-103,2,K. Koufos makes 2-pt shot from 3 ft
1:55.0,T. Dorsey misses 2-pt shot from 2 ft,,90-103,,
1:53.0,Offensive rebound by T. Dorsey,,90-103,,
1:44.0,T. Cavanaugh misses 3-pt shot from 23 ft,,90-103,,
1:40.0,,,90-103,,Defensive rebound by F. Mason
1:24.0,,,90-103,,K. Koufos misses 2-pt shot from 11 ft
1:21.0,,,90-103,,Offensive rebound by B. Caboclo
1:09.0,,,90-103,,F. Mason misses 2-pt shot from 1 ft
1:06.0,Defensive rebound by M. Plumlee,,90-103,,
1:03.0,T. Dorsey misses 3-pt shot from 24 ft,,90-103,,
0:58.0,,,90-103,,Defensive rebound by B. Caboclo
0:39.0,,,90-105,2,F. Mason makes 2-pt shot from 2 ft
0:29.0,J. Magette misses 2-pt shot from 21 ft,,90-105,,
0:25.0,,,90-105,,Defensive rebound by B. Hield
0:03.0,,,90-105,,Turnover by Team (shot clock)
