time,Denver,pts.away,score,pts.home,Philadelphia
8:22.0,,,79-96,,Personal block foul by A. Johnson (drawn by N. Jokic)
8:18.0,J. Murray makes 2-pt shot at rim (assist by W. Barton),2,81-96,,
8:18.0,Shooting foul by B. Simmons (drawn by J. Murray),,81-96,,
8:18.0,J. Murray makes free throw 1 of 1,1,82-96,,
8:05.0,,,82-99,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Simmons)
7:55.0,W. Chandler makes 3-pt shot from 25 ft (assist by N. Jokic),3,85-99,,
7:38.0,,,85-99,,J. Redick misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by J. Murray,,85-99,,
7:30.0,Shooting foul by A. Johnson (drawn by W. Barton),,85-99,,
7:30.0,W. Barton makes free throw 1 of 2,1,86-99,,
7:30.0,,,86-99,,M. Belinelli enters the game for R. Covington
7:30.0,P. Millsap enters the game for D. Harris,,86-99,,
7:30.0,W. Barton makes free throw 2 of 2,1,87-99,,
7:09.0,,,87-101,2,J. Redick makes 2-pt shot from 1 ft (assist by A. Johnson)
6:53.0,Shooting foul by B. Simmons (drawn by P. Millsap),,87-101,,
6:53.0,P. Millsap misses free throw 1 of 2,,87-101,,
6:53.0,Offensive rebound by Team,,87-101,,
6:53.0,P. Millsap makes free throw 2 of 2,1,88-101,,
6:41.0,,,88-101,,J. Redick misses 2-pt shot from 12 ft
6:37.0,,,88-101,,Offensive rebound by B. Simmons
6:33.0,,,88-101,,A. Johnson misses 2-pt shot from 6 ft
6:28.0,,,88-101,,Offensive rebound by E. Ilyasova
6:28.0,,,88-101,,E. Ilyasova misses 2-pt shot from 3 ft
6:28.0,Defensive rebound by P. Millsap,,88-101,,
6:28.0,,,88-101,,D. Saric enters the game for J. Redick
6:28.0,,,88-101,,R. Covington enters the game for E. Ilyasova
6:25.0,Jump ball: A. Johnson vs. P. Millsap (J. Murray gains possession),,,,Jump ball: A. Johnson vs. P. Millsap (J. Murray gains possession)
6:16.0,W. Chandler misses 2-pt shot from 7 ft,,88-101,,
6:13.0,,,88-101,,Defensive rebound by B. Simmons
6:06.0,,,88-101,,D. Saric misses 2-pt shot from 3 ft
6:04.0,,,88-101,,Offensive rebound by B. Simmons
6:04.0,,,88-103,2,B. Simmons makes 2-pt shot at rim
6:04.0,Denver full timeout,,88-103,,
6:04.0,,,88-103,,J. Embiid enters the game for A. Johnson
5:54.0,J. Murray misses 3-pt shot from 25 ft,,88-103,,
5:51.0,,,88-103,,Defensive rebound by B. Simmons
5:49.0,,,88-105,2,M. Belinelli makes 2-pt shot from 2 ft (assist by B. Simmons)
5:33.0,J. Murray misses 3-pt shot from 24 ft,,88-105,,
5:31.0,,,88-105,,Defensive rebound by R. Covington
5:16.0,,,88-107,2,J. Embiid makes 2-pt shot from 1 ft (assist by M. Belinelli)
4:56.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Chandler),3,91-107,,
4:56.0,,,91-107,,Philadelphia full timeout
4:56.0,M. Plumlee enters the game for P. Millsap,,91-107,,
4:56.0,M. Beasley enters the game for W. Barton,,91-107,,
4:56.0,T. Lyles enters the game for N. Jokic,,91-107,,
4:56.0,D. Harris enters the game for W. Chandler,,91-107,,
4:56.0,T. Craig enters the game for J. Murray,,91-107,,
4:44.0,,,91-107,,J. Embiid misses 2-pt shot from 6 ft (block by M. Plumlee)
4:41.0,,,91-107,,Offensive rebound by B. Simmons
4:31.0,,,91-107,,B. Simmons misses 3-pt shot from 29 ft
4:26.0,Defensive rebound by D. Harris,,91-107,,
4:11.0,,,91-107,,Personal foul by B. Simmons (drawn by M. Plumlee)
4:11.0,M. Plumlee misses free throw 1 of 2,,91-107,,
4:11.0,Offensive rebound by Team,,91-107,,
4:11.0,,,91-107,,J. Redick enters the game for M. Belinelli
4:11.0,M. Plumlee misses free throw 2 of 2,,91-107,,
4:09.0,,,91-107,,Defensive rebound by J. Embiid
3:56.0,,,91-107,,Turnover by J. Embiid (bad pass)
3:41.0,T. Lyles misses 3-pt shot from 25 ft,,91-107,,
3:37.0,,,91-107,,Defensive rebound by D. Saric
3:21.0,,,91-110,3,R. Covington makes 3-pt shot from 27 ft (assist by J. Redick)
3:21.0,,,91-110,,Shooting foul by D. Harris (drawn by R. Covington)
3:21.0,,,91-111,1,R. Covington makes free throw 1 of 1
3:10.0,T. Craig misses 2-pt shot from 2 ft,,91-111,,
3:08.0,Offensive rebound by T. Craig,,91-111,,
3:07.0,T. Craig misses 2-pt shot from 2 ft,,91-111,,
3:04.0,Offensive rebound by M. Plumlee,,91-111,,
3:04.0,M. Plumlee makes 2-pt shot at rim,2,93-111,,
3:01.0,Personal take foul by T. Craig (drawn by B. Simmons),,93-111,,
3:01.0,,,93-111,,E. Ilyasova enters the game for J. Embiid
3:01.0,J. Hernangomez enters the game for T. Craig,,93-111,,
2:51.0,,,93-113,2,B. Simmons makes 2-pt shot from 2 ft
2:42.0,Shooting foul by D. Saric (drawn by D. Harris),,93-113,,
2:42.0,Technical foul by D. Harris,,93-113,,
2:42.0,,,93-114,1,J. Redick makes technical free throw
2:42.0,D. Harris makes free throw 1 of 2,1,94-114,,
2:42.0,,,94-114,,M. Fultz enters the game for B. Simmons
2:42.0,D. Harris makes free throw 2 of 2,1,95-114,,
2:29.0,,,95-114,,M. Fultz misses 2-pt shot from 2 ft (block by M. Beasley)
2:26.0,,,95-114,,Offensive rebound by M. Fultz
2:25.0,,,95-114,,D. Saric misses 3-pt shot from 25 ft
2:23.0,,,95-114,,Offensive rebound by M. Fultz
2:13.0,,,95-116,2,M. Fultz makes 2-pt shot from 13 ft
2:00.0,Turnover by T. Lyles (bad pass; steal by E. Ilyasova),,95-116,,
1:46.0,,,95-119,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Fultz)
1:35.0,J. Hernangomez makes 3-pt shot from 25 ft (assist by D. Harris),3,98-119,,
1:35.0,,,98-119,,Philadelphia full timeout
1:35.0,,,98-119,,T. McConnell enters the game for D. Saric
1:35.0,,,98-119,,R. Holmes enters the game for J. Redick
1:35.0,,,98-119,,F. Korkmaz enters the game for R. Covington
1:18.0,,,98-121,2,M. Fultz makes 2-pt shot from 19 ft
1:05.0,M. Beasley makes 3-pt shot from 22 ft (assist by J. Hernangomez),3,101-121,,
0:46.0,,,101-121,,M. Fultz misses 2-pt shot from 16 ft
0:44.0,Defensive rebound by D. Harris,,101-121,,
0:41.0,Shooting foul by T. McConnell (drawn by M. Plumlee),,101-121,,
0:41.0,M. Plumlee misses free throw 1 of 2,,101-121,,
0:41.0,Offensive rebound by Team,,101-121,,
0:41.0,M. Plumlee makes free throw 2 of 2,1,102-121,,
0:34.0,,,102-121,,Turnover by E. Ilyasova (bad pass; steal by M. Plumlee)
0:31.0,M. Plumlee makes 2-pt shot from 2 ft,2,104-121,,
0:12.0,,,104-123,2,R. Holmes makes 2-pt shot from 5 ft (assist by M. Fultz)
0:06.0,J. Hernangomez misses 3-pt shot from 25 ft,,104-123,,
0:02.0,,,104-123,,Defensive rebound by F. Korkmaz
