time,Boston,pts.away,score,pts.home,Memphis
5:45.0,J. Tatum enters the game for A. Horford,,62-60,,
5:28.0,,,62-60,,Turnover by M. Gasol (bad pass; steal by J. Brown)
5:26.0,,,62-60,,K. Simmons enters the game for A. Harrison
5:19.0,K. Irving makes 2-pt shot from 1 ft (assist by M. Smart),2,64-60,,
5:00.0,,,64-60,,M. Chalmers misses 3-pt shot from 23 ft
5:00.0,Defensive rebound by J. Brown,,64-60,,
4:42.0,K. Irving misses 2-pt shot from 9 ft,,64-60,,
4:36.0,Offensive rebound by A. Baynes,,64-60,,
4:36.0,A. Baynes misses 2-pt shot at rim,,64-60,,
4:35.0,Offensive rebound by J. Tatum,,64-60,,
4:31.0,J. Tatum makes 2-pt shot from 1 ft,2,66-60,,
4:08.0,,,66-60,,D. Brooks misses 2-pt shot from 21 ft
4:07.0,Defensive rebound by Team,,66-60,,
4:07.0,,,66-60,,J. Martin enters the game for J. Green
3:46.0,J. Tatum misses 2-pt shot at rim,,66-60,,
3:43.0,,,66-60,,Defensive rebound by M. Gasol
3:33.0,,,66-60,,D. Brooks misses 2-pt shot from 8 ft
3:30.0,Defensive rebound by A. Baynes,,66-60,,
3:26.0,M. Smart makes 3-pt shot from 25 ft,3,69-60,,
3:19.0,,,69-60,,Memphis full timeout
3:19.0,,,69-60,,J. Ennis enters the game for K. Simmons
3:19.0,,,69-60,,T. Evans enters the game for D. Brooks
3:19.0,T. Rozier enters the game for K. Irving,,69-60,,
3:09.0,,,69-62,2,M. Gasol makes 2-pt shot from 20 ft (assist by J. Martin)
2:54.0,Turnover by M. Smart (bad pass; steal by M. Gasol),,69-62,,
2:50.0,,,69-62,,J. Martin misses 2-pt shot from 1 ft
2:50.0,,,69-62,,Offensive rebound by Team
2:38.0,,,69-62,,Offensive charge foul by M. Chalmers (drawn by A. Baynes)
2:38.0,,,69-62,,Turnover by M. Chalmers (offensive foul)
2:18.0,J. Brown misses 2-pt shot from 6 ft (block by T. Evans),,69-62,,
2:14.0,Offensive rebound by J. Brown,,69-62,,
2:13.0,J. Brown misses 2-pt shot from 9 ft,,69-62,,
2:13.0,,,69-62,,Defensive rebound by M. Gasol
1:53.0,,,69-65,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Chalmers)
1:40.0,Offensive foul by A. Baynes (drawn by M. Chalmers),,69-65,,
1:40.0,Turnover by A. Baynes (offensive foul),,69-65,,
1:40.0,A. Horford enters the game for A. Baynes,,69-65,,
1:31.0,,,69-65,,T. Evans misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by T. Rozier,,69-65,,
1:26.0,D. Theis enters the game for J. Brown,,69-65,,
1:23.0,Jump ball: M. Gasol vs. T. Rozier (T. Evans gains possession),,,,Jump ball: M. Gasol vs. T. Rozier (T. Evans gains possession)
