time,Orlando,pts.away,score,pts.home,Phoenix
5:25.0,,,82-71,,Turnover by D. Bender (bad pass)
5:09.0,Turnover by N. Vucevic (traveling),,82-71,,
4:46.0,,,82-71,,Shooting foul by N. Vucevic (drawn by A. Len)
4:46.0,,,82-72,1,A. Len makes free throw 1 of 2
4:46.0,S. Mack enters the game for E. Payton,,82-72,,
4:46.0,J. Simmons enters the game for T. Ross,,82-72,,
4:46.0,,,82-73,1,A. Len makes free throw 2 of 2
4:25.0,Turnover by S. Mack (bad pass; steal by T. Ulis),,82-73,,
4:09.0,,,82-73,,T. Warren misses 2-pt shot from 1 ft
4:08.0,Defensive rebound by N. Vucevic,,82-73,,
4:03.0,E. Fournier misses 3-pt shot from 25 ft,,82-73,,
3:59.0,,,82-73,,Defensive rebound by D. Bender
3:53.0,,,82-76,3,D. Bender makes 3-pt shot from 24 ft (assist by D. Booker)
3:52.0,Orlando full timeout,,82-76,,
3:52.0,,,82-76,,J. Jackson enters the game for T. Warren
3:38.0,N. Vucevic misses 2-pt shot from 1 ft (block by D. Bender),,82-76,,
3:35.0,Offensive rebound by N. Vucevic,,82-76,,
3:34.0,E. Fournier misses 3-pt shot from 25 ft,,82-76,,
3:34.0,,,82-76,,Defensive rebound by D. Booker
3:21.0,,,82-76,,T. Ulis misses 3-pt shot from 26 ft
3:21.0,Defensive rebound by N. Vucevic,,82-76,,
3:00.0,A. Gordon makes 2-pt shot from 1 ft,2,84-76,,
3:00.0,Shooting foul by A. Len (drawn by A. Gordon),,84-76,,
3:00.0,A. Gordon makes free throw 1 of 1,1,85-76,,
2:53.0,,,85-76,,J. Jackson misses 2-pt shot from 1 ft
2:53.0,,,85-76,,Offensive rebound by A. Len
2:45.0,,,85-78,2,A. Len makes 2-pt shot at rim
2:42.0,N. Vucevic makes 3-pt shot from 26 ft (assist by J. Simmons),3,88-78,,
2:26.0,,,88-78,,Turnover by A. Len (bad pass; steal by S. Mack)
2:09.0,S. Mack makes 3-pt shot from 23 ft (assist by A. Gordon),3,91-78,,
1:59.0,Personal foul by J. Simmons (drawn by D. Bender),,91-78,,
1:59.0,,,91-78,,M. Chriss enters the game for A. Len
1:59.0,J. Isaac enters the game for N. Vucevic,,91-78,,
1:59.0,B. Biyombo enters the game for E. Fournier,,91-78,,
1:50.0,,,91-78,,D. Booker misses 2-pt shot from 12 ft
1:48.0,Defensive rebound by A. Gordon,,91-78,,
1:43.0,,,91-78,,Personal foul by D. Bender (drawn by J. Isaac)
1:43.0,,,91-78,,J. Dudley enters the game for D. Bender
1:28.0,S. Mack misses 2-pt shot from 2 ft,,91-78,,
1:28.0,,,91-78,,Defensive rebound by Team
1:28.0,Loose ball foul by J. Isaac (drawn by J. Dudley),,91-78,,
1:28.0,,,91-78,,J. Dudley misses free throw 1 of 2
1:28.0,,,91-78,,Offensive rebound by Team
1:28.0,,,91-79,1,J. Dudley makes free throw 2 of 2
1:06.0,Shooting foul by M. Chriss (drawn by J. Simmons),,91-79,,
1:06.0,J. Simmons makes free throw 1 of 2,1,92-79,,
1:06.0,J. Simmons makes free throw 2 of 2,1,93-79,,
0:57.0,,,93-79,,Turnover by J. Jackson (lost ball; steal by B. Biyombo)
0:47.0,A. Gordon misses 2-pt shot at rim,,93-79,,
0:45.0,,,93-79,,Defensive rebound by M. Chriss
0:43.0,,,93-79,,Shooting foul by S. Mack (drawn by D. Booker)
0:43.0,,,93-80,1,D. Booker makes free throw 1 of 2
0:43.0,,,93-81,1,D. Booker makes free throw 2 of 2
0:38.0,Turnover by S. Mack (turnover),,93-81,,
0:32.0,,,93-83,2,J. Jackson makes 2-pt shot at rim (assist by D. Booker)
0:11.0,J. Simmons makes 2-pt shot from 20 ft,2,95-83,,
0:04.0,,,95-83,,Offensive charge foul by D. Booker (drawn by S. Mack)
0:04.0,,,95-83,,Turnover by D. Booker (offensive foul)
0:00.0,J. Simmons makes 3-pt shot from 26 ft,2,97-83,,
0:00.0,Technical foul by Team,,97-83,,
0:00.0,,,97-83,,Technical foul by D. Booker
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,S. Mack misses free throw 1 of 2,,97-83,,
12:00.0,Offensive rebound by Team,,97-83,,
12:00.0,S. Mack misses free throw 2 of 2,,97-83,,
12:00.0,,,97-83,,Defensive rebound by Team
11:36.0,,,97-83,,Offensive rebound by T. Daniels
11:22.0,,,97-83,,T. Ulis misses 2-pt shot from 2 ft (block by B. Biyombo)
11:19.0,,,97-83,,Offensive rebound by T. Ulis
11:17.0,,,97-85,2,M. Chriss makes 2-pt shot at rim (assist by J. Dudley)
11:04.0,J. Simmons makes 2-pt shot from 10 ft (assist by B. Biyombo),2,99-85,,
10:54.0,,,99-85,,T. Daniels misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by B. Biyombo,,99-85,,
10:44.0,,,99-85,,Personal foul by J. Jackson (drawn by B. Biyombo)
10:41.0,Shooting foul by J. Dudley (drawn by J. Isaac),,99-85,,
10:41.0,J. Isaac makes free throw 1 of 2,1,100-85,,
10:41.0,,,100-85,,D. Bender enters the game for J. Dudley
10:41.0,J. Isaac makes free throw 2 of 2,1,101-85,,
10:34.0,,,101-85,,J. Jackson misses 2-pt shot from 1 ft (block by J. Isaac)
10:33.0,Defensive rebound by Team,,101-85,,
10:33.0,,,101-85,,Technical foul by J. Jackson
10:33.0,J. Simmons misses technical free throw,,101-85,,
10:33.0,Offensive rebound by Team,,101-85,,
10:12.0,B. Biyombo misses 2-pt shot from 1 ft,,101-85,,
10:10.0,Offensive rebound by J. Isaac,,101-85,,
10:08.0,J. Isaac misses 2-pt shot from 2 ft,,101-85,,
10:07.0,Offensive rebound by J. Isaac,,101-85,,
9:56.0,Shooting foul by D. Bender (drawn by B. Biyombo),,101-85,,
9:56.0,B. Biyombo makes free throw 1 of 2,1,102-85,,
9:56.0,,,102-85,,A. Len enters the game for D. Bender
9:56.0,B. Biyombo makes free throw 2 of 2,1,103-85,,
9:40.0,,,103-87,2,T. Ulis makes 2-pt shot from 11 ft
9:22.0,J. Isaac makes 2-pt shot from 1 ft (assist by S. Mack),2,105-87,,
9:22.0,Shooting foul by A. Len (drawn by J. Isaac),,105-87,,
9:22.0,,,105-87,,D. Booker enters the game for T. Daniels
9:22.0,J. Isaac misses free throw 1 of 1,,105-87,,
9:19.0,,,105-87,,Defensive rebound by J. Jackson
9:16.0,,,105-87,,J. Jackson misses 2-pt shot at rim
9:15.0,Defensive rebound by B. Biyombo,,105-87,,
9:15.0,,,105-87,,Personal foul by J. Jackson (drawn by T. Ross)
9:15.0,T. Ross makes free throw 1 of 2,1,106-87,,
9:15.0,,,106-87,,T. Warren enters the game for J. Jackson
9:15.0,T. Ross makes free throw 2 of 2,1,107-87,,
9:02.0,,,107-87,,Turnover by M. Chriss (bad pass; steal by J. Simmons)
8:59.0,J. Simmons makes 2-pt shot from 1 ft,2,109-87,,
8:59.0,,,109-87,,Violation by M. Chriss (def goaltending)
8:59.0,,,109-87,,Phoenix full timeout
8:59.0,,,109-87,,M. James enters the game for T. Ulis
8:41.0,Def 3 sec tech foul by J. Isaac,,109-87,,
8:41.0,,,109-88,1,D. Booker makes technical free throw
8:35.0,,,109-88,,Shooting foul by S. Mack (drawn by M. James)
8:35.0,,,109-88,,M. James misses free throw 1 of 2
8:35.0,,,109-88,,Offensive rebound by Team
8:35.0,,,109-88,,M. James misses free throw 2 of 2
8:33.0,Defensive rebound by J. Isaac,,109-88,,
8:20.0,T. Ross makes 3-pt shot from 25 ft (assist by J. Isaac),3,112-88,,
8:01.0,,,112-88,,M. Chriss misses 2-pt shot from 1 ft (block by J. Isaac)
7:57.0,Defensive rebound by J. Isaac,,112-88,,
7:40.0,Shooting foul by M. Chriss (drawn by B. Biyombo),,112-88,,
7:40.0,B. Biyombo misses free throw 1 of 2,,112-88,,
7:40.0,Offensive rebound by Team,,112-88,,
7:40.0,A. Afflalo enters the game for J. Simmons,,112-88,,
7:40.0,M. Hezonja enters the game for T. Ross,,112-88,,
