time,Charlotte,pts.away,score,pts.home,Detroit
1:42.0,Defensive rebound by D. Howard,,87-97,,
1:42.0,,,87-97,,Personal foul by R. Jackson (drawn by K. Walker)
1:42.0,K. Walker makes free throw 1 of 2,1,88-97,,
1:42.0,K. Walker makes free throw 2 of 2,1,89-97,,
1:27.0,,,89-97,,T. Harris misses 2-pt shot from 12 ft
1:23.0,,,89-97,,Offensive rebound by S. Johnson
1:11.0,,,89-100,3,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson)
1:02.0,Shooting foul by T. Harris (drawn by K. Walker),,89-100,,
1:02.0,K. Walker misses free throw 1 of 2,,89-100,,
1:02.0,Offensive rebound by Team,,89-100,,
1:02.0,K. Walker makes free throw 2 of 2,1,90-100,,
0:56.0,Personal foul by T. Graham (drawn by S. Johnson),,90-100,,
0:55.0,Personal foul by M. Williams (drawn by R. Jackson),,90-100,,
0:55.0,,,90-101,1,R. Jackson makes free throw 1 of 2
0:55.0,,,90-102,1,R. Jackson makes free throw 2 of 2
0:49.0,J. Lamb misses 2-pt shot from 21 ft,,90-102,,
0:45.0,,,90-102,,Defensive rebound by A. Drummond
0:24.0,F. Kaminsky enters the game for M. Williams,,90-102,,
0:24.0,,,90-102,,Turnover by Team (shot clock)
0:24.0,Charlotte full timeout,,90-102,,
0:21.0,J. Lamb misses 3-pt shot from 26 ft,,90-102,,
0:16.0,,,90-102,,Defensive rebound by A. Drummond
