time,Dallas,pts.away,score,pts.home,Toronto
1:38.0,,,106-102,,Shooting foul by D. Powell (drawn by D. DeRozan)
1:38.0,,,106-103,1,D. DeRozan makes free throw 1 of 2
1:38.0,,,106-104,1,D. DeRozan makes free throw 2 of 2
1:27.0,Turnover by D. Smith (traveling),,106-104,,
1:15.0,,,106-106,2,D. DeRozan makes 2-pt shot from 19 ft
1:15.0,Dallas full timeout,,106-106,,
0:55.0,Turnover by H. Barnes (out of bounds lost ball),,106-106,,
0:46.0,,,106-106,,Toronto full timeout
0:46.0,,,106-106,,C. Miles enters the game for D. Wright
0:44.0,,,106-106,,Turnover by C. Miles (bad pass; steal by H. Barnes)
0:31.0,D. Smith misses 2-pt shot from 1 ft (block by S. Ibaka),,106-106,,
0:27.0,Offensive rebound by N. Noel,,106-106,,
0:24.0,H. Barnes misses 2-pt shot from 18 ft,,106-106,,
0:20.0,,,106-106,,Defensive rebound by F. VanVleet
0:20.0,,,106-106,,Toronto full timeout
0:20.0,,,106-106,,J. Valanciunas enters the game for P. Siakam
0:01.0,,,106-106,,S. Ibaka misses 2-pt shot from 3 ft
0:01.0,,,106-106,,Offensive rebound by D. DeRozan
0:00.0,,,106-106,,D. DeRozan misses 2-pt shot from 12 ft
0:00.0,,,106-106,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: S. Ibaka vs. D. Powell (P. Siakam gains possession),,,,Jump ball: S. Ibaka vs. D. Powell (P. Siakam gains possession)
4:46.0,,,106-106,,Turnover by D. DeRozan (lost ball; steal by N. Noel)
4:34.0,D. Smith makes 2-pt shot from 1 ft (assist by N. Noel),2,108-106,,
4:19.0,,,108-106,,D. DeRozan misses 2-pt shot from 13 ft
4:17.0,Defensive rebound by D. Smith,,108-106,,
3:48.0,D. Smith makes 2-pt shot from 19 ft,2,110-106,,
3:33.0,Personal foul by N. Noel (drawn by D. DeRozan),,110-106,,
3:18.0,,,110-106,,F. VanVleet misses 3-pt shot from 23 ft
3:18.0,,,110-106,,Offensive rebound by Team
3:17.0,,,110-106,,Turnover by Team (shot clock)
3:10.0,Turnover by D. Smith (traveling),,110-106,,
2:59.0,,,110-109,3,D. Wright makes 3-pt shot from 25 ft (assist by D. DeRozan)
2:38.0,Y. Ferrell makes 2-pt shot from 17 ft,2,112-109,,
2:16.0,,,112-112,3,D. DeRozan makes 3-pt shot from 25 ft (assist by S. Ibaka)
2:01.0,H. Barnes misses 3-pt shot from 25 ft,,112-112,,
1:58.0,,,112-112,,Defensive rebound by D. DeRozan
1:49.0,,,112-112,,D. DeRozan misses 2-pt shot from 4 ft
1:47.0,Defensive rebound by D. Smith,,112-112,,
1:40.0,D. Smith misses 2-pt shot from 1 ft,,112-112,,
1:37.0,,,112-112,,Defensive rebound by F. VanVleet
1:23.0,,,112-112,,F. VanVleet misses 3-pt shot from 26 ft (block by N. Noel)
1:18.0,,,112-112,,Offensive rebound by D. Wright
1:17.0,,,112-112,,D. DeRozan misses 2-pt shot from 22 ft
1:14.0,,,112-112,,Offensive rebound by S. Ibaka
1:13.0,,,112-115,3,F. VanVleet makes 3-pt shot from 27 ft (assist by S. Ibaka)
1:13.0,Dallas full timeout,,112-115,,
1:00.0,D. Powell makes 3-pt shot from 27 ft (assist by D. Smith),3,115-115,,
0:53.0,,,115-117,2,D. DeRozan makes 2-pt shot from 2 ft
0:40.0,H. Barnes misses 2-pt shot from 8 ft (block by P. Siakam),,115-117,,
0:37.0,Offensive rebound by D. Powell,,115-117,,
0:36.0,Y. Ferrell misses 3-pt shot from 26 ft,,115-117,,
0:36.0,,,115-117,,Defensive rebound by D. DeRozan
0:16.0,Personal foul by D. Powell (drawn by D. Wright),,115-117,,
0:16.0,,,115-117,,Toronto full timeout
0:16.0,,,115-117,,C. Miles enters the game for P. Siakam
0:13.0,,,115-117,,Toronto full timeout
0:13.0,,,115-117,,J. Valanciunas enters the game for S. Ibaka
0:10.0,Personal foul by N. Noel (drawn by J. Valanciunas),,115-117,,
0:10.0,D. McDermott enters the game for N. Noel,,115-117,,
0:10.0,,,115-118,1,J. Valanciunas makes free throw 1 of 2
0:10.0,,,115-118,,P. Siakam enters the game for C. Miles
0:10.0,,,115-118,,J. Valanciunas misses free throw 2 of 2
0:08.0,,,115-118,,Offensive rebound by P. Siakam
0:07.0,Personal foul by D. Smith (drawn by J. Valanciunas),,115-118,,
0:07.0,,,115-119,1,J. Valanciunas makes free throw 1 of 2
0:07.0,M. Kleber enters the game for D. McDermott,,115-119,,
0:07.0,,,115-120,1,J. Valanciunas makes free throw 2 of 2
0:07.0,Dallas full timeout,,115-120,,
0:07.0,,,115-120,,S. Ibaka enters the game for J. Valanciunas
0:07.0,D. McDermott enters the game for M. Kleber,,115-120,,
0:07.0,Turnover by Team (turnover),,115-120,,
0:07.0,,,115-120,,C. Miles enters the game for P. Siakam
0:07.0,,,115-120,,J. Valanciunas enters the game for S. Ibaka
0:07.0,Personal foul by D. Smith (drawn by J. Valanciunas),,115-120,,
0:07.0,,,115-121,1,J. Valanciunas makes free throw 1 of 2
0:07.0,,,115-121,,P. Siakam enters the game for C. Miles
0:07.0,,,115-122,1,J. Valanciunas makes free throw 2 of 2
0:03.0,Y. Ferrell misses 3-pt shot from 32 ft,,115-122,,
0:00.0,,,115-122,,Defensive rebound by D. DeRozan
