time,Milwaukee,pts.away,score,pts.home,Minnesota
2:39.0,,,80-104,,C. Aldrich enters the game for T. Gibson
2:21.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,82-104,,
2:21.0,Shooting foul by G. Dieng (drawn by S. Kilpatrick),,82-104,,
2:21.0,S. Kilpatrick makes free throw 1 of 1,1,83-104,,
2:03.0,,,83-104,,G. Dieng misses 2-pt shot from 17 ft
1:56.0,,,83-104,,Offensive rebound by C. Aldrich
1:56.0,,,83-104,,C. Aldrich misses 2-pt shot at rim
1:55.0,Defensive rebound by M. Plumlee,,83-104,,
1:51.0,D. Wilson makes 3-pt shot from 22 ft (assist by S. Kilpatrick),3,86-104,,
1:47.0,,,86-104,,Turnover by A. Brooks (bad pass)
1:46.0,,,86-104,,Personal foul by C. Aldrich (drawn by M. Plumlee)
1:46.0,,,86-104,,N. Bjelica enters the game for G. Dieng
1:46.0,M. Plumlee makes free throw 1 of 2,1,87-104,,
1:46.0,M. Plumlee makes free throw 2 of 2,1,88-104,,
1:29.0,,,88-104,,C. Aldrich misses 2-pt shot from 2 ft (block by S. Kilpatrick)
1:28.0,Defensive rebound by S. Kilpatrick,,88-104,,
1:24.0,S. Kilpatrick misses 2-pt shot at rim (block by N. Bjelica),,88-104,,
1:24.0,,,88-104,,Defensive rebound by Team
1:14.0,Personal foul by M. Plumlee (drawn by A. Brooks),,88-104,,
1:14.0,,,88-104,,A. Brooks misses free throw 1 of 2
1:14.0,,,88-104,,Offensive rebound by Team
1:14.0,,,88-105,1,A. Brooks makes free throw 2 of 2
1:02.0,M. Plumlee misses 2-pt shot from 1 ft (block by C. Aldrich),,88-105,,
0:56.0,Offensive rebound by R. Vaughn,,88-105,,
0:49.0,Turnover by M. Plumlee (lost ball; steal by N. Bjelica),,88-105,,
0:39.0,,,88-105,,Turnover by A. Brooks (out of bounds lost ball)
0:33.0,Shooting foul by C. Aldrich (drawn by X. Munford),,88-105,,
0:33.0,X. Munford misses free throw 1 of 2,,88-105,,
0:33.0,Offensive rebound by Team,,88-105,,
0:33.0,X. Munford makes free throw 2 of 2,1,89-105,,
0:18.0,,,89-108,3,N. Bjelica makes 3-pt shot from 26 ft (assist by A. Brooks)
0:06.0,Turnover by X. Munford (lost ball; steal by A. Brooks),,89-108,,
