time,Washington,pts.away,score,pts.home,Denver
4:37.0,,,97-92,,N. Jokic misses 2-pt shot from 7 ft
4:36.0,Defensive rebound by Team,,97-92,,
4:36.0,,,97-92,,W. Barton enters the game for E. Mudiay
4:36.0,,,97-92,,J. Murray enters the game for W. Chandler
4:24.0,,,97-92,,Shooting block foul by P. Millsap (drawn by J. Wall)
4:24.0,J. Wall makes free throw 1 of 2,1,98-92,,
4:24.0,J. Wall makes free throw 2 of 2,1,99-92,,
4:07.0,,,99-92,,N. Jokic misses 2-pt shot from 16 ft
4:04.0,Defensive rebound by B. Beal,,99-92,,
3:55.0,,,99-92,,Personal block foul by J. Murray (drawn by J. Wall)
3:55.0,J. Wall makes free throw 1 of 2,1,100-92,,
3:55.0,J. Wall misses free throw 2 of 2,,100-92,,
3:52.0,,,100-92,,Defensive rebound by P. Millsap
3:40.0,,,100-94,2,N. Jokic makes 2-pt shot from 2 ft
3:40.0,,,100-94,,Shooting foul by M. Gortat (drawn by N. Jokic)
3:40.0,,,100-95,1,N. Jokic makes free throw 1 of 1
3:18.0,Jump ball: G. Harris vs. B. Beal (J. Murray gains possession),,,,Jump ball: G. Harris vs. B. Beal (J. Murray gains possession)
3:18.0,Turnover by B. Beal (turnover; steal by G. Harris),,100-95,,
2:54.0,,,100-95,,J. Murray misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by M. Gortat,,100-95,,
2:31.0,J. Wall misses 2-pt shot from 17 ft,,100-95,,
2:29.0,,,100-95,,Defensive rebound by G. Harris
2:13.0,,,100-95,,P. Millsap misses 2-pt shot from 19 ft
2:12.0,Defensive rebound by B. Beal,,100-95,,
1:52.0,B. Beal misses 2-pt shot from 4 ft,,100-95,,
1:50.0,,,100-95,,Defensive rebound by N. Jokic
1:48.0,,,100-95,,Turnover by N. Jokic (bad pass; steal by M. Gortat)
1:29.0,K. Oubre misses 3-pt shot from 23 ft,,100-95,,
1:29.0,,,100-95,,Defensive rebound by Team
1:29.0,Personal foul by M. Gortat (drawn by N. Jokic),,100-95,,
1:29.0,I. Mahinmi enters the game for M. Gortat,,100-95,,
1:29.0,,,100-96,1,N. Jokic makes free throw 1 of 2
1:29.0,,,100-97,1,N. Jokic makes free throw 2 of 2
1:14.0,Shooting foul by N. Jokic (drawn by O. Porter),,100-97,,
1:14.0,O. Porter makes free throw 1 of 2,1,101-97,,
1:14.0,O. Porter makes free throw 2 of 2,1,102-97,,
1:05.0,,,102-100,3,N. Jokic makes 3-pt shot from 25 ft (assist by J. Murray)
0:44.0,J. Wall makes 2-pt shot from 16 ft,2,104-100,,
0:32.0,,,104-102,2,J. Murray makes 2-pt shot from 18 ft
0:32.0,Washington full timeout,,104-102,,
0:32.0,,,104-102,,Technical foul by N. Jokic
0:32.0,,,104-102,,K. Faried enters the game for N. Jokic
0:32.0,M. Scott enters the game for I. Mahinmi,,104-102,,
0:32.0,B. Beal makes technical free throw,1,105-102,,
0:12.0,B. Beal makes 2-pt shot from 4 ft (assist by J. Wall),2,107-102,,
0:12.0,,,107-102,,Denver full timeout
0:12.0,,,107-102,,N. Jokic enters the game for K. Faried
0:08.0,,,107-104,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Murray)
0:07.0,,,107-104,,Personal take foul by J. Murray (drawn by J. Wall)
0:07.0,J. Wall makes free throw 1 of 2,1,108-104,,
0:07.0,J. Wall makes free throw 2 of 2,1,109-104,,
0:00.0,,,109-104,,J. Murray misses 3-pt shot from 27 ft
0:00.0,,,109-104,,Offensive rebound by Team
