time,Memphis,pts.away,score,pts.home,Boston
4:40.0,,,83-98,,J. Tatum misses 2-pt shot from 17 ft
4:36.0,Defensive rebound by A. Harrison,,83-98,,
4:33.0,J. Martin makes 2-pt shot from 1 ft (assist by A. Harrison),2,85-98,,
4:17.0,,,85-98,,Turnover by S. Larkin (lost ball; steal by D. Brooks)
4:12.0,D. Brooks misses 2-pt shot from 1 ft (block by D. Theis),,85-98,,
4:09.0,,,85-98,,Defensive rebound by S. Larkin
3:53.0,,,85-100,2,S. Larkin makes 2-pt shot from 4 ft
3:27.0,M. Gasol makes 2-pt shot from 21 ft (assist by D. Brooks),2,87-100,,
3:02.0,,,87-102,2,M. Morris makes 2-pt shot from 11 ft (assist by S. Larkin)
3:02.0,,,87-102,,Shooting foul by D. Brooks (drawn by M. Morris)
3:02.0,,,87-102,,M. Smart enters the game for S. Larkin
3:02.0,,,87-102,,M. Morris misses free throw 1 of 1
3:01.0,,,87-102,,Offensive rebound by D. Theis
2:58.0,,,87-102,,J. Tatum misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by J. Green,,87-102,,
2:45.0,Shooting foul by D. Theis (drawn by A. Harrison),,87-102,,
2:45.0,A. Harrison makes free throw 1 of 2,1,88-102,,
2:45.0,A. Harrison makes free throw 2 of 2,1,89-102,,
2:29.0,,,89-104,2,D. Theis makes 2-pt shot from 10 ft (assist by T. Rozier)
2:09.0,J. Green makes 2-pt shot from 18 ft (assist by M. Gasol),2,91-104,,
1:50.0,,,91-104,,Shooting foul by D. Brooks (drawn by T. Rozier)
1:50.0,,,91-105,1,T. Rozier makes free throw 1 of 2
1:50.0,,,91-105,,S. Ojeleye enters the game for J. Tatum
1:50.0,,,91-105,,S. Larkin enters the game for M. Morris
1:50.0,,,91-105,,A. Nader enters the game for M. Smart
1:50.0,M. Henry enters the game for J. Green,,91-105,,
1:50.0,B. Johnson enters the game for D. Brooks,,91-105,,
1:50.0,I. Rabb enters the game for M. Gasol,,91-105,,
1:50.0,,,91-105,,T. Rozier misses free throw 2 of 2
1:48.0,Defensive rebound by B. Johnson,,91-105,,
1:33.0,A. Harrison misses 3-pt shot from 24 ft,,91-105,,
1:30.0,,,91-105,,Defensive rebound by T. Rozier
1:26.0,,,91-107,2,T. Rozier makes 2-pt shot from 2 ft
1:19.0,B. Johnson makes 2-pt shot from 2 ft (assist by A. Harrison),2,93-107,,
1:01.0,,,93-107,,S. Larkin misses 2-pt shot from 18 ft
0:59.0,Defensive rebound by J. Martin,,93-107,,
0:47.0,I. Rabb misses 2-pt shot from 1 ft,,93-107,,
0:47.0,,,93-107,,Defensive rebound by A. Nader
0:47.0,Personal foul by B. Johnson (drawn by A. Nader),,93-107,,
0:47.0,,,93-108,1,A. Nader makes free throw 1 of 2
0:47.0,,,93-109,1,A. Nader makes free throw 2 of 2
0:38.0,J. Martin makes 3-pt shot from 25 ft (assist by A. Harrison),3,96-109,,
0:20.0,,,96-109,,T. Rozier misses 2-pt shot from 16 ft
0:17.0,Defensive rebound by M. Henry,,96-109,,
0:12.0,B. Johnson makes 2-pt shot from 2 ft (assist by A. Harrison),2,98-109,,
