time,LA Lakers,pts.away,score,pts.home,Minnesota
6:34.0,,,88-101,,T. Jones misses 3-pt shot from 22 ft
6:31.0,Defensive rebound by Team,,88-101,,
6:31.0,,,88-101,,A. Wiggins enters the game for J. Crawford
6:31.0,B. Ingram enters the game for V. Blue,,88-101,,
6:18.0,L. Nance misses 2-pt shot from 17 ft,,88-101,,
6:14.0,,,88-101,,Defensive rebound by A. Wiggins
6:09.0,Personal foul by I. Zubac (drawn by K. Towns),,88-101,,
5:59.0,,,88-103,2,J. Butler makes 2-pt shot from 18 ft
5:38.0,Turnover by J. Clarkson (lost ball; steal by K. Towns),,88-103,,
5:29.0,,,88-103,,A. Wiggins misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by I. Zubac,,88-103,,
5:09.0,J. Hart misses 3-pt shot from 22 ft,,88-103,,
5:07.0,,,88-103,,Defensive rebound by J. Butler
5:02.0,,,88-105,2,T. Gibson makes 2-pt shot from 1 ft (assist by T. Jones)
4:42.0,J. Clarkson misses 2-pt shot at rim,,88-105,,
4:42.0,,,88-105,,Defensive rebound by T. Gibson
4:29.0,,,88-105,,Turnover by K. Towns (lost ball; steal by L. Nance)
4:25.0,J. Hart makes 2-pt shot at rim (assist by L. Nance),2,90-105,,
4:24.0,,,90-105,,Minnesota full timeout
4:24.0,J. Randle enters the game for L. Nance,,90-105,,
4:09.0,,,90-107,2,T. Gibson makes 2-pt shot from 17 ft (assist by J. Butler)
3:53.0,I. Zubac misses 2-pt shot from 5 ft,,90-107,,
3:50.0,,,90-107,,Defensive rebound by K. Towns
3:35.0,,,90-110,3,A. Wiggins makes 3-pt shot from 24 ft (assist by T. Jones)
3:24.0,J. Clarkson misses 3-pt shot from 21 ft,,90-110,,
3:20.0,,,90-110,,Defensive rebound by K. Towns
3:08.0,,,90-110,,K. Towns misses 2-pt shot from 3 ft (block by J. Randle)
3:05.0,Defensive rebound by J. Clarkson,,90-110,,
3:02.0,J. Clarkson makes 2-pt shot at rim,2,92-110,,
2:37.0,,,92-110,,K. Towns misses 3-pt shot from 26 ft
2:35.0,Defensive rebound by B. Ingram,,92-110,,
2:31.0,Turnover by B. Ingram (bad pass; steal by K. Towns),,92-110,,
2:18.0,,,92-110,,Shooting foul by J. Randle (drawn by A. Wiggins)
2:18.0,,,92-111,1,A. Wiggins makes free throw 1 of 2
2:18.0,,,92-111,,N. Bjelica enters the game for T. Jones
2:18.0,,,92-111,,M. Georges-Hunt enters the game for J. Butler
2:18.0,,,92-111,,A. Brooks enters the game for K. Towns
2:18.0,,,92-111,,C. Aldrich enters the game for T. Gibson
2:18.0,V. Blue enters the game for J. Clarkson,,92-111,,
2:18.0,A. Caruso enters the game for B. Ingram,,92-111,,
2:18.0,,,92-111,,A. Wiggins misses free throw 2 of 2
2:14.0,Defensive rebound by I. Zubac,,92-111,,
2:02.0,J. Hart misses 3-pt shot from 24 ft,,92-111,,
1:58.0,,,92-111,,Defensive rebound by C. Aldrich
1:40.0,,,92-111,,N. Bjelica misses 3-pt shot from 23 ft
1:40.0,Defensive rebound by J. Randle,,92-111,,
1:34.0,Shooting foul by A. Brooks (drawn by J. Randle),,92-111,,
1:34.0,J. Randle makes free throw 1 of 2,1,93-111,,
1:34.0,,,93-111,,J. Crawford enters the game for A. Wiggins
1:34.0,J. Randle makes free throw 2 of 2,1,94-111,,
1:12.0,,,94-114,3,M. Georges-Hunt makes 3-pt shot from 25 ft
1:05.0,Turnover by J. Randle (out of bounds lost ball),,94-114,,
0:50.0,,,94-114,,M. Georges-Hunt misses 2-pt shot from 2 ft
0:48.0,Defensive rebound by J. Randle,,94-114,,
0:40.0,Turnover by A. Caruso (lost ball; steal by A. Brooks),,94-114,,
0:17.0,,,94-114,,C. Aldrich misses 2-pt shot from 2 ft
0:16.0,Defensive rebound by J. Randle,,94-114,,
0:12.0,J. Randle makes 2-pt shot at rim,2,96-114,,
