time,Philadelphia,pts.away,score,pts.home,Houston
6:47.0,,,100-93,,Turnover by E. Gordon (bad pass; steal by J. Embiid)
6:31.0,T. McConnell makes 3-pt shot from 23 ft (assist by J. Embiid),3,103-93,,
6:20.0,Personal foul by J. Bayless (drawn by E. Gordon),,103-93,,
6:15.0,,,103-93,,J. Harden misses 2-pt shot from 4 ft
6:11.0,Defensive rebound by J. Embiid,,103-93,,
5:58.0,T. McConnell misses 2-pt shot from 10 ft,,103-93,,
5:55.0,,,103-93,,Defensive rebound by C. Capela
5:54.0,Personal foul by B. Simmons (drawn by J. Harden),,103-93,,
5:42.0,Personal foul by R. Covington (drawn by P. Tucker),,103-93,,
5:42.0,,,103-94,1,P. Tucker makes free throw 1 of 2
5:42.0,,,103-95,1,P. Tucker makes free throw 2 of 2
5:19.0,J. Bayless misses 3-pt shot from 25 ft,,103-95,,
5:15.0,,,103-95,,Defensive rebound by C. Capela
5:10.0,,,103-98,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Capela)
5:09.0,Philadelphia full timeout,,103-98,,
4:56.0,Turnover by T. McConnell (turnover),,103-98,,
4:47.0,,,103-98,,Turnover by E. Gordon (bad pass)
4:36.0,R. Covington misses 2-pt shot from 19 ft,,103-98,,
4:31.0,,,103-98,,Defensive rebound by Team
4:18.0,,,103-98,,J. Harden misses 2-pt shot from 7 ft (block by T. McConnell)
4:18.0,,,103-98,,Offensive rebound by Team
4:09.0,Personal foul by J. Embiid (drawn by C. Capela),,103-98,,
4:09.0,,,103-99,1,C. Capela makes free throw 1 of 2
4:09.0,,,103-99,,C. Capela misses free throw 2 of 2
4:06.0,Defensive rebound by J. Bayless,,103-99,,
3:58.0,Philadelphia full timeout,,103-99,,
3:50.0,B. Simmons makes 2-pt shot from 2 ft,2,105-99,,
3:50.0,,,105-99,,Violation by C. Capela (def goaltending)
3:50.0,Shooting foul by T. Ariza (drawn by B. Simmons),,105-99,,
3:50.0,B. Simmons makes free throw 1 of 1,1,106-99,,
3:40.0,,,106-99,,Shooting foul by R. Covington (drawn by J. Harden)
3:40.0,,,106-100,1,J. Harden makes free throw 1 of 2
3:40.0,,,106-100,,J. Harden misses free throw 2 of 2
3:36.0,,,106-100,,Offensive rebound by C. Capela
3:31.0,,,106-100,,Houston full timeout
3:28.0,,,106-103,3,E. Gordon makes 3-pt shot from 23 ft (assist by T. Ariza)
3:06.0,Turnover by R. Covington (bad pass; steal by J. Harden),,106-103,,
3:06.0,,,106-103,,Shooting foul by J. Bayless (drawn by J. Harden)
3:06.0,,,106-104,1,J. Harden makes free throw 1 of 2
3:06.0,,,106-105,1,J. Harden makes free throw 2 of 2
2:47.0,Turnover by J. Embiid (lost ball; steal by J. Harden),,106-105,,
2:41.0,,,106-105,,C. Capela misses 2-pt shot from 2 ft
2:39.0,Defensive rebound by R. Covington,,106-105,,
2:22.0,J. Embiid makes 2-pt shot from 6 ft (assist by R. Covington),2,108-105,,
2:08.0,,,108-105,,J. Harden misses 2-pt shot from 4 ft (block by T. McConnell)
2:05.0,Defensive rebound by J. Embiid,,108-105,,
2:01.0,B. Simmons makes 2-pt shot from 1 ft,2,110-105,,
1:48.0,,,110-105,,P. Tucker misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by B. Simmons,,110-105,,
1:24.0,,,110-105,,Houston full timeout
1:24.0,,,110-105,,R. Anderson enters the game for C. Capela
1:23.0,Turnover by Team (shot clock),,110-105,,
1:13.0,,,110-105,,J. Harden misses 2-pt shot from 2 ft
1:11.0,Defensive rebound by J. Embiid,,110-105,,
0:59.0,,,110-105,,Personal foul by R. Anderson (drawn by J. Embiid)
0:59.0,,,110-105,,N. Hilario enters the game for R. Anderson
0:58.0,,,110-105,,Personal foul by T. Ariza (drawn by B. Simmons)
0:58.0,B. Simmons misses free throw 1 of 2,,110-105,,
0:58.0,Offensive rebound by Team,,110-105,,
0:58.0,,,110-105,,R. Anderson enters the game for N. Hilario
0:58.0,B. Simmons misses free throw 2 of 2,,110-105,,
0:55.0,,,110-105,,Defensive rebound by R. Anderson
0:48.0,,,110-105,,R. Anderson misses 3-pt shot from 26 ft
0:45.0,,,110-105,,Offensive rebound by P. Tucker
0:41.0,,,110-105,,T. Ariza misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by J. Embiid,,110-105,,
0:37.0,,,110-105,,Personal take foul by T. Ariza (drawn by B. Simmons)
0:37.0,B. Simmons makes free throw 1 of 2,1,111-105,,
0:37.0,B. Simmons misses free throw 2 of 2,,111-105,,
0:36.0,,,111-105,,Defensive rebound by T. Ariza
0:32.0,,,111-105,,R. Anderson misses 3-pt shot from 23 ft
0:27.0,Defensive rebound by R. Covington,,111-105,,
0:26.0,,,111-105,,Personal take foul by P. Tucker (drawn by J. Bayless)
0:26.0,J. Bayless makes free throw 1 of 2,1,112-105,,
0:26.0,J. Bayless makes free throw 2 of 2,1,113-105,,
0:26.0,T. Luwawu-Cabarrot enters the game for J. Embiid,,113-105,,
0:20.0,,,113-105,,E. Gordon misses 3-pt shot from 27 ft
0:18.0,,,113-105,,Offensive rebound by R. Anderson
0:18.0,,,113-107,2,R. Anderson makes 2-pt shot from 1 ft
0:11.0,,,113-107,,Personal take foul by P. Tucker (drawn by T. Luwawu-Cabarrot)
0:11.0,,,113-107,,N. Hilario enters the game for P. Tucker
0:11.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,114-107,,
0:11.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,115-107,,
0:00.0,,,115-107,,N. Hilario misses 3-pt shot from 24 ft
0:00.0,,,115-107,,Offensive rebound by Team
