time,San Antonio,pts.away,score,pts.home,Boston
8:27.0,P. Gasol misses 2-pt shot from 3 ft,,74-88,,
8:22.0,Offensive rebound by P. Gasol,,74-88,,
8:22.0,P. Gasol misses 2-pt shot at rim,,74-88,,
8:21.0,,,74-88,,Defensive rebound by T. Rozier
8:16.0,,,74-91,3,T. Rozier makes 3-pt shot from 24 ft
7:57.0,Turnover by B. Paul (bad pass; steal by T. Rozier),,74-91,,
7:53.0,,,74-93,2,T. Rozier makes 2-pt shot from 1 ft
7:52.0,San Antonio full timeout,,74-93,,
7:52.0,,,74-93,,A. Horford enters the game for D. Theis
7:52.0,D. Bertans enters the game for P. Gasol,,74-93,,
7:41.0,,,74-93,,Personal foul by T. Rozier (drawn by D. Green)
7:41.0,B. Forbes enters the game for D. Green,,74-93,,
7:36.0,Shooting foul by J. Tatum (drawn by B. Paul),,74-93,,
7:36.0,B. Paul makes free throw 1 of 2,1,75-93,,
7:36.0,B. Paul makes free throw 2 of 2,1,76-93,,
7:24.0,,,76-95,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Smart)
7:18.0,San Antonio full timeout,,76-95,,
7:08.0,B. Forbes makes 2-pt shot from 19 ft (assist by D. Bertans),2,78-95,,
6:48.0,,,78-95,,Turnover by A. Horford (bad pass; steal by B. Paul)
6:41.0,D. Murray misses 2-pt shot from 2 ft,,78-95,,
6:38.0,Offensive rebound by K. Anderson,,78-95,,
6:35.0,K. Anderson misses 2-pt shot from 2 ft,,78-95,,
6:35.0,,,78-95,,Defensive rebound by S. Ojeleye
6:18.0,,,78-95,,A. Horford misses 2-pt shot at rim
6:16.0,Defensive rebound by D. Bertans,,78-95,,
6:05.0,D. Bertans makes 2-pt shot from 9 ft (assist by B. Forbes),2,80-95,,
5:37.0,,,80-98,3,S. Ojeleye makes 3-pt shot from 23 ft (assist by A. Horford)
5:25.0,K. Anderson makes 3-pt shot from 27 ft (assist by B. Paul),3,83-98,,
5:04.0,,,83-100,2,S. Ojeleye makes 2-pt shot at rim
5:04.0,,,83-100,,Shooting foul by D. Murray (drawn by S. Ojeleye)
5:04.0,,,83-100,,K. Irving enters the game for T. Rozier
5:04.0,D. White enters the game for D. Murray,,83-100,,
5:04.0,,,83-100,,S. Ojeleye misses free throw 1 of 1
5:01.0,,,83-100,,Offensive rebound by S. Ojeleye
4:59.0,,,83-100,,K. Irving misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by B. Paul,,83-100,,
4:49.0,B. Paul makes 2-pt shot from 1 ft,2,85-100,,
4:26.0,,,85-100,,M. Smart misses 2-pt shot from 2 ft
