time,Oklahoma City,pts.away,score,pts.home,Boston
4:04.0,P. George makes 3-pt shot from 24 ft (assist by C. Brewer),3,84-82,,
3:45.0,,,84-82,,S. Ojeleye misses 2-pt shot from 16 ft
3:43.0,Defensive rebound by R. Westbrook,,84-82,,
3:39.0,C. Brewer misses 2-pt shot from 1 ft,,84-82,,
3:37.0,,,84-82,,Defensive rebound by A. Horford
3:26.0,,,84-82,,A. Horford misses 3-pt shot from 26 ft
3:23.0,Defensive rebound by R. Westbrook,,84-82,,
3:16.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook),3,87-82,,
3:15.0,,,87-82,,Boston full timeout
3:15.0,,,87-82,,J. Tatum enters the game for S. Larkin
3:15.0,,,87-82,,G. Monroe enters the game for S. Ojeleye
2:59.0,,,87-85,3,J. Tatum makes 3-pt shot from 26 ft (assist by G. Monroe)
2:41.0,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook),3,90-85,,
2:20.0,,,90-87,2,G. Monroe makes 2-pt shot from 2 ft (assist by J. Tatum)
1:53.0,C. Brewer makes 3-pt shot from 23 ft (assist by C. Anthony),3,93-87,,
1:42.0,,,93-89,2,G. Monroe makes 2-pt shot from 5 ft (assist by T. Rozier)
1:23.0,Shooting foul by G. Monroe (drawn by S. Adams),,93-89,,
1:23.0,S. Adams makes free throw 1 of 2,1,94-89,,
1:23.0,S. Adams makes free throw 2 of 2,1,95-89,,
1:10.0,,,95-92,3,T. Rozier makes 3-pt shot from 25 ft (assist by G. Monroe)
0:53.0,R. Westbrook misses 3-pt shot from 25 ft,,95-92,,
0:52.0,Offensive rebound by Team,,95-92,,
0:52.0,,,95-92,,Loose ball foul by G. Monroe (drawn by S. Adams)
0:52.0,S. Adams makes free throw 1 of 2,1,96-92,,
0:52.0,S. Adams misses free throw 2 of 2,,96-92,,
0:52.0,,,96-92,,Defensive rebound by A. Horford
0:35.0,,,96-92,,T. Rozier misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by C. Brewer,,96-92,,
0:24.0,,,96-92,,Personal take foul by T. Rozier (drawn by R. Westbrook)
0:24.0,R. Westbrook makes free throw 1 of 2,1,97-92,,
0:24.0,R. Westbrook makes free throw 2 of 2,1,98-92,,
0:24.0,,,98-92,,Boston full timeout
0:17.0,,,98-94,2,J. Tatum makes 2-pt shot from 1 ft
0:16.0,,,98-94,,Personal take foul by T. Rozier (drawn by R. Westbrook)
0:16.0,R. Westbrook misses free throw 1 of 2,,98-94,,
0:16.0,Offensive rebound by Team,,98-94,,
0:16.0,,,98-94,,S. Larkin enters the game for G. Monroe
0:16.0,R. Westbrook makes free throw 2 of 2,1,99-94,,
0:12.0,,,99-97,3,T. Rozier makes 3-pt shot from 27 ft
0:08.0,,,99-97,,Personal take foul by M. Morris (drawn by C. Anthony)
0:08.0,C. Anthony misses free throw 1 of 2,,99-97,,
0:08.0,Offensive rebound by Team,,99-97,,
0:08.0,C. Anthony misses free throw 2 of 2,,99-97,,
0:08.0,,,99-97,,Defensive rebound by J. Tatum
0:07.0,,,99-97,,Boston full timeout
0:01.0,,,99-100,3,M. Morris makes 3-pt shot from 26 ft (assist by J. Tatum)
0:01.0,Oklahoma City full timeout,,99-100,,
0:01.0,,,99-100,,S. Ojeleye enters the game for S. Larkin
0:00.0,R. Westbrook misses 3-pt shot from 28 ft,,99-100,,
0:00.0,Offensive rebound by Team,,99-100,,
