time,San Antonio,pts.away,score,pts.home,Toronto
2:22.0,L. Aldridge misses 2-pt shot from 4 ft,,71-80,,
2:22.0,Offensive rebound by P. Gasol,,71-80,,
2:22.0,Shooting foul by S. Ibaka (drawn by P. Gasol),,71-80,,
2:22.0,P. Gasol misses free throw 1 of 2,,71-80,,
2:22.0,Offensive rebound by Team,,71-80,,
2:22.0,P. Gasol makes free throw 2 of 2,1,72-80,,
2:07.0,,,72-80,,Turnover by K. Lowry (bad pass)
1:51.0,L. Aldridge misses 2-pt shot from 5 ft,,72-80,,
1:48.0,Offensive rebound by L. Aldridge,,72-80,,
1:48.0,L. Aldridge misses 2-pt shot from 1 ft,,72-80,,
1:48.0,Offensive rebound by P. Gasol,,72-80,,
1:48.0,P. Gasol makes 2-pt shot at rim,2,74-80,,
1:33.0,,,74-82,2,D. DeRozan makes 2-pt shot from 18 ft
1:25.0,D. Murray makes 2-pt shot from 8 ft,2,76-82,,
1:06.0,,,76-82,,Turnover by D. Wright (lost ball; steal by L. Aldridge)
0:55.0,P. Mills misses 3-pt shot from 25 ft,,76-82,,
0:53.0,,,76-82,,Defensive rebound by D. Wright
0:31.0,,,76-84,2,K. Lowry makes 2-pt shot from 14 ft (assist by D. DeRozan)
0:30.0,San Antonio full timeout,,76-84,,
0:22.0,L. Aldridge misses 3-pt shot from 26 ft,,76-84,,
0:20.0,Offensive rebound by D. Murray,,76-84,,
0:20.0,D. Murray makes 2-pt shot at rim,2,78-84,,
0:18.0,Personal take foul by P. Mills (drawn by D. DeRozan),,78-84,,
0:18.0,,,78-84,,Toronto full timeout
0:18.0,,,78-84,,C. Miles enters the game for S. Ibaka
0:18.0,,,78-84,,Offensive foul by J. Valanciunas (drawn by K. Anderson)
0:18.0,,,78-84,,Turnover by J. Valanciunas (offensive foul)
0:18.0,,,78-84,,S. Ibaka enters the game for C. Miles
0:11.0,Shooting foul by J. Valanciunas (drawn by P. Gasol),,78-84,,
0:11.0,P. Gasol makes free throw 1 of 2,1,79-84,,
0:11.0,P. Gasol makes free throw 2 of 2,1,80-84,,
0:09.0,Personal foul by D. Murray (drawn by D. DeRozan),,80-84,,
0:09.0,,,80-85,1,D. DeRozan makes free throw 1 of 2
0:09.0,D. Bertans enters the game for P. Gasol,,80-85,,
0:09.0,,,80-86,1,D. DeRozan makes free throw 2 of 2
0:09.0,San Antonio full timeout,,80-86,,
0:09.0,B. Forbes enters the game for D. Murray,,80-86,,
0:09.0,,,80-86,,P. Siakam enters the game for J. Valanciunas
0:06.0,B. Forbes makes 3-pt shot from 29 ft (assist by K. Anderson),3,83-86,,
0:04.0,Personal take foul by K. Anderson (drawn by D. DeRozan),,83-86,,
0:04.0,,,83-86,,D. DeRozan misses free throw 1 of 2
0:04.0,,,83-86,,Offensive rebound by Team
0:04.0,,,83-86,,D. DeRozan misses free throw 2 of 2
0:02.0,Defensive rebound by L. Aldridge,,83-86,,
