time,Charlotte,pts.away,score,pts.home,Oklahoma City
5:41.0,Turnover by J. Lamb (lost ball; steal by R. Westbrook),,105-92,,
5:39.0,,,105-94,2,R. Westbrook makes 2-pt shot at rim (assist by C. Anthony)
5:12.0,K. Walker makes 3-pt shot from 25 ft,3,108-94,,
5:00.0,,,108-94,,Offensive charge foul by R. Felton (drawn by K. Walker)
5:00.0,,,108-94,,Turnover by R. Felton (offensive foul)
4:44.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker),2,110-94,,
4:20.0,,,110-96,2,C. Anthony makes 2-pt shot at rim
3:54.0,J. Lamb misses 2-pt shot from 9 ft,,110-96,,
3:50.0,Offensive rebound by M. Williams,,110-96,,
3:38.0,D. Howard makes 2-pt shot from 7 ft,2,112-96,,
3:29.0,,,112-99,3,R. Westbrook makes 3-pt shot from 24 ft
2:59.0,J. Lamb misses 3-pt shot from 26 ft,,112-99,,
2:59.0,Offensive rebound by D. Howard,,112-99,,
2:49.0,D. Howard makes 2-pt shot from 7 ft,2,114-99,,
2:36.0,,,114-99,,R. Felton misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by M. Williams,,114-99,,
2:21.0,Turnover by K. Walker (bad pass),,114-99,,
2:21.0,Charlotte full timeout,,114-99,,
2:21.0,,,114-99,,J. Grant enters the game for R. Felton
2:10.0,Personal foul by M. Kidd-Gilchrist (drawn by R. Westbrook),,114-99,,
2:03.0,,,114-101,2,R. Westbrook makes 2-pt shot from 1 ft
1:37.0,Turnover by Team (shot clock),,114-101,,
1:29.0,,,114-101,,J. Grant misses 3-pt shot from 22 ft
1:25.0,Defensive rebound by M. Williams,,114-101,,
1:05.0,D. Howard makes 2-pt shot from 12 ft,2,116-101,,
0:54.0,,,116-101,,Turnover by R. Westbrook (bad pass; steal by M. Kidd-Gilchrist)
0:49.0,,,116-101,,Personal take foul by R. Westbrook (drawn by K. Walker)
0:49.0,,,116-101,,R. Felton enters the game for R. Westbrook
0:49.0,,,116-101,,J. Huestis enters the game for C. Anthony
0:49.0,,,116-101,,D. Johnson enters the game for S. Adams
0:49.0,,,116-101,,K. Singler enters the game for P. George
0:49.0,,,116-101,,T. Ferguson enters the game for J. Grant
0:36.0,K. Walker misses 2-pt shot from 19 ft,,116-101,,
0:33.0,,,116-101,,Defensive rebound by K. Singler
0:26.0,,,116-103,2,T. Ferguson makes 2-pt shot from 20 ft (assist by R. Felton)
0:02.0,Turnover by Team (shot clock),,116-103,,
