time,Sacramento,pts.away,score,pts.home,Dallas
5:55.0,V. Carter makes 3-pt shot from 23 ft (assist by D. Fox),3,78-74,,
5:33.0,,,78-77,3,D. Finney-Smith makes 3-pt shot from 23 ft (assist by W. Matthews)
5:12.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Fox),2,80-77,,
4:51.0,,,80-77,,Turnover by W. Matthews (bad pass; steal by K. Koufos)
4:43.0,Turnover by D. Fox (bad pass; steal by N. Noel),,80-77,,
4:37.0,,,80-77,,Dallas full timeout
4:37.0,G. Hill enters the game for S. Labissiere,,80-77,,
4:37.0,Z. Randolph enters the game for V. Carter,,80-77,,
4:29.0,,,80-77,,H. Barnes misses 2-pt shot from 18 ft
4:27.0,Defensive rebound by D. Fox,,80-77,,
4:07.0,G. Hill makes 2-pt shot from 6 ft,2,82-77,,
3:46.0,,,82-77,,H. Barnes misses 2-pt shot from 15 ft
3:43.0,Defensive rebound by G. Hill,,82-77,,
3:23.0,Shooting foul by H. Barnes (drawn by K. Koufos),,82-77,,
3:23.0,K. Koufos makes free throw 1 of 2,1,83-77,,
3:23.0,,,83-77,,D. Nowitzki enters the game for N. Noel
3:23.0,,,83-77,,J. Barea enters the game for D. Finney-Smith
3:23.0,K. Koufos misses free throw 2 of 2,,83-77,,
3:20.0,,,83-77,,Defensive rebound by D. Nowitzki
2:59.0,,,83-80,3,H. Barnes makes 3-pt shot from 22 ft (assist by D. Nowitzki)
2:38.0,Z. Randolph makes 2-pt shot from 4 ft,2,85-80,,
2:15.0,,,85-82,2,H. Barnes makes 2-pt shot from 2 ft
2:15.0,,,85-82,,Shooting foul by Z. Randolph (drawn by H. Barnes)
2:15.0,W. Cauley-Stein enters the game for K. Koufos,,85-82,,
2:15.0,,,85-83,1,H. Barnes makes free throw 1 of 1
2:15.0,G. Temple misses 2-pt shot from 6 ft (block by J. Barea),,85-83,,
2:00.0,Offensive rebound by Team,,85-83,,
1:39.0,,,85-83,,J. Barea misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by G. Temple,,85-83,,
1:25.0,Shooting foul by H. Barnes (drawn by G. Hill),,85-83,,
1:25.0,G. Hill misses free throw 1 of 1,,85-83,,
1:24.0,G. Hill makes 3-pt shot from 27 ft,3,88-83,,
1:23.0,,,88-83,,Defensive rebound by D. Nowitzki
1:17.0,,,88-83,,Shooting foul by W. Cauley-Stein (drawn by Y. Ferrell)
1:17.0,,,88-84,1,Y. Ferrell makes free throw 1 of 2
1:17.0,,,88-85,1,Y. Ferrell makes free throw 2 of 2
