time,Utah,pts.away,score,pts.home,Chicago
2:04.0,,,94-96,,R. Lopez misses 2-pt shot at rim (block by D. Favors)
2:04.0,Defensive rebound by D. Favors,,94-96,,
1:54.0,R. Hood misses 2-pt shot from 7 ft,,94-96,,
1:54.0,,,94-96,,Defensive rebound by D. Valentine
1:39.0,,,94-98,2,K. Dunn makes 2-pt shot from 12 ft
1:28.0,D. Mitchell makes 2-pt shot at rim,2,96-98,,
1:12.0,,,96-98,,R. Lopez misses 2-pt shot from 6 ft
1:10.0,Defensive rebound by A. Burks,,96-98,,
1:10.0,,,96-98,,Personal foul by D. Nwaba (drawn by A. Burks)
1:02.0,Turnover by D. Mitchell (out of bounds lost ball),,96-98,,
0:40.0,,,96-98,,R. Lopez misses 2-pt shot from 3 ft
0:40.0,,,96-98,,Offensive rebound by Team
0:40.0,R. Gobert enters the game for D. Favors,,96-98,,
0:22.0,,,96-100,2,K. Dunn makes 2-pt shot from 16 ft
0:22.0,Utah full timeout,,96-100,,
0:22.0,,,96-100,,B. Portis enters the game for R. Lopez
0:18.0,R. Gobert makes 2-pt shot from 2 ft (assist by R. Hood),2,98-100,,
0:18.0,,,98-100,,Chicago full timeout
0:18.0,,,98-100,,R. Lopez enters the game for D. Nwaba
0:18.0,,,98-100,,J. Holiday enters the game for B. Portis
0:15.0,Personal take foul by R. Hood (drawn by J. Holiday),,98-100,,
0:15.0,T. Sefolosha enters the game for R. Gobert,,98-100,,
0:14.0,Personal take foul by A. Burks (drawn by K. Dunn),,98-100,,
0:14.0,,,98-100,,K. Dunn misses free throw 1 of 2
0:14.0,,,98-100,,Offensive rebound by Team
0:14.0,,,98-100,,D. Nwaba enters the game for J. Holiday
0:14.0,R. Gobert enters the game for T. Sefolosha,,98-100,,
0:14.0,,,98-101,1,K. Dunn makes free throw 2 of 2
0:14.0,Utah full timeout,,98-101,,
0:12.0,R. Hood misses 3-pt shot from 24 ft,,98-101,,
0:10.0,,,98-101,,Defensive rebound by D. Nwaba
0:10.0,Personal foul by R. Hood (drawn by D. Nwaba),,98-101,,
0:10.0,,,98-102,1,D. Nwaba makes free throw 1 of 2
0:10.0,,,98-102,,B. Portis enters the game for R. Lopez
0:10.0,,,98-102,,D. Nwaba misses free throw 2 of 2
0:09.0,Defensive rebound by R. Gobert,,98-102,,
0:04.0,D. Mitchell makes 2-pt shot at rim,2,100-102,,
0:04.0,,,100-102,,Chicago full timeout
0:04.0,,,100-102,,J. Holiday enters the game for D. Nwaba
0:04.0,,,100-102,,R. Lopez enters the game for B. Portis
0:03.0,Personal take foul by D. Mitchell (drawn by J. Holiday),,100-102,,
0:03.0,,,100-102,,J. Holiday misses free throw 1 of 2
0:03.0,,,100-102,,Offensive rebound by Team
0:03.0,,,100-102,,D. Nwaba enters the game for R. Lopez
0:03.0,,,100-103,1,J. Holiday makes free throw 2 of 2
0:00.0,D. Mitchell misses 3-pt shot from 29 ft,,100-103,,
0:00.0,Offensive rebound by Team,,100-103,,
