time,Golden State,pts.away,score,pts.home,Cleveland
0:15.0,K. Thompson enters the game for A. Iguodala,,58-52,,
0:15.0,S. Curry enters the game for D. Green,,58-52,,
0:15.0,N. Young enters the game for S. Livingston,,58-52,,
0:05.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant),3,61-52,,
0:00.0,,,61-52,,J. Green misses 3-pt shot from 26 ft
0:00.0,,,61-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,61-52,,J. Smith misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by D. Green,,61-52,,
11:35.0,K. Thompson misses 3-pt shot from 26 ft,,61-52,,
11:34.0,Offensive rebound by Team,,61-52,,
11:34.0,,,61-52,,Loose ball foul by L. James (drawn by J. McGee)
11:27.0,,,61-52,,Personal foul by G. Hill (drawn by K. Durant)
11:23.0,K. Thompson makes 2-pt shot from 9 ft (assist by K. Durant),2,63-52,,
11:03.0,,,63-52,,Turnover by G. Hill (bad pass; steal by D. Green)
11:03.0,,,63-52,,Personal foul by K. Love (drawn by D. Green)
10:53.0,S. Curry makes 2-pt shot from 17 ft (assist by K. Durant),2,65-52,,
10:32.0,,,65-52,,T. Thompson misses 2-pt shot from 12 ft
10:30.0,Defensive rebound by J. McGee,,65-52,,
10:18.0,S. Curry misses 3-pt shot from 26 ft,,65-52,,
10:16.0,Offensive rebound by J. McGee,,65-52,,
10:16.0,J. McGee makes 2-pt shot at rim,2,67-52,,
10:16.0,,,67-52,,Cleveland full timeout
9:57.0,Personal foul by S. Curry (drawn by T. Thompson),,67-52,,
9:51.0,,,67-52,,Shooting foul by J. McGee (drawn by L. James)
9:51.0,,,67-53,1,L. James makes free throw 1 of 2
9:51.0,,,67-54,1,L. James makes free throw 2 of 2
9:34.0,S. Curry misses 3-pt shot from 23 ft,,67-54,,
9:32.0,,,67-54,,Defensive rebound by G. Hill
9:24.0,,,67-54,,G. Hill misses 3-pt shot from 22 ft
9:18.0,,,67-54,,Offensive rebound by K. Love
9:18.0,,,67-56,2,K. Love makes 2-pt shot at rim
9:13.0,K. Durant misses 3-pt shot from 28 ft (block by L. James),,67-56,,
9:10.0,Offensive rebound by S. Curry,,67-56,,
9:01.0,K. Durant makes 2-pt shot from 17 ft,2,69-56,,
8:41.0,,,69-56,,Offensive foul by K. Love (drawn by K. Durant)
8:41.0,,,69-56,,Turnover by K. Love (offensive foul)
8:33.0,D. Green misses 3-pt shot from 30 ft,,69-56,,
8:29.0,,,69-56,,Defensive rebound by K. Love
8:08.0,,,69-56,,K. Love misses 3-pt shot from 22 ft
8:06.0,,,69-56,,Offensive rebound by T. Thompson
8:05.0,,,69-56,,G. Hill misses 2-pt shot from 10 ft (block by D. Green)
8:01.0,Defensive rebound by J. McGee,,69-56,,
7:58.0,K. Thompson misses 2-pt shot from 13 ft,,69-56,,
7:54.0,,,69-56,,Defensive rebound by T. Thompson
7:50.0,,,69-58,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
7:50.0,Golden State full timeout,,69-58,,
7:50.0,,,69-58,,J. Green enters the game for T. Thompson
7:24.0,K. Durant makes 2-pt shot from 13 ft,2,71-58,,
7:06.0,,,71-58,,L. James misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by Team,,71-58,,
7:05.0,J. Bell enters the game for J. McGee,,71-58,,
6:55.0,S. Curry misses 3-pt shot from 27 ft,,71-58,,
6:52.0,,,71-58,,Defensive rebound by L. James
6:46.0,,,71-58,,Turnover by L. James (lost ball; steal by S. Curry)
6:45.0,,,71-58,,Personal foul by J. Smith (drawn by S. Curry)
6:39.0,Offensive foul by K. Durant (drawn by J. Smith),,71-58,,
6:39.0,Turnover by K. Durant (offensive foul),,71-58,,
6:39.0,,,71-58,,Technical foul by J. Smith
6:39.0,S. Curry makes technical free throw,1,72-58,,
6:16.0,,,72-58,,G. Hill misses 2-pt shot from 18 ft
6:16.0,Defensive rebound by K. Thompson,,72-58,,
5:52.0,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant),3,75-58,,
5:47.0,,,75-58,,Offensive foul by L. James (drawn by S. Curry)
5:47.0,,,75-58,,Turnover by L. James (offensive foul)
5:47.0,,,75-58,,R. Hood enters the game for G. Hill
5:40.0,Turnover by D. Green (bad pass; steal by R. Hood),,75-58,,
5:34.0,,,75-60,2,J. Green makes 2-pt shot from 1 ft (assist by L. James)
5:10.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,77-60,,
4:58.0,,,77-63,3,R. Hood makes 3-pt shot from 24 ft (assist by L. James)
4:44.0,Turnover by K. Durant (bad pass; steal by K. Love),,77-63,,
4:37.0,Personal foul by D. Green (drawn by L. James),,77-63,,
4:28.0,,,77-63,,J. Smith misses 3-pt shot from 25 ft
4:25.0,Defensive rebound by K. Durant,,77-63,,
4:16.0,S. Curry misses 3-pt shot from 31 ft,,77-63,,
4:12.0,Offensive rebound by D. Green,,77-63,,
4:03.0,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green),2,79-63,,
4:03.0,,,79-63,,Cleveland full timeout
3:41.0,,,79-63,,J. Green misses 2-pt shot from 11 ft
3:39.0,Defensive rebound by K. Durant,,79-63,,
3:27.0,,,79-63,,Personal foul by L. James (drawn by K. Durant)
3:27.0,K. Durant makes free throw 1 of 2,1,80-63,,
3:27.0,,,80-63,,L. Nance enters the game for J. Smith
3:27.0,A. Iguodala enters the game for D. Green,,80-63,,
3:27.0,S. Livingston enters the game for S. Curry,,80-63,,
3:27.0,K. Durant makes free throw 2 of 2,1,81-63,,
3:09.0,Personal foul by S. Livingston (drawn by L. Nance),,81-63,,
2:59.0,,,81-63,,Shooting foul by A. Iguodala (drawn by L. James)
2:59.0,,,81-64,1,L. James makes free throw 1 of 2
2:59.0,,,81-65,1,L. James makes free throw 2 of 2
2:36.0,K. Durant misses 2-pt shot from 9 ft,,81-65,,
2:33.0,Offensive rebound by J. Bell,,81-65,,
2:25.0,K. Thompson misses 3-pt shot from 25 ft,,81-65,,
2:22.0,Offensive rebound by K. Durant,,81-65,,
2:19.0,J. Bell misses 2-pt shot from 1 ft,,81-65,,
2:17.0,Offensive rebound by J. Bell,,81-65,,
2:12.0,K. Thompson makes 3-pt shot from 26 ft (assist by K. Durant),3,84-65,,
2:01.0,,,84-65,,Turnover by R. Hood (lost ball; steal by A. Iguodala)
1:36.0,K. Thompson misses 2-pt shot from 8 ft,,84-65,,
1:33.0,,,84-65,,Defensive rebound by K. Love
1:21.0,,,84-65,,L. Nance misses 2-pt shot from 15 ft
1:17.0,Defensive rebound by S. Livingston,,84-65,,
1:10.0,,,84-65,,Personal foul by R. Hood (drawn by S. Livingston)
1:10.0,S. Livingston makes free throw 1 of 2,1,85-65,,
1:10.0,,,85-65,,K. Korver enters the game for K. Love
1:10.0,S. Livingston makes free throw 2 of 2,1,86-65,,
0:53.0,,,86-65,,R. Hood misses 2-pt shot from 12 ft
0:49.0,,,86-65,,Offensive rebound by R. Hood
0:45.0,,,86-65,,R. Hood misses 3-pt shot from 27 ft
0:41.0,Defensive rebound by S. Livingston,,86-65,,
0:39.0,A. Iguodala misses 3-pt shot from 26 ft,,86-65,,
0:39.0,,,86-65,,Defensive rebound by Team
0:15.0,,,86-65,,L. James misses 2-pt shot from 3 ft
0:14.0,Defensive rebound by K. Durant,,86-65,,
0:00.0,K. Durant misses 2-pt shot from 19 ft,,86-65,,
