time,Miami,pts.away,score,pts.home,Golden State
7:46.0,,,66-80,,D. Green misses 3-pt shot from 26 ft
7:43.0,Defensive rebound by J. Johnson,,66-80,,
7:33.0,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,68-80,,
7:33.0,,,68-80,,Golden State full timeout
7:23.0,,,68-80,,K. Thompson misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by J. Johnson,,68-80,,
7:07.0,K. Olynyk makes 2-pt shot from 13 ft,2,70-80,,
6:41.0,,,70-83,2,K. Durant makes 3-pt shot from 26 ft (assist by K. Thompson)
6:15.0,G. Dragic misses 3-pt shot from 26 ft,,70-83,,
6:14.0,Offensive rebound by Team,,70-83,,
6:14.0,,,70-83,,Loose ball foul by A. Iguodala (drawn by K. Olynyk)
6:14.0,,,70-83,,S. Curry enters the game for K. Thompson
6:01.0,Turnover by K. Olynyk (turnover),,70-83,,
6:01.0,Loose ball foul by K. Olynyk (drawn by D. Green),,70-83,,
5:49.0,,,70-83,,Shooting foul by K. Olynyk (drawn by D. Green)
5:49.0,,,70-84,1,D. Green makes free throw 1 of 2
5:49.0,,,70-85,1,D. Green makes free throw 2 of 2
5:35.0,G. Dragic misses 2-pt shot from 1 ft,,70-85,,
5:33.0,,,70-85,,Defensive rebound by D. Green
5:30.0,,,70-87,2,A. Iguodala makes 2-pt shot from 1 ft (assist by K. Durant)
5:30.0,Miami full timeout,,70-87,,
5:30.0,T. Johnson enters the game for J. Richardson,,70-87,,
5:16.0,Turnover by K. Olynyk (traveling),,70-87,,
5:04.0,,,70-87,,Turnover by D. Green (bad pass; steal by W. Ellington)
4:54.0,J. Johnson misses 2-pt shot from 2 ft,,70-87,,
4:51.0,,,70-87,,Defensive rebound by A. Iguodala
4:37.0,,,70-87,,S. Curry misses 2-pt shot from 2 ft
4:33.0,,,70-87,,Offensive rebound by A. Iguodala
4:24.0,,,70-87,,K. Durant misses 3-pt shot from 24 ft
4:20.0,,,70-87,,Offensive rebound by Team
4:07.0,,,70-90,3,S. Curry makes 3-pt shot from 25 ft
3:50.0,,,70-90,,Personal foul by K. Durant (drawn by K. Olynyk)
3:50.0,K. Olynyk misses free throw 1 of 2,,70-90,,
3:50.0,Offensive rebound by Team,,70-90,,
3:50.0,,,70-90,,N. Young enters the game for P. McCaw
3:50.0,J. Winslow enters the game for J. Johnson,,70-90,,
3:50.0,K. Olynyk makes free throw 2 of 2,1,71-90,,
3:28.0,,,71-92,2,K. Durant makes 2-pt shot from 12 ft
3:12.0,G. Dragic makes 3-pt shot from 25 ft (assist by T. Johnson),3,74-92,,
2:49.0,,,74-92,,N. Young misses 3-pt shot from 26 ft
2:46.0,Defensive rebound by J. Winslow,,74-92,,
2:29.0,T. Johnson misses 2-pt shot from 21 ft,,74-92,,
2:28.0,,,74-92,,Defensive rebound by K. Durant
2:28.0,,,74-92,,Golden State full timeout
2:28.0,,,74-92,,K. Looney enters the game for A. Iguodala
2:28.0,,,74-92,,O. Casspi enters the game for D. Green
2:28.0,,,74-92,,P. McCaw enters the game for S. Curry
2:28.0,,,74-92,,J. Bell enters the game for K. Durant
2:28.0,B. Adebayo enters the game for G. Dragic,,74-92,,
2:28.0,O. White enters the game for K. Olynyk,,74-92,,
2:04.0,,,74-92,,O. Casspi misses 2-pt shot from 6 ft
1:59.0,,,74-92,,Offensive rebound by K. Looney
1:59.0,,,74-92,,K. Looney misses 2-pt shot at rim
1:57.0,Defensive rebound by O. White,,74-92,,
1:48.0,W. Ellington misses 3-pt shot from 26 ft,,74-92,,
1:46.0,,,74-92,,Defensive rebound by J. Bell
1:40.0,,,74-94,2,K. Looney makes 2-pt shot at rim (assist by O. Casspi)
1:33.0,Turnover by J. Winslow (lost ball; steal by P. McCaw),,74-94,,
1:08.0,Personal foul by T. Johnson (drawn by O. Casspi),,74-94,,
1:08.0,D. Walton enters the game for T. Johnson,,74-94,,
1:03.0,,,74-97,2,N. Young makes 3-pt shot from 25 ft (assist by O. Casspi)
0:43.0,W. Ellington makes 3-pt shot from 27 ft (assist by O. White),3,77-97,,
0:34.0,,,77-97,,N. Young misses 3-pt shot from 22 ft
0:30.0,Defensive rebound by D. Walton,,77-97,,
0:25.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Winslow),3,80-97,,
