time,Boston,pts.away,score,pts.home,Portland
1:45.0,,,96-96,2,D. Lillard makes 2-pt shot from 1 ft
1:29.0,J. Tatum makes 2-pt shot from 1 ft (assist by S. Larkin),2,98-96,,
1:23.0,Personal foul by S. Larkin (drawn by D. Lillard),,98-96,,
1:17.0,,,98-96,,D. Lillard misses 3-pt shot from 28 ft
1:16.0,Defensive rebound by Team,,98-96,,
0:54.0,M. Morris makes 3-pt shot from 24 ft,3,101-96,,
0:54.0,,,101-96,,Portland full timeout
0:54.0,,,101-96,,J. Nurkic enters the game for E. Turner
0:47.0,,,101-96,,Shooting foul by M. Morris (drawn by D. Lillard)
0:47.0,,,101-97,1,D. Lillard makes free throw 1 of 2
0:47.0,,,101-97,,E. Turner enters the game for J. Nurkic
0:47.0,,,101-98,1,D. Lillard makes free throw 2 of 2
0:32.0,J. Tatum makes 2-pt shot from 1 ft (assist by A. Horford),2,103-98,,
0:28.0,,,103-100,2,C. McCollum makes 2-pt shot from 1 ft
0:10.0,Boston full timeout,,103-100,,
0:10.0,,,103-100,,E. Davis enters the game for E. Turner
0:06.0,J. Tatum misses 2-pt shot from 14 ft,,103-100,,
0:03.0,Offensive rebound by A. Horford,,103-100,,
0:03.0,,,103-100,,Personal take foul by C. McCollum (drawn by T. Rozier)
0:03.0,T. Rozier makes free throw 1 of 2,1,104-100,,
0:03.0,T. Rozier makes free throw 2 of 2,1,105-100,,
0:03.0,,,105-100,,Portland full timeout
0:03.0,,,105-100,,E. Turner enters the game for E. Davis
0:01.0,,,105-100,,D. Lillard misses 3-pt shot from 32 ft
0:01.0,Defensive rebound by T. Rozier,,105-100,,
