time,Sacramento,pts.away,score,pts.home,Portland
2:46.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,83-100,,
2:20.0,,,83-102,2,C. McCollum makes 2-pt shot from 15 ft
2:04.0,G. Hill makes 2-pt shot from 1 ft,2,85-102,,
1:41.0,,,85-102,,Turnover by M. Harkless (bad pass; steal by G. Hill)
1:37.0,G. Hill misses 3-pt shot from 24 ft,,85-102,,
1:36.0,,,85-102,,Defensive rebound by Team
1:36.0,,,85-102,,C. Swanigan enters the game for D. Lillard
1:36.0,,,85-102,,J. Layman enters the game for C. McCollum
1:36.0,,,85-102,,P. Connaughton enters the game for M. Harkless
1:36.0,,,85-102,,Z. Collins enters the game for J. Nurkic
1:36.0,M. Richardson enters the game for W. Cauley-Stein,,85-102,,
1:36.0,J. Cooley enters the game for B. Bogdanovic,,85-102,,
1:13.0,,,85-102,,Shooting foul by G. Hill (drawn by S. Napier)
1:13.0,,,85-102,,S. Napier misses free throw 2 of 2
1:13.0,Defensive rebound by J. Cooley,,85-102,,
1:13.0,,,85-102,,S. Napier misses free throw 1 of 2
1:13.0,,,85-102,,Offensive rebound by Team
1:12.0,,,85-102,,Personal foul by Z. Collins (drawn by J. Cooley)
1:12.0,,,85-102,,Turnover by Z. Collins (turnover)
1:12.0,J. Cooley makes free throw 1 of 2,1,86-102,,
1:12.0,F. Mason enters the game for G. Hill,,86-102,,
1:12.0,J. Cooley makes free throw 2 of 2,1,87-102,,
0:54.0,,,87-102,,Z. Collins misses 2-pt shot from 16 ft
0:52.0,Defensive rebound by D. Fox,,87-102,,
0:44.0,J. Cooley misses 2-pt shot from 21 ft,,87-102,,
0:41.0,,,87-102,,Defensive rebound by S. Napier
0:29.0,,,87-102,,Offensive foul by Z. Collins (drawn by G. Temple)
0:29.0,,,87-102,,Turnover by Z. Collins (offensive foul)
0:29.0,K. Koufos enters the game for G. Temple,,87-102,,
0:11.0,F. Mason makes 3-pt shot from 24 ft (assist by J. Cooley),3,90-102,,
