time,Utah,pts.away,score,pts.home,Memphis
3:39.0,,,83-73,3,M. Gasol makes 3-pt shot from 25 ft (assist by J. Green)
3:19.0,Shooting foul by K. Simmons (drawn by R. Rubio),,83-73,,
3:19.0,R. Rubio makes free throw 1 of 2,1,84-73,,
3:19.0,,,84-73,,X. Rathan-Mayes enters the game for K. Simmons
3:19.0,R. Rubio makes free throw 2 of 2,1,85-73,,
2:59.0,,,85-76,3,X. Rathan-Mayes makes 3-pt shot from 25 ft (assist by M. Gasol)
2:41.0,J. Ingles makes 3-pt shot from 24 ft (assist by R. Rubio),3,88-76,,
2:29.0,,,88-76,,J. Green misses 2-pt shot from 18 ft
2:28.0,Defensive rebound by D. Mitchell,,88-76,,
2:05.0,J. Crowder makes 3-pt shot from 23 ft (assist by D. Mitchell),3,91-76,,
1:51.0,,,91-76,,M. Gasol misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by J. Ingles,,91-76,,
1:30.0,D. Mitchell misses 3-pt shot from 31 ft,,91-76,,
1:25.0,,,91-76,,Defensive rebound by J. Green
1:20.0,,,91-76,,Shooting foul by D. Mitchell (drawn by D. Brooks)
1:20.0,,,91-77,1,D. Brooks makes free throw 1 of 2
1:20.0,,,91-77,,I. Rabb enters the game for J. Green
1:20.0,,,91-77,,D. Davis enters the game for M. Gasol
1:20.0,R. O'Neale enters the game for J. Ingles,,91-77,,
1:20.0,G. Niang enters the game for R. Rubio,,91-77,,
1:20.0,R. Neto enters the game for R. Gobert,,91-77,,
1:20.0,E. Udoh enters the game for D. Mitchell,,91-77,,
1:20.0,,,91-78,1,D. Brooks makes free throw 2 of 2
1:09.0,Shooting foul by D. Davis (drawn by R. Neto),,91-78,,
1:09.0,R. Neto makes free throw 1 of 2,1,92-78,,
1:09.0,,,92-78,,K. Simmons enters the game for J. Martin
1:09.0,,,92-78,,B. Johnson enters the game for D. Brooks
1:09.0,R. Neto makes free throw 2 of 2,1,93-78,,
1:00.0,,,93-78,,X. Rathan-Mayes misses 2-pt shot from 17 ft
0:57.0,,,93-78,,Offensive rebound by D. Davis
0:50.0,,,93-78,,K. Simmons misses 2-pt shot from 9 ft
0:44.0,Defensive rebound by G. Niang,,93-78,,
0:32.0,R. O'Neale makes 2-pt shot at rim (assist by G. Niang),2,95-78,,
0:24.0,,,95-78,,Turnover by X. Rathan-Mayes (bad pass; steal by G. Niang)
0:01.0,Turnover by Team (shot clock),,95-78,,
