time,Charlotte,pts.away,score,pts.home,Houston
3:52.0,,,85-104,,J. Harden misses 2-pt shot from 17 ft
3:49.0,Defensive rebound by N. Batum,,85-104,,
3:43.0,M. Williams misses 3-pt shot from 24 ft,,85-104,,
3:39.0,Offensive rebound by D. Howard,,85-104,,
3:35.0,D. Howard misses 2-pt shot from 1 ft (block by C. Capela),,85-104,,
3:32.0,Offensive rebound by N. Batum,,85-104,,
3:32.0,N. Batum makes 2-pt shot at rim,2,87-104,,
3:20.0,,,87-106,2,C. Paul makes 2-pt shot from 10 ft
3:02.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,87-106,,
2:58.0,Offensive rebound by D. Howard,,87-106,,
2:56.0,D. Howard makes 2-pt shot at rim,2,89-106,,
2:38.0,,,89-106,,J. Harden misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by K. Walker,,89-106,,
2:29.0,Turnover by N. Batum (bad pass; steal by C. Capela),,89-106,,
2:23.0,,,89-108,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
2:23.0,Charlotte full timeout,,89-108,,
2:23.0,,,89-108,,T. Black enters the game for C. Paul
2:23.0,,,89-108,,Z. Qi enters the game for J. Harden
2:23.0,,,89-108,,B. Brown enters the game for C. Capela
2:23.0,T. Graham enters the game for N. Batum,,89-108,,
2:23.0,M. Monk enters the game for D. Howard,,89-108,,
2:23.0,J. O'Bryant enters the game for M. Kidd-Gilchrist,,89-108,,
2:23.0,D. Bacon enters the game for K. Walker,,89-108,,
2:23.0,M. Carter-Williams enters the game for M. Williams,,89-108,,
2:07.0,D. Bacon misses 2-pt shot from 20 ft,,89-108,,
2:04.0,,,89-108,,Defensive rebound by Z. Qi
1:41.0,,,89-108,,R. Anderson misses 2-pt shot from 14 ft
1:38.0,Defensive rebound by M. Carter-Williams,,89-108,,
1:29.0,M. Monk makes 3-pt shot from 25 ft (assist by T. Graham),3,92-108,,
1:08.0,,,92-108,,T. Black misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by M. Carter-Williams,,92-108,,
0:57.0,J. O'Bryant misses 2-pt shot from 9 ft,,92-108,,
0:53.0,Offensive rebound by T. Graham,,92-108,,
0:49.0,M. Monk makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,95-108,,
0:35.0,,,95-108,,T. Black misses 2-pt shot from 1 ft
0:34.0,Defensive rebound by J. O'Bryant,,95-108,,
0:25.0,Shooting foul by T. Black (drawn by D. Bacon),,95-108,,
0:25.0,D. Bacon misses free throw 1 of 2,,95-108,,
0:25.0,Offensive rebound by Team,,95-108,,
0:25.0,D. Bacon makes free throw 2 of 2,1,96-108,,
0:01.0,,,96-108,,B. Brown misses 3-pt shot from 29 ft
0:01.0,Defensive rebound by M. Carter-Williams,,96-108,,
