time,Houston,pts.away,score,pts.home,Philadelphia
4:02.0,J. Harden makes free throw 1 of 2,1,93-100,,
4:02.0,J. Harden makes free throw 2 of 2,1,94-100,,
3:44.0,,,94-102,2,J. Embiid makes 2-pt shot from 13 ft
3:24.0,Shooting foul by R. Covington (drawn by E. Gordon),,94-102,,
3:24.0,E. Gordon makes free throw 1 of 2,1,95-102,,
3:24.0,C. Capela enters the game for L. Mbah a Moute,,95-102,,
3:24.0,E. Gordon makes free throw 2 of 2,1,96-102,,
3:24.0,,,96-102,,Philadelphia full timeout
3:24.0,Houston full timeout,,96-102,,
3:05.0,,,96-104,2,B. Simmons makes 2-pt shot from 2 ft (assist by J. Embiid)
2:39.0,J. Harden misses 3-pt shot from 27 ft,,96-104,,
2:36.0,,,96-104,,Defensive rebound by B. Simmons
2:23.0,,,96-104,,B. Simmons misses 2-pt shot from 2 ft (block by C. Capela)
2:20.0,,,96-104,,Offensive rebound by R. Covington
2:18.0,,,96-104,,Turnover by J. Redick (lost ball; steal by P. Tucker)
2:15.0,,,96-104,,Personal foul by B. Simmons (drawn by P. Tucker)
2:08.0,J. Harden misses 3-pt shot from 28 ft,,96-104,,
2:05.0,Offensive rebound by C. Capela,,96-104,,
2:04.0,Turnover by C. Capela (lost ball; steal by J. Bayless),,96-104,,
1:42.0,,,96-104,,Turnover by B. Simmons (bad pass; steal by J. Harden)
1:39.0,Shooting foul by R. Covington (drawn by E. Gordon),,96-104,,
1:39.0,E. Gordon makes free throw 1 of 2,1,97-104,,
1:39.0,E. Gordon misses free throw 2 of 2,,97-104,,
1:37.0,,,97-104,,Defensive rebound by B. Simmons
1:30.0,Personal foul by C. Capela (drawn by J. Embiid),,97-104,,
1:13.0,,,97-104,,J. Redick misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by C. Capela,,97-104,,
1:03.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,99-104,,
0:38.0,,,99-104,,J. Redick misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by C. Capela,,99-104,,
0:30.0,J. Harden makes 2-pt shot from 3 ft,2,101-104,,
0:30.0,,,101-104,,Violation by J. Embiid (def goaltending)
0:30.0,Shooting foul by J. Redick (drawn by J. Harden),,101-104,,
0:30.0,L. Mbah a Moute enters the game for R. Anderson,,101-104,,
0:30.0,J. Harden makes free throw 1 of 1,1,102-104,,
0:06.0,,,102-104,,Turnover by Team (shot clock)
0:06.0,Houston full timeout,,102-104,,
0:06.0,R. Anderson enters the game for C. Capela,,102-104,,
0:06.0,Houston full timeout,,102-104,,
0:05.0,,,102-104,,J. Bayless misses 2-pt shot from 11 ft (block by J. Harden)
0:05.0,,,102-104,,Offensive rebound by Team
0:00.0,E. Gordon makes 3-pt shot from 23 ft (assist by J. Harden),3,105-104,,
