time,Cleveland,pts.away,score,pts.home,Memphis
5:31.0,Shooting foul by M. Gasol (drawn by L. Nance),,99-78,,
5:31.0,,,99-78,,M. Chalmers enters the game for A. Harrison
5:31.0,,,99-78,,J. Martin enters the game for B. McLemore
5:31.0,L. Nance makes free throw 1 of 1,1,100-78,,
5:14.0,,,100-78,,M. Gasol misses 2-pt shot from 6 ft (block by L. Nance)
5:09.0,Defensive rebound by L. James,,100-78,,
5:07.0,Turnover by L. James (bad pass; steal by J. Martin),,100-78,,
4:59.0,,,100-80,2,J. Green makes 2-pt shot from 1 ft
4:46.0,K. Korver misses 2-pt shot from 17 ft,,100-80,,
4:43.0,,,100-80,,Defensive rebound by M. Gasol
4:37.0,,,100-82,2,J. Green makes 2-pt shot at rim (assist by J. Martin)
4:37.0,Cleveland full timeout,,100-82,,
4:37.0,,,100-82,,I. Rabb enters the game for J. Green
4:22.0,L. Nance misses 2-pt shot from 1 ft,,100-82,,
4:20.0,,,100-82,,Defensive rebound by I. Rabb
4:12.0,,,100-82,,M. Chalmers misses 2-pt shot from 8 ft
4:10.0,Defensive rebound by J. Clarkson,,100-82,,
3:56.0,L. James misses 2-pt shot from 17 ft,,100-82,,
3:53.0,,,100-82,,Defensive rebound by M. Gasol
3:49.0,,,100-84,2,D. Brooks makes 2-pt shot at rim (assist by M. Gasol)
3:32.0,J. Clarkson makes 2-pt shot from 1 ft (assist by L. Nance),2,102-84,,
3:18.0,,,102-84,,J. Martin misses 2-pt shot from 22 ft
3:18.0,,,102-84,,Offensive rebound by Team
3:18.0,,,102-84,,D. Davis enters the game for M. Gasol
3:18.0,J. Holland enters the game for G. Hill,,102-84,,
3:18.0,J. Calderon enters the game for L. James,,102-84,,
3:10.0,,,102-84,,D. Brooks misses 2-pt shot from 19 ft
3:04.0,Defensive rebound by L. Nance,,102-84,,
2:56.0,Turnover by J. Clarkson (lost ball; steal by J. Martin),,102-84,,
2:48.0,,,102-84,,Turnover by I. Rabb (bad pass; steal by L. Nance)
2:37.0,K. Korver makes 3-pt shot from 26 ft (assist by J. Calderon),3,105-84,,
2:13.0,,,105-84,,Turnover by I. Rabb (bad pass; steal by J. Holland)
1:54.0,L. Nance makes 2-pt shot at rim (assist by J. Calderon),2,107-84,,
1:54.0,,,107-85,1,D. Brooks makes technical free throw
1:54.0,,,107-85,,B. McLemore enters the game for D. Brooks
1:54.0,C. Osman enters the game for J. Clarkson,,107-85,,
1:54.0,A. Zizic enters the game for L. Nance,,107-85,,
1:39.0,,,107-85,,Shooting foul by J. Calderon (drawn by J. Martin)
1:39.0,,,107-85,,J. Martin misses free throw 1 of 2
1:39.0,,,107-85,,Offensive rebound by Team
1:39.0,,,107-86,1,J. Martin makes free throw 2 of 2
1:31.0,Turnover by A. Zizic (traveling),,107-86,,
1:20.0,,,107-86,,Turnover by B. McLemore (bad pass; steal by J. Holland)
1:11.0,A. Zizic makes 2-pt shot from 6 ft (assist by J. Calderon),2,109-86,,
0:49.0,,,109-86,,M. Chalmers misses 2-pt shot from 18 ft
0:46.0,Defensive rebound by J. Holland,,109-86,,
0:40.0,J. Holland makes 3-pt shot from 25 ft,3,112-86,,
0:23.0,,,112-86,,I. Rabb misses 2-pt shot from 6 ft (block by A. Zizic)
0:23.0,,,112-86,,Offensive rebound by Team
0:21.0,,,112-89,3,J. Martin makes 3-pt shot from 25 ft (assist by M. Chalmers)
