time,Dallas,pts.away,score,pts.home,Charlotte
4:05.0,,,101-100,2,K. Walker makes 2-pt shot from 12 ft
3:45.0,H. Barnes makes 2-pt shot from 9 ft,2,103-100,,
3:31.0,,,103-100,,K. Walker misses 3-pt shot from 25 ft (block by D. Smith)
3:28.0,Defensive rebound by H. Barnes,,103-100,,
3:10.0,W. Matthews misses 3-pt shot from 26 ft,,103-100,,
3:06.0,,,103-100,,Defensive rebound by J. Lamb
2:53.0,,,103-100,,K. Walker misses 2-pt shot from 2 ft (block by S. Mejri)
2:53.0,,,103-100,,Offensive rebound by D. Howard
2:53.0,,,103-100,,Shooting foul by D. Smith (drawn by D. Howard)
2:53.0,,,103-100,,D. Howard misses free throw 1 of 2
2:53.0,,,103-100,,Offensive rebound by Team
2:53.0,,,103-100,,M. Kidd-Gilchrist enters the game for J. Lamb
2:53.0,,,103-100,,D. Howard misses free throw 2 of 2
2:40.0,Defensive rebound by Y. Ferrell,,103-100,,
2:32.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Smith),,103-100,,
2:32.0,D. Smith makes free throw 1 of 2,1,104-100,,
2:32.0,D. Smith makes free throw 2 of 2,1,105-100,,
2:19.0,,,105-102,2,N. Batum makes 2-pt shot from 10 ft
1:55.0,D. Smith misses 3-pt shot from 27 ft,,105-102,,
1:50.0,Offensive rebound by S. Mejri,,105-102,,
1:48.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by H. Barnes),3,108-102,,
1:38.0,,,108-104,2,K. Walker makes 2-pt shot at rim
1:18.0,H. Barnes makes 2-pt shot from 20 ft,2,110-104,,
1:12.0,,,110-104,,K. Walker misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by D. Smith,,110-104,,
0:53.0,Y. Ferrell misses 3-pt shot from 26 ft,,110-104,,
0:48.0,,,110-104,,Defensive rebound by M. Kidd-Gilchrist
0:44.0,,,110-104,,Shooting foul by S. Mejri (drawn by M. Kidd-Gilchrist)
0:44.0,M. Kleber enters the game for S. Mejri,,110-104,,
0:44.0,,,110-104,,M. Kidd-Gilchrist misses free throw 1 of 2
0:44.0,,,110-104,,Offensive rebound by Team
0:44.0,,,110-105,1,M. Kidd-Gilchrist makes free throw 2 of 2
0:44.0,Dallas full timeout,,110-105,,
0:39.0,Turnover by M. Kleber (bad pass; steal by M. Williams),,110-105,,
0:38.0,,,110-107,2,K. Walker makes 2-pt shot from 1 ft
0:35.0,,,110-107,,Personal take foul by M. Kidd-Gilchrist (drawn by D. Smith)
0:35.0,D. Smith misses free throw 1 of 2,,110-107,,
0:35.0,Offensive rebound by Team,,110-107,,
0:35.0,D. Smith makes free throw 2 of 2,1,111-107,,
0:35.0,,,111-107,,Charlotte full timeout
0:35.0,,,111-107,,J. Lamb enters the game for M. Kidd-Gilchrist
0:31.0,,,111-109,2,K. Walker makes 2-pt shot from 2 ft
0:31.0,,,111-109,,Shooting foul by M. Kleber (drawn by K. Walker)
0:31.0,,,111-109,,M. Kidd-Gilchrist enters the game for J. Lamb
0:31.0,D. Nowitzki enters the game for M. Kleber,,111-109,,
0:31.0,,,111-110,1,K. Walker makes free throw 1 of 1
0:15.0,Shooting foul by K. Walker (drawn by D. Smith),,111-110,,
0:15.0,D. Smith makes free throw 1 of 2,1,112-110,,
0:15.0,M. Kleber enters the game for D. Nowitzki,,112-110,,
0:15.0,D. Smith makes free throw 2 of 2,1,113-110,,
0:15.0,,,113-110,,Charlotte full timeout
0:15.0,,,113-110,,J. Lamb enters the game for M. Kidd-Gilchrist
0:15.0,D. Powell enters the game for M. Kleber,,113-110,,
0:12.0,,,113-110,,K. Walker misses 3-pt shot from 25 ft
0:10.0,,,113-110,,Offensive rebound by D. Howard
0:10.0,,,113-110,,Shooting foul by D. Powell (drawn by D. Howard)
0:10.0,,,113-110,,D. Howard misses free throw 1 of 2
0:10.0,,,113-110,,Offensive rebound by Team
0:10.0,,,113-110,,M. Kidd-Gilchrist enters the game for J. Lamb
0:10.0,M. Kleber enters the game for Y. Ferrell,,113-110,,
0:10.0,,,113-111,1,D. Howard makes free throw 2 of 2
0:10.0,Dallas full timeout,,113-111,,
0:10.0,D. Harris enters the game for D. Powell,,113-111,,
0:10.0,Y. Ferrell enters the game for M. Kleber,,113-111,,
0:08.0,,,113-111,,Personal take foul by M. Williams (drawn by H. Barnes)
0:08.0,H. Barnes makes free throw 1 of 2,1,114-111,,
0:08.0,,,114-111,,J. Lamb enters the game for M. Kidd-Gilchrist
0:08.0,H. Barnes makes free throw 2 of 2,1,115-111,,
0:00.0,,,115-111,,N. Batum misses 3-pt shot from 28 ft
0:00.0,,,115-111,,Offensive rebound by Team
