time,Milwaukee,pts.away,score,pts.home,LA Lakers
6:06.0,G. Antetokounmpo makes 2-pt shot at rim,2,106-104,,
5:50.0,,,106-104,,J. Hart misses 3-pt shot from 26 ft
5:50.0,Defensive rebound by Team,,106-104,,
5:49.0,,,106-104,,B. Ingram enters the game for C. Frye
5:30.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,106-104,,
5:26.0,,,106-104,,Defensive rebound by J. Hart
5:22.0,,,106-104,,Shooting foul by K. Middleton (drawn by A. Caruso)
5:22.0,,,106-105,1,A. Caruso makes free throw 1 of 2
5:22.0,,,106-105,,J. Randle enters the game for I. Zubac
5:22.0,,,106-105,,A. Caruso misses free throw 2 of 2
5:20.0,Defensive rebound by T. Snell,,106-105,,
5:01.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Randle),,106-105,,
4:57.0,,,106-107,2,K. Kuzma makes 2-pt shot from 2 ft (assist by J. Randle)
4:29.0,E. Bledsoe misses 2-pt shot from 2 ft,,106-107,,
4:26.0,Offensive rebound by G. Antetokounmpo,,106-107,,
4:26.0,G. Antetokounmpo makes 2-pt shot at rim,2,108-107,,
4:07.0,,,108-107,,A. Caruso misses 2-pt shot from 5 ft
4:05.0,,,108-107,,Offensive rebound by J. Randle
4:05.0,,,108-107,,J. Randle misses 2-pt shot from 3 ft
4:04.0,Defensive rebound by Team,,108-107,,
3:44.0,Turnover by G. Antetokounmpo (turnover),,108-107,,
3:44.0,,,108-107,,LA Lakers full timeout
3:20.0,,,108-107,,A. Caruso misses 2-pt shot from 3 ft (block by J. Terry)
3:20.0,,,108-107,,Offensive rebound by A. Caruso
3:20.0,,,108-107,,Turnover by Team (shot clock)
3:00.0,E. Bledsoe makes 2-pt shot from 5 ft,2,110-107,,
2:40.0,,,110-110,3,B. Ingram makes 3-pt shot from 25 ft (assist by K. Kuzma)
2:40.0,,,110-110,,Shooting foul by G. Antetokounmpo (drawn by B. Ingram)
2:40.0,,,110-110,,B. Ingram misses free throw 1 of 1
2:40.0,Defensive rebound by G. Antetokounmpo,,110-110,,
2:24.0,,,110-110,,Personal foul by A. Caruso (drawn by G. Antetokounmpo)
2:18.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,112-110,,
2:04.0,,,112-110,,Shooting foul by T. Snell (drawn by B. Ingram)
2:04.0,,,112-110,,B. Ingram misses free throw 1 of 2
2:04.0,,,112-110,,Offensive rebound by Team
2:04.0,,,112-110,,B. Ingram misses free throw 2 of 2
2:01.0,Defensive rebound by E. Bledsoe,,112-110,,
1:45.0,T. Snell misses 3-pt shot from 25 ft,,112-110,,
1:42.0,,,112-110,,Defensive rebound by J. Hart
1:30.0,,,112-112,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram)
1:20.0,K. Middleton misses 3-pt shot from 25 ft,,112-112,,
1:17.0,,,112-112,,Defensive rebound by J. Randle
1:07.0,,,112-112,,Turnover by J. Randle (bad pass)
0:55.0,Turnover by K. Middleton (bad pass),,112-112,,
0:37.0,,,112-112,,K. Kuzma misses 3-pt shot from 27 ft
0:33.0,Defensive rebound by E. Bledsoe,,112-112,,
0:16.0,E. Bledsoe misses 3-pt shot from 25 ft,,112-112,,
0:12.0,Offensive rebound by K. Middleton,,112-112,,
0:02.0,K. Middleton misses 3-pt shot from 25 ft,,112-112,,
0:00.0,,,112-112,,Defensive rebound by K. Kuzma
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:55.0,Jump ball: J. Randle vs. G. Antetokounmpo (T. Snell gains possession),,,,Jump ball: J. Randle vs. G. Antetokounmpo (T. Snell gains possession)
4:35.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,112-112,,
4:35.0,Offensive rebound by Team,,112-112,,
4:35.0,Turnover by Team (shot clock),,112-112,,
4:14.0,,,112-112,,J. Randle misses 2-pt shot from 3 ft (block by K. Middleton)
4:11.0,Defensive rebound by E. Bledsoe,,112-112,,
4:08.0,E. Bledsoe makes 2-pt shot from 3 ft,2,114-112,,
3:48.0,,,114-112,,Turnover by A. Caruso (lost ball; steal by K. Middleton)
3:41.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by K. Middleton),2,116-112,,
3:40.0,,,116-112,,LA Lakers full timeout
3:40.0,,,116-112,,B. Lopez enters the game for B. Ingram
3:17.0,,,116-112,,J. Hart misses 3-pt shot from 26 ft
3:14.0,Defensive rebound by K. Middleton,,116-112,,
2:59.0,E. Bledsoe makes 3-pt shot from 26 ft,3,119-112,,
2:45.0,,,119-112,,Turnover by A. Caruso (bad pass)
2:35.0,E. Bledsoe makes 2-pt shot from 1 ft,2,121-112,,
2:14.0,,,121-112,,Shooting foul by K. Middleton (drawn by K. Kuzma)
2:14.0,,,121-113,1,K. Kuzma makes free throw 1 of 2
2:14.0,,,121-114,1,K. Kuzma makes free throw 2 of 2
1:50.0,K. Middleton misses 2-pt shot from 6 ft,,121-114,,
1:47.0,,,121-114,,Defensive rebound by B. Lopez
1:35.0,,,121-114,,K. Kuzma misses 2-pt shot from 6 ft
1:32.0,,,121-114,,Offensive rebound by K. Kuzma
1:30.0,,,121-116,2,J. Hart makes 2-pt shot from 1 ft (assist by K. Kuzma)
1:15.0,E. Bledsoe misses 3-pt shot from 27 ft,,121-116,,
1:11.0,,,121-116,,Defensive rebound by K. Kuzma
1:09.0,,,121-118,2,K. Kuzma makes 2-pt shot at rim
1:09.0,Milwaukee full timeout,,121-118,,
0:58.0,T. Snell misses 2-pt shot from 2 ft (block by J. Hart),,121-118,,
0:55.0,,,121-118,,Defensive rebound by J. Hart
0:54.0,Personal take foul by E. Bledsoe (drawn by J. Randle),,121-118,,
0:49.0,Personal foul by K. Middleton (drawn by J. Randle),,121-118,,
0:49.0,J. Parker enters the game for K. Middleton,,121-118,,
0:49.0,,,121-119,1,J. Randle makes free throw 1 of 2
0:49.0,T. Zeller enters the game for T. Snell,,121-119,,
0:49.0,,,121-120,1,J. Randle makes free throw 2 of 2
0:27.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,121-120,,
0:25.0,,,121-120,,Defensive rebound by J. Hart
0:19.0,,,121-120,,J. Randle misses 2-pt shot from 2 ft (block by T. Zeller)
0:17.0,Defensive rebound by G. Antetokounmpo,,121-120,,
0:17.0,,,121-120,,Personal take foul by J. Hart (drawn by G. Antetokounmpo)
0:16.0,,,121-120,,Personal take foul by K. Kuzma (drawn by G. Antetokounmpo)
0:16.0,G. Antetokounmpo makes free throw 1 of 2,1,122-120,,
0:16.0,G. Antetokounmpo misses free throw 2 of 2,,122-120,,
0:11.0,,,122-120,,Defensive rebound by J. Randle
0:02.0,,,122-120,,K. Kuzma misses 3-pt shot from 26 ft
0:02.0,Milwaukee full timeout,,122-120,,
0:01.0,Offensive rebound by Team,,122-120,,
0:01.0,,,122-120,,Personal take foul by J. Hart (drawn by E. Bledsoe)
0:01.0,E. Bledsoe makes free throw 1 of 2,1,123-120,,
0:01.0,E. Bledsoe makes free throw 2 of 2,1,124-120,,
0:01.0,,,124-120,,LA Lakers full timeout
0:00.0,,,124-122,2,J. Hart makes 2-pt shot from 16 ft (assist by A. Caruso)
