time,LA Lakers,pts.away,score,pts.home,Brooklyn
4:45.0,,,96-92,,Defensive rebound by D. Russell
4:42.0,,,96-92,,Shooting foul by J. Clarkson (drawn by S. Dinwiddie)
4:42.0,,,96-93,1,S. Dinwiddie makes free throw 1 of 2
4:42.0,,,96-93,,S. Dinwiddie misses free throw 2 of 2
4:40.0,Defensive rebound by J. Randle,,96-93,,
4:21.0,,,96-93,,Personal foul by D. Carroll (drawn by B. Lopez)
4:14.0,Turnover by J. Clarkson (traveling),,96-93,,
4:00.0,,,96-93,,J. Allen misses 2-pt shot from 1 ft (block by B. Lopez)
3:57.0,Defensive rebound by J. Hart,,96-93,,
3:52.0,Offensive charge foul by J. Randle (drawn by D. Carroll),,96-93,,
3:52.0,Turnover by J. Randle (offensive foul),,96-93,,
3:31.0,,,96-95,2,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
3:05.0,J. Hart makes 3-pt shot from 23 ft (assist by B. Ingram),3,99-95,,
2:49.0,Shooting block foul by B. Lopez (drawn by S. Dinwiddie),,99-95,,
2:49.0,,,99-96,1,S. Dinwiddie makes free throw 1 of 2
2:49.0,,,99-97,1,S. Dinwiddie makes free throw 2 of 2
2:34.0,Turnover by B. Ingram (bad pass),,99-97,,
2:24.0,,,99-97,,D. Russell misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by B. Lopez,,99-97,,
2:00.0,B. Ingram misses 2-pt shot from 3 ft (block by A. Crabbe),,99-97,,
2:00.0,Offensive rebound by Team,,99-97,,
1:57.0,B. Lopez misses 3-pt shot from 33 ft,,99-97,,
1:52.0,,,99-97,,Defensive rebound by D. Russell
1:41.0,,,99-97,,J. Allen misses 2-pt shot from 1 ft (block by B. Lopez)
1:38.0,Defensive rebound by B. Ingram,,99-97,,
1:28.0,B. Lopez makes 2-pt shot from 9 ft (assist by J. Clarkson),2,101-97,,
1:17.0,,,101-97,,S. Dinwiddie misses 2-pt shot from 5 ft
1:14.0,Defensive rebound by B. Ingram,,101-97,,
0:55.0,J. Randle misses 2-pt shot from 5 ft,,101-97,,
0:50.0,,,101-97,,Defensive rebound by S. Dinwiddie
0:45.0,,,101-97,,A. Crabbe misses 3-pt shot from 25 ft
0:42.0,,,101-97,,Offensive rebound by S. Dinwiddie
0:41.0,,,101-99,2,S. Dinwiddie makes 2-pt shot from 2 ft
0:17.0,B. Lopez misses 2-pt shot from 15 ft,,101-99,,
0:11.0,Offensive rebound by J. Hart,,101-99,,
0:10.0,,,101-99,,Personal take foul by D. Russell (drawn by J. Hart)
0:08.0,,,101-99,,Personal take foul by J. Allen (drawn by J. Randle)
0:08.0,J. Randle misses free throw 1 of 2,,101-99,,
0:08.0,Offensive rebound by Team,,101-99,,
0:08.0,,,101-99,,Q. Acy enters the game for D. Russell
0:08.0,,,101-99,,J. Okafor enters the game for S. Dinwiddie
0:08.0,J. Randle makes free throw 2 of 2,1,102-99,,
0:08.0,,,102-99,,Brooklyn full timeout
0:08.0,,,102-99,,J. Harris enters the game for J. Allen
0:08.0,,,102-99,,S. Dinwiddie enters the game for J. Okafor
0:08.0,C. Brewer enters the game for B. Lopez,,102-99,,
0:06.0,Personal take foul by J. Clarkson (drawn by S. Dinwiddie),,102-99,,
0:01.0,,,102-99,,J. Harris misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by J. Hart,,102-99,,
