time,Miami,pts.away,score,pts.home,Phoenix
3:47.0,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow),2,112-102,,
3:28.0,,,112-102,,Shooting foul by J. Johnson (drawn by D. Booker)
3:28.0,,,112-103,1,D. Booker makes free throw 1 of 2
3:28.0,,,112-104,1,D. Booker makes free throw 2 of 2
3:08.0,J. Richardson misses 2-pt shot from 3 ft,,112-104,,
3:06.0,,,112-104,,Defensive rebound by T. Warren
2:53.0,,,112-106,2,D. Booker makes 2-pt shot from 16 ft
2:35.0,,,112-106,,Personal foul by M. James (drawn by G. Dragic)
2:35.0,D. Waiters enters the game for J. Johnson,,112-106,,
2:25.0,G. Dragic misses 2-pt shot from 10 ft,,112-106,,
2:23.0,,,112-106,,Defensive rebound by M. Chriss
2:18.0,,,112-106,,D. Booker misses 2-pt shot at rim
2:18.0,Defensive rebound by Team,,112-106,,
2:14.0,Jump ball: A. Len vs. H. Whiteside (J. Winslow gains possession),,,,Jump ball: A. Len vs. H. Whiteside (J. Winslow gains possession)
2:14.0,,,112-106,,Turnover by A. Len (turnover; steal by H. Whiteside)
2:02.0,D. Waiters makes 2-pt shot from 15 ft,2,114-106,,
1:52.0,,,114-106,,D. Booker misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by G. Dragic,,114-106,,
1:33.0,D. Waiters makes 3-pt shot from 27 ft,3,117-106,,
1:33.0,,,117-106,,Phoenix full timeout
1:26.0,,,117-106,,D. Booker misses 2-pt shot from 14 ft
1:26.0,,,117-106,,Offensive rebound by Team
1:26.0,Loose ball foul by J. Richardson (drawn by A. Len),,117-106,,
1:26.0,W. Ellington enters the game for J. Richardson,,117-106,,
1:26.0,,,117-107,1,A. Len makes free throw 1 of 2
1:26.0,,,117-108,1,A. Len makes free throw 2 of 2
1:15.0,Offensive foul by D. Waiters (drawn by D. Booker),,117-108,,
1:15.0,Turnover by D. Waiters (offensive foul),,117-108,,
1:15.0,J. Johnson enters the game for D. Waiters,,117-108,,
1:10.0,,,117-108,,D. Booker misses 2-pt shot from 5 ft (block by H. Whiteside)
1:10.0,,,117-108,,Offensive rebound by T. Warren
1:10.0,,,117-108,,T. Warren misses 2-pt shot from 1 ft (block by H. Whiteside)
1:08.0,Defensive rebound by G. Dragic,,117-108,,
1:08.0,Miami full timeout,,117-108,,
0:48.0,Shooting foul by M. Chriss (drawn by H. Whiteside),,117-108,,
0:48.0,,,117-108,,J. Dudley enters the game for M. Chriss
0:48.0,H. Whiteside makes free throw 1 of 2,1,118-108,,
0:48.0,H. Whiteside makes free throw 2 of 2,1,119-108,,
0:43.0,,,119-110,2,M. James makes 2-pt shot from 3 ft
0:42.0,,,119-110,,Personal take foul by J. Dudley (drawn by J. Johnson)
0:42.0,J. Johnson makes free throw 1 of 2,1,120-110,,
0:42.0,,,120-110,,J. Jackson enters the game for A. Len
0:42.0,J. Johnson makes free throw 2 of 2,1,121-110,,
0:37.0,,,121-112,2,J. Jackson makes 2-pt shot from 7 ft
0:34.0,,,121-112,,Personal take foul by J. Dudley (drawn by G. Dragic)
0:34.0,G. Dragic makes free throw 1 of 2,1,122-112,,
0:34.0,G. Dragic makes free throw 2 of 2,1,123-112,,
0:29.0,,,123-114,2,J. Jackson makes 2-pt shot from 1 ft
0:26.0,,,123-114,,Personal take foul by D. Booker (drawn by W. Ellington)
0:26.0,W. Ellington makes free throw 1 of 2,1,124-114,,
0:26.0,W. Ellington makes free throw 2 of 2,1,125-114,,
0:21.0,,,125-114,,Shooting foul by J. Winslow (drawn by D. Booker)
0:21.0,,,125-115,1,D. Booker makes free throw 1 of 2
0:21.0,,,125-115,,D. Booker misses free throw 2 of 2
0:20.0,Defensive rebound by H. Whiteside,,125-115,,
0:20.0,,,125-115,,Personal take foul by T. Warren (drawn by H. Whiteside)
0:20.0,H. Whiteside misses free throw 1 of 2,,125-115,,
0:20.0,Offensive rebound by Team,,125-115,,
0:20.0,H. Whiteside makes free throw 2 of 2,1,126-115,,
0:11.0,,,126-115,,T. Warren misses 3-pt shot from 23 ft
0:09.0,Defensive rebound by H. Whiteside,,126-115,,
