time,Boston,pts.away,score,pts.home,Oklahoma City
0:41.0,,,97-91,,A. Abrines enters the game for A. Roberson
0:38.0,,,97-94,3,P. George makes 3-pt shot from 24 ft
0:14.0,K. Irving makes 2-pt shot at rim,2,99-94,,
0:09.0,,,99-94,,C. Anthony misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by M. Morris,,99-94,,
0:07.0,,,99-94,,Personal foul by A. Abrines (drawn by M. Morris)
0:07.0,Boston full timeout,,99-94,,
0:07.0,,,99-94,,J. Grant enters the game for S. Adams
0:07.0,,,99-94,,A. Roberson enters the game for A. Abrines
0:07.0,J. Tatum enters the game for J. Brown,,99-94,,
0:07.0,Turnover by J. Tatum (bad pass),,99-94,,
0:07.0,,,99-94,,Oklahoma City full timeout
0:07.0,,,99-94,,S. Adams enters the game for J. Grant
0:07.0,,,99-94,,A. Abrines enters the game for A. Roberson
0:07.0,J. Brown enters the game for K. Irving,,99-94,,
0:05.0,,,99-94,,P. George misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by Team,,99-94,,
0:04.0,K. Irving enters the game for J. Tatum,,99-94,,
0:04.0,,,99-94,,A. Roberson enters the game for A. Abrines
0:03.0,,,99-94,,Personal foul by A. Roberson (drawn by K. Irving)
0:03.0,K. Irving makes free throw 2 of 2,1,100-94,,
0:03.0,K. Irving makes free throw 1 of 2,1,101-94,,
0:00.0,,,101-94,,P. George misses 3-pt shot from 23 ft
0:00.0,,,101-94,,Offensive rebound by Team
