time,New York,pts.away,score,pts.home,Memphis
3:34.0,,,94-98,,Offensive rebound by J. Ennis
3:34.0,,,94-98,,J. Ennis misses 2-pt shot at rim
3:33.0,Defensive rebound by J. Jack,,94-98,,
3:28.0,Turnover by M. Beasley (lost ball; steal by J. Green),,94-98,,
3:16.0,,,94-98,,J. Martin misses 3-pt shot from 26 ft
3:14.0,,,94-98,,Offensive rebound by T. Evans
2:58.0,,,94-98,,T. Evans misses 3-pt shot from 26 ft
2:54.0,,,94-98,,Offensive rebound by J. Green
2:52.0,,,94-100,2,J. Ennis makes 2-pt shot from 17 ft (assist by J. Green)
2:30.0,K. Porzingis makes 2-pt shot from 9 ft (assist by T. Hardaway),2,96-100,,
2:10.0,,,96-100,,T. Evans misses 2-pt shot from 17 ft
2:07.0,Defensive rebound by J. Jack,,96-100,,
1:54.0,K. Porzingis misses 2-pt shot from 11 ft,,96-100,,
1:51.0,,,96-100,,Defensive rebound by D. Brooks
1:34.0,,,96-100,,T. Evans misses 2-pt shot from 1 ft (block by M. Beasley)
1:34.0,,,96-100,,Offensive rebound by J. Green
1:34.0,,,96-102,2,J. Green makes 2-pt shot at rim
1:34.0,New York full timeout,,96-102,,
1:27.0,M. Beasley misses 2-pt shot from 6 ft,,96-102,,
1:24.0,,,96-102,,Defensive rebound by J. Green
1:07.0,,,96-102,,J. Martin misses 2-pt shot from 21 ft
1:05.0,Defensive rebound by T. Hardaway,,96-102,,
0:48.0,C. Lee makes 3-pt shot from 29 ft,3,99-102,,
0:26.0,,,99-102,,T. Evans misses 2-pt shot from 23 ft
0:25.0,,,99-102,,Offensive rebound by Team
0:25.0,Loose ball foul by K. Porzingis (drawn by J. Martin),,99-102,,
0:25.0,,,99-102,,Memphis full timeout
0:17.0,Technical foul by C. Lee,,99-102,,
0:17.0,,,99-103,1,T. Evans makes technical free throw
0:15.0,Jump ball: T. Evans vs. T. Hardaway (J. Martin gains possession),,,,Jump ball: T. Evans vs. T. Hardaway (J. Martin gains possession)
0:12.0,Personal take foul by C. Lee (drawn by T. Evans),,99-103,,
0:12.0,,,99-104,1,T. Evans makes free throw 1 of 2
0:12.0,L. Thomas enters the game for J. Jack,,99-104,,
0:12.0,,,99-105,1,T. Evans makes free throw 2 of 2
0:12.0,New York full timeout,,99-105,,
0:12.0,J. Jack enters the game for L. Thomas,,99-105,,
0:08.0,T. Hardaway misses 3-pt shot from 27 ft,,99-105,,
0:05.0,,,99-105,,Defensive rebound by T. Evans
