time,Orlando,pts.away,score,pts.home,LA Clippers
5:01.0,,,81-74,,Defensive rebound by D. Jordan
4:47.0,,,81-76,2,W. Johnson makes 2-pt shot from 20 ft (assist by A. Rivers)
4:34.0,,,81-76,,Personal foul by A. Rivers (drawn by D. Augustin)
4:34.0,D. Augustin misses free throw 1 of 2,,81-76,,
4:34.0,Offensive rebound by Team,,81-76,,
4:34.0,,,81-76,,J. Evans enters the game for A. Rivers
4:34.0,D. Augustin makes free throw 2 of 2,1,82-76,,
4:16.0,,,82-78,2,T. Harris makes 2-pt shot from 14 ft (assist by D. Jordan)
4:03.0,D. Augustin misses 3-pt shot from 26 ft,,82-78,,
4:00.0,,,82-78,,Defensive rebound by D. Jordan
3:53.0,S. Mack enters the game for M. Hezonja,,82-78,,
3:53.0,K. Birch enters the game for D. Augustin,,82-78,,
3:47.0,,,82-78,,Turnover by T. Harris (bad pass)
3:36.0,Shooting foul by J. Evans (drawn by J. Simmons),,82-78,,
3:36.0,J. Simmons makes free throw 1 of 2,1,83-78,,
3:36.0,J. Simmons misses free throw 2 of 2,,83-78,,
3:33.0,,,83-78,,Defensive rebound by D. Jordan
3:23.0,,,83-80,2,M. Teodosic makes 2-pt shot from 14 ft
3:09.0,N. Vucevic makes 2-pt shot from 6 ft (assist by J. Simmons),2,85-80,,
3:00.0,,,85-83,3,M. Teodosic makes 3-pt shot from 25 ft
2:46.0,N. Vucevic misses 3-pt shot from 25 ft,,85-83,,
2:42.0,Offensive rebound by J. Simmons,,85-83,,
2:41.0,J. Simmons makes 2-pt shot at rim,2,87-83,,
2:34.0,,,87-83,,Turnover by W. Johnson (bad pass)
2:17.0,N. Vucevic misses 2-pt shot from 10 ft,,87-83,,
2:14.0,,,87-83,,Defensive rebound by D. Jordan
2:04.0,,,87-83,,J. Evans misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by J. Simmons,,87-83,,
1:57.0,Turnover by J. Simmons (lost ball; steal by J. Evans),,87-83,,
1:41.0,,,87-85,2,W. Johnson makes 2-pt shot from 16 ft
1:30.0,N. Vucevic misses 3-pt shot from 25 ft,,87-85,,
1:27.0,,,87-85,,Defensive rebound by D. Jordan
1:23.0,Personal foul by W. Iwundu (drawn by M. Teodosic),,87-85,,
1:23.0,,,87-86,1,M. Teodosic makes free throw 1 of 2
1:23.0,B. Biyombo enters the game for N. Vucevic,,87-86,,
1:23.0,,,87-86,,M. Harrell enters the game for D. Jordan
1:23.0,,,87-87,1,M. Teodosic makes free throw 2 of 2
1:03.0,J. Simmons misses 2-pt shot from 3 ft (block by T. Harris),,87-87,,
1:03.0,,,87-87,,Defensive rebound by Team
0:48.0,,,87-87,,Turnover by M. Teodosic (bad pass; steal by J. Simmons)
0:39.0,S. Mack makes 2-pt shot from 12 ft,2,89-87,,
0:25.0,,,89-87,,T. Harris misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by Team,,89-87,,
0:01.0,J. Simmons misses 3-pt shot from 24 ft,,89-87,,
0:01.0,Offensive rebound by Team,,89-87,,
0:01.0,Turnover by Team (shot clock),,89-87,,
0:01.0,,,89-87,,B. Marjanovic enters the game for T. Harris
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,89-87,,Turnover by M. Harrell (bad pass; steal by W. Iwundu)
11:40.0,R. Purvis misses 3-pt shot from 22 ft,,89-87,,
11:36.0,Offensive rebound by W. Iwundu,,89-87,,
11:21.0,W. Iwundu misses 3-pt shot from 24 ft,,89-87,,
11:18.0,,,89-87,,Defensive rebound by W. Johnson
11:12.0,,,89-89,2,L. Williams makes 2-pt shot from 1 ft
11:00.0,B. Biyombo misses 2-pt shot from 12 ft,,89-89,,
10:57.0,,,89-89,,Defensive rebound by M. Harrell
10:43.0,,,89-89,,B. Marjanovic misses 2-pt shot from 7 ft
10:40.0,Defensive rebound by K. Birch,,89-89,,
10:28.0,B. Biyombo misses 2-pt shot from 8 ft (block by W. Johnson),,89-89,,
10:25.0,,,89-89,,Defensive rebound by B. Marjanovic
10:23.0,,,89-89,,M. Teodosic misses 3-pt shot from 25 ft
10:21.0,,,89-89,,Offensive rebound by Team
10:17.0,,,89-91,2,L. Williams makes 2-pt shot from 14 ft (assist by M. Teodosic)
9:50.0,S. Mack makes 2-pt shot from 3 ft,2,91-91,,
9:27.0,,,91-93,2,M. Harrell makes 2-pt shot from 1 ft
9:12.0,S. Mack misses 2-pt shot from 20 ft,,91-93,,
