time,Detroit,pts.away,score,pts.home,Phoenix
4:39.0,,,98-77,,M. Chriss misses 2-pt shot from 1 ft
4:38.0,Defensive rebound by J. Ennis,,98-77,,
4:34.0,J. Ennis makes 2-pt shot at rim,2,100-77,,
4:25.0,Personal foul by B. Griffin (drawn by A. Len),,100-77,,
4:25.0,,,100-77,,D. Bender enters the game for A. Len
4:17.0,,,100-77,,M. Chriss misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by L. Kennard,,100-77,,
3:54.0,B. Griffin makes 3-pt shot from 25 ft,3,103-77,,
3:45.0,Personal foul by J. Ennis (drawn by J. Jackson),,103-77,,
3:40.0,,,103-77,,E. Payton misses 2-pt shot from 1 ft (block by L. Kennard)
3:37.0,Defensive rebound by B. Griffin,,103-77,,
3:33.0,L. Kennard makes 2-pt shot at rim (assist by B. Griffin),2,105-77,,
3:33.0,,,105-77,,Phoenix full timeout
3:33.0,,,105-77,,S. Harrison enters the game for J. Jackson
3:33.0,,,105-77,,D. Reed enters the game for T. Daniels
3:33.0,H. Ellenson enters the game for A. Tolliver,,105-77,,
3:33.0,E. Moreland enters the game for B. Griffin,,105-77,,
3:13.0,,,105-77,,S. Harrison misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by L. Kennard,,105-77,,
2:59.0,J. Ennis misses 2-pt shot from 18 ft,,105-77,,
2:54.0,,,105-77,,Defensive rebound by D. Bender
2:51.0,,,105-79,2,M. Chriss makes 2-pt shot at rim (assist by D. Bender)
2:28.0,I. Smith makes 2-pt shot from 16 ft,2,107-79,,
2:12.0,,,107-79,,M. Chriss misses 2-pt shot from 1 ft (block by E. Moreland)
2:12.0,,,107-79,,Offensive rebound by Team
2:12.0,D. Buycks enters the game for I. Smith,,107-79,,
2:07.0,,,107-79,,Turnover by D. Reed (lost ball; steal by E. Moreland)
2:00.0,H. Ellenson makes 2-pt shot at rim,2,109-79,,
1:54.0,,,109-79,,Shooting foul by E. Moreland (drawn by S. Harrison)
1:54.0,,,109-80,1,S. Harrison makes free throw 1 of 2
1:54.0,,,109-81,1,S. Harrison makes free throw 2 of 2
1:39.0,H. Ellenson misses 3-pt shot from 22 ft,,109-81,,
1:35.0,,,109-81,,Defensive rebound by S. Harrison
1:30.0,,,109-83,2,E. Payton makes 2-pt shot from 1 ft (assist by S. Harrison)
1:20.0,Turnover by E. Moreland (traveling),,109-83,,
1:20.0,,,109-83,,A. Peters enters the game for E. Payton
1:07.0,,,109-83,,S. Harrison misses 2-pt shot from 5 ft (block by E. Moreland)
1:04.0,Defensive rebound by H. Ellenson,,109-83,,
0:50.0,L. Kennard makes 3-pt shot from 25 ft (assist by H. Ellenson),3,112-83,,
0:36.0,,,112-85,2,D. Bender makes 2-pt shot at rim (assist by M. Chriss)
0:22.0,H. Ellenson makes 3-pt shot from 23 ft (assist by L. Kennard),3,115-85,,
0:11.0,,,115-85,,Shooting foul by E. Moreland (drawn by M. Chriss)
0:11.0,,,115-86,1,M. Chriss makes free throw 1 of 2
0:11.0,,,115-86,,M. Chriss misses free throw 2 of 2
0:09.0,,,115-86,,Offensive rebound by Team
0:07.0,,,115-86,,M. Chriss misses 3-pt shot from 25 ft
0:04.0,,,115-86,,Offensive rebound by Team
0:01.0,,,115-88,2,S. Harrison makes 2-pt shot from 10 ft
