time,New York,pts.away,score,pts.home,Portland
3:00.0,D. Dotson enters the game for T. Hardaway,,80-104,,
3:00.0,,,80-105,1,S. Napier makes free throw 2 of 2
2:51.0,L. Kornet makes 3-pt shot from 25 ft (assist by F. Ntilikina),3,83-105,,
2:29.0,,,83-108,3,S. Napier makes 3-pt shot from 24 ft
2:14.0,E. Mudiay misses 3-pt shot from 25 ft,,83-108,,
2:10.0,,,83-108,,Defensive rebound by W. Baldwin
1:58.0,,,83-108,,J. Layman misses 2-pt shot from 1 ft (block by L. Kornet)
1:56.0,,,83-108,,Offensive rebound by C. Swanigan
1:56.0,,,83-110,2,C. Swanigan makes 2-pt shot from 3 ft
1:47.0,Shooting foul by W. Baldwin (drawn by F. Ntilikina),,83-110,,
1:47.0,F. Ntilikina makes free throw 1 of 2,1,84-110,,
1:47.0,,,84-110,,P. Connaughton enters the game for S. Napier
1:47.0,F. Ntilikina makes free throw 2 of 2,1,85-110,,
1:24.0,,,85-110,,Turnover by W. Baldwin (traveling)
1:17.0,L. Kornet misses 3-pt shot from 24 ft,,85-110,,
1:15.0,,,85-110,,Defensive rebound by Team
0:57.0,,,85-110,,Turnover by Z. Collins (traveling)
0:43.0,I. Hicks misses 2-pt shot from 3 ft (block by J. Layman),,85-110,,
0:40.0,,,85-110,,Defensive rebound by Z. Collins
0:38.0,,,85-110,,Shooting foul by F. Ntilikina (drawn by W. Baldwin)
0:38.0,,,85-111,1,W. Baldwin makes free throw 1 of 2
0:38.0,,,85-111,,W. Baldwin misses free throw 2 of 2
0:36.0,Defensive rebound by L. Kornet,,85-111,,
0:14.0,D. Dotson makes 2-pt shot from 2 ft,2,87-111,,
