time,Milwaukee,pts.away,score,pts.home,Charlotte
2:27.0,,,109-119,,D. Howard misses free throw 2 of 2
2:24.0,Defensive rebound by K. Middleton,,109-119,,
2:09.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,109-119,,
2:08.0,,,109-119,,Defensive rebound by D. Howard
2:08.0,Personal foul by J. Henson (drawn by D. Howard),,109-119,,
2:08.0,,,109-120,1,D. Howard makes free throw 1 of 2
2:08.0,,,109-120,,D. Howard misses free throw 2 of 2
2:06.0,Defensive rebound by G. Antetokounmpo,,109-120,,
2:01.0,K. Middleton misses 3-pt shot from 24 ft,,109-120,,
1:59.0,Offensive rebound by Team,,109-120,,
1:46.0,T. Snell makes 3-pt shot from 23 ft (assist by M. Brogdon),3,112-120,,
1:23.0,,,112-120,,D. Bacon misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by Team,,112-120,,
1:12.0,K. Middleton makes 3-pt shot from 26 ft,3,115-120,,
0:58.0,,,115-120,,M. Williams misses 2-pt shot from 21 ft
0:55.0,Defensive rebound by G. Antetokounmpo,,115-120,,
0:52.0,K. Middleton misses 3-pt shot from 26 ft,,115-120,,
0:48.0,,,115-120,,Defensive rebound by K. Walker
0:32.0,,,115-120,,K. Walker misses 3-pt shot from 27 ft
0:30.0,Defensive rebound by Team,,115-120,,
0:30.0,Milwaukee full timeout,,115-120,,
0:30.0,,,115-120,,J. Lamb enters the game for M. Monk
0:26.0,K. Middleton misses 3-pt shot from 25 ft,,115-120,,
0:23.0,,,115-120,,Defensive rebound by J. Lamb
0:17.0,,,115-120,,Charlotte full timeout
0:17.0,,,115-120,,F. Kaminsky enters the game for D. Howard
0:13.0,Personal foul by K. Middleton (drawn by M. Williams),,115-120,,
0:13.0,,,115-121,1,M. Williams makes free throw 1 of 2
0:13.0,,,115-121,,D. Howard enters the game for F. Kaminsky
0:13.0,,,115-122,1,M. Williams makes free throw 2 of 2
0:13.0,Milwaukee full timeout,,115-122,,
0:10.0,Shooting foul by D. Howard (drawn by K. Middleton),,115-122,,
0:10.0,K. Middleton makes free throw 1 of 3,1,116-122,,
0:10.0,K. Middleton makes free throw 2 of 3,1,117-122,,
0:10.0,K. Middleton makes free throw 3 of 3,1,118-122,,
0:10.0,Personal take foul by T. Snell (drawn by J. Lamb),,118-122,,
0:10.0,,,118-123,1,J. Lamb makes free throw 1 of 2
0:10.0,,,118-124,1,J. Lamb makes free throw 2 of 2
0:05.0,K. Middleton makes 3-pt shot from 26 ft,3,121-124,,
0:04.0,Personal take foul by K. Middleton (drawn by J. Lamb),,121-124,,
0:04.0,,,121-125,1,J. Lamb makes free throw 1 of 2
0:04.0,,,121-126,1,J. Lamb makes free throw 2 of 2
0:00.0,J. Henson misses 3-pt shot from 26 ft,,121-126,,
0:00.0,Offensive rebound by Team,,121-126,,
