time,Cleveland,pts.away,score,pts.home,Oklahoma City
2:44.0,L. Nance misses 2-pt shot from 3 ft (block by J. Grant),,111-102,,
2:41.0,Jump ball: J. Grant vs. L. Nance (J. Smith gains possession),,,,Jump ball: J. Grant vs. L. Nance (J. Smith gains possession)
2:41.0,Defensive rebound by Team,,111-102,,
2:38.0,L. Nance misses 2-pt shot from 2 ft,,111-102,,
2:37.0,,,111-102,,Defensive rebound by J. Grant
2:22.0,,,111-102,,Turnover by P. George (bad pass; steal by J. Smith)
2:02.0,L. Nance makes 2-pt shot from 1 ft (assist by J. Smith),2,113-102,,
1:48.0,,,113-104,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
1:48.0,,,113-104,,Shooting foul by J. Green (drawn by J. Grant)
1:48.0,,,113-105,1,J. Grant makes free throw 1 of 1
1:26.0,J. Clarkson misses 3-pt shot from 22 ft,,113-105,,
1:24.0,,,113-105,,Defensive rebound by P. George
1:11.0,,,113-105,,Shooting foul by J. Green (drawn by C. Anthony)
1:11.0,,,113-105,,C. Anthony misses free throw 1 of 2
1:11.0,,,113-105,,Offensive rebound by Team
1:11.0,,,113-106,1,C. Anthony makes free throw 2 of 2
0:49.0,L. James makes 2-pt shot from 2 ft,2,115-106,,
0:49.0,,,115-106,,Oklahoma City full timeout
0:49.0,,,115-106,,A. Abrines enters the game for J. Grant
0:49.0,R. Hood enters the game for J. Clarkson,,115-106,,
0:48.0,,,115-109,3,P. George makes 3-pt shot from 26 ft (assist by A. Abrines)
0:37.0,Cleveland full timeout,,115-109,,
0:37.0,,,115-109,,J. Grant enters the game for A. Abrines
0:37.0,J. Clarkson enters the game for R. Hood,,115-109,,
0:34.0,,,115-109,,Personal take foul by S. Adams (drawn by L. Nance)
0:34.0,L. Nance makes free throw 1 of 2,1,116-109,,
0:34.0,R. Hood enters the game for J. Clarkson,,116-109,,
0:34.0,,,116-109,,A. Abrines enters the game for J. Grant
0:34.0,L. Nance makes free throw 2 of 2,1,117-109,,
0:28.0,,,117-109,,P. George misses 3-pt shot from 25 ft
0:24.0,,,117-109,,Offensive rebound by R. Westbrook
0:23.0,,,117-112,3,C. Anthony makes 3-pt shot from 26 ft (assist by R. Westbrook)
0:17.0,Turnover by L. James (bad pass; steal by R. Westbrook),,117-112,,
0:15.0,,,117-112,,A. Abrines misses 3-pt shot from 26 ft
0:13.0,Defensive rebound by J. Smith,,117-112,,
0:11.0,L. Nance makes 2-pt shot at rim (assist by J. Smith),2,119-112,,
0:07.0,,,119-112,,P. George misses 3-pt shot from 27 ft
0:04.0,Defensive rebound by L. James,,119-112,,
0:04.0,,,119-112,,Personal take foul by S. Adams (drawn by L. James)
0:04.0,L. James misses free throw 1 of 2,,119-112,,
0:04.0,Offensive rebound by Team,,119-112,,
0:04.0,L. James makes free throw 2 of 2,1,120-112,,
0:01.0,,,120-112,,A. Abrines misses 3-pt shot from 25 ft
0:01.0,,,120-112,,Offensive rebound by Team
