time,Memphis,pts.away,score,pts.home,Portland
0:23.0,,,96-93,,N. Vonleh enters the game for S. Napier
0:23.0,M. Conley makes free throw 2 of 2,1,97-93,,
0:23.0,M. Conley makes free throw 1 of 2,1,98-93,,
0:23.0,,,98-93,,Portland full timeout
0:23.0,,,98-93,,D. Lillard enters the game for M. Harkless
0:23.0,,,98-93,,P. Connaughton enters the game for N. Vonleh
0:23.0,Personal foul by M. Conley (drawn by D. Lillard),,98-93,,
0:23.0,,,98-94,1,D. Lillard makes free throw 1 of 1
0:13.0,,,98-97,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
0:12.0,Memphis full timeout,,98-97,,
0:12.0,,,98-97,,S. Napier enters the game for P. Connaughton
0:12.0,C. Parsons enters the game for J. Ennis,,98-97,,
0:12.0,Turnover by C. Parsons (bad pass),,98-97,,
0:03.0,,,98-97,,C. McCollum misses 2-pt shot from 19 ft
0:03.0,,,98-97,,Offensive rebound by C. McCollum
