time,Minnesota,pts.away,score,pts.home,Philadelphia
10:51.0,,,74-100,,Defensive rebound by R. Holmes
10:41.0,,,74-103,3,M. Belinelli makes 3-pt shot from 25 ft (assist by T. McConnell)
10:25.0,M. Georges-Hunt makes 2-pt shot from 16 ft (assist by C. Aldrich),2,76-103,,
10:12.0,,,76-103,,R. Holmes misses 2-pt shot from 21 ft
10:10.0,Defensive rebound by M. Georges-Hunt,,76-103,,
10:02.0,C. Aldrich misses 2-pt shot from 9 ft,,76-103,,
9:57.0,,,76-103,,Defensive rebound by A. Johnson
9:53.0,Personal foul by C. Aldrich (drawn by T. McConnell),,76-103,,
9:53.0,,,76-103,,J. Anderson enters the game for A. Johnson
9:42.0,Personal foul by C. Aldrich (drawn by J. Anderson),,76-103,,
9:36.0,,,76-103,,F. Korkmaz misses 2-pt shot from 16 ft
9:33.0,Defensive rebound by G. Dieng,,76-103,,
9:23.0,G. Dieng makes 2-pt shot from 4 ft (assist by T. Jones),2,78-103,,
9:23.0,,,78-103,,Philadelphia full timeout
9:01.0,,,78-103,,J. Anderson misses 2-pt shot from 7 ft
8:58.0,Defensive rebound by G. Dieng,,78-103,,
8:50.0,C. Aldrich makes 2-pt shot from 7 ft (assist by T. Jones),2,80-103,,
8:33.0,,,80-103,,T. McConnell misses 2-pt shot from 10 ft
8:30.0,Defensive rebound by G. Dieng,,80-103,,
8:22.0,M. Georges-Hunt misses 2-pt shot from 15 ft,,80-103,,
8:17.0,,,80-103,,Defensive rebound by T. McConnell
8:14.0,,,80-103,,Shooting foul by M. Georges-Hunt (drawn by J. Anderson)
8:14.0,,,80-104,1,J. Anderson makes free throw 1 of 2
8:14.0,,,80-104,,E. Ilyasova enters the game for M. Belinelli
8:14.0,,,80-105,1,J. Anderson makes free throw 2 of 2
7:57.0,C. Aldrich makes 2-pt shot from 4 ft (assist by T. Jones),2,82-105,,
7:48.0,,,82-105,,E. Ilyasova misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by M. Georges-Hunt,,82-105,,
7:35.0,A. Brooks misses 3-pt shot from 26 ft (block by F. Korkmaz),,82-105,,
7:32.0,,,82-105,,Defensive rebound by T. McConnell
7:29.0,,,82-105,,Turnover by T. McConnell (bad pass; steal by T. Jones)
7:27.0,Shooting foul by T. McConnell (drawn by C. Aldrich),,82-105,,
7:27.0,C. Aldrich misses free throw 1 of 2,,82-105,,
7:27.0,Offensive rebound by Team,,82-105,,
7:27.0,C. Aldrich misses free throw 2 of 2,,82-105,,
7:24.0,,,82-105,,Defensive rebound by R. Holmes
7:11.0,Violation by C. Aldrich (kicked ball),,82-105,,
6:59.0,,,82-105,,J. Anderson misses 3-pt shot from 28 ft
6:56.0,Defensive rebound by G. Dieng,,82-105,,
6:44.0,A. Brooks misses 2-pt shot from 1 ft (block by T. McConnell),,82-105,,
6:44.0,Offensive rebound by Team,,82-105,,
6:42.0,M. Georges-Hunt misses 2-pt shot from 2 ft (block by J. Anderson),,82-105,,
6:42.0,Offensive rebound by Team,,82-105,,
6:34.0,A. Brooks misses 3-pt shot from 25 ft,,82-105,,
6:31.0,,,82-105,,Defensive rebound by J. Anderson
6:25.0,,,82-108,3,F. Korkmaz makes 3-pt shot from 27 ft (assist by J. Anderson)
6:18.0,M. Georges-Hunt makes 2-pt shot from 2 ft,2,84-108,,
6:02.0,,,84-108,,E. Ilyasova misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by A. Brooks,,84-108,,
5:53.0,G. Dieng makes 2-pt shot from 15 ft (assist by T. Jones),2,86-108,,
5:52.0,,,86-108,,Philadelphia full timeout
5:44.0,Personal foul by A. Brooks (drawn by T. McConnell),,86-108,,
5:44.0,,,86-109,1,T. McConnell makes free throw 1 of 2
5:44.0,,,86-109,,T. McConnell misses free throw 2 of 2
5:42.0,Defensive rebound by C. Aldrich,,86-109,,
5:29.0,A. Brooks makes 3-pt shot from 25 ft (assist by T. Jones),3,89-109,,
5:05.0,,,89-109,,Offensive foul by E. Ilyasova (drawn by M. Georges-Hunt)
5:05.0,,,89-109,,Turnover by E. Ilyasova (offensive foul)
4:57.0,Shooting foul by F. Korkmaz (drawn by A. Brooks),,89-109,,
4:57.0,A. Brooks misses free throw 1 of 3,,89-109,,
4:57.0,Offensive rebound by Team,,89-109,,
4:57.0,A. Brooks makes free throw 2 of 3,1,90-109,,
4:57.0,A. Brooks makes free throw 3 of 3,1,91-109,,
4:37.0,,,91-109,,R. Holmes misses 2-pt shot from 15 ft
4:34.0,Defensive rebound by C. Aldrich,,91-109,,
4:20.0,G. Dieng makes 3-pt shot from 26 ft,3,94-109,,
4:03.0,,,94-111,2,R. Holmes makes 2-pt shot from 13 ft (assist by E. Ilyasova)
3:52.0,A. Brooks misses 2-pt shot from 14 ft,,94-111,,
3:51.0,,,94-111,,Defensive rebound by Team
3:38.0,,,94-111,,F. Korkmaz misses 2-pt shot from 14 ft
3:38.0,Defensive rebound by C. Aldrich,,94-111,,
3:32.0,M. Georges-Hunt makes 2-pt shot from 2 ft,2,96-111,,
3:32.0,Shooting foul by F. Korkmaz (drawn by M. Georges-Hunt),,96-111,,
3:32.0,M. Georges-Hunt makes free throw 1 of 1,1,97-111,,
3:32.0,,,97-111,,Philadelphia full timeout
3:15.0,,,97-111,,Turnover by T. McConnell (bad pass; steal by M. Georges-Hunt)
3:13.0,,,97-111,,Personal foul by T. McConnell (drawn by M. Georges-Hunt)
3:13.0,M. Georges-Hunt makes free throw 1 of 2,1,98-111,,
3:13.0,M. Georges-Hunt makes free throw 2 of 2,1,99-111,,
3:06.0,,,99-111,,Offensive foul by T. McConnell (drawn by A. Brooks)
3:06.0,,,99-111,,Turnover by T. McConnell (offensive foul)
2:58.0,G. Dieng makes 2-pt shot from 7 ft,2,101-111,,
2:39.0,,,101-111,,E. Ilyasova misses 2-pt shot from 3 ft (block by G. Dieng)
2:39.0,,,101-111,,Offensive rebound by Team
2:39.0,,,101-111,,B. Simmons enters the game for J. Anderson
2:39.0,,,101-111,,J. Embiid enters the game for R. Holmes
2:39.0,,,101-111,,R. Covington enters the game for F. Korkmaz
2:39.0,Minnesota full timeout,,101-111,,
2:39.0,,,101-111,,M. Belinelli enters the game for T. McConnell
2:36.0,Personal foul by C. Aldrich (drawn by B. Simmons),,101-111,,
2:36.0,,,101-111,,B. Simmons misses free throw 1 of 2
2:36.0,,,101-111,,Offensive rebound by Team
2:36.0,,,101-112,1,B. Simmons makes free throw 2 of 2
2:21.0,T. Jones makes 2-pt shot from 6 ft,2,103-112,,
2:17.0,Personal foul by C. Aldrich (drawn by B. Simmons),,103-112,,
2:17.0,,,103-113,1,B. Simmons makes free throw 1 of 2
2:17.0,,,103-114,1,B. Simmons makes free throw 2 of 2
2:05.0,T. Jones misses 3-pt shot from 25 ft,,103-114,,
2:01.0,Offensive rebound by A. Brooks,,103-114,,
1:57.0,G. Dieng misses 2-pt shot from 13 ft,,103-114,,
1:57.0,,,103-114,,Defensive rebound by E. Ilyasova
1:35.0,,,103-114,,R. Covington misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by T. Jones,,103-114,,
1:30.0,Shooting foul by M. Belinelli (drawn by M. Georges-Hunt),,103-114,,
1:30.0,M. Georges-Hunt makes free throw 1 of 2,1,104-114,,
1:30.0,M. Georges-Hunt makes free throw 2 of 2,1,105-114,,
1:26.0,Personal foul by A. Brooks (drawn by J. Embiid),,105-114,,
1:26.0,,,105-115,1,J. Embiid makes free throw 1 of 2
1:26.0,,,105-115,,J. Embiid misses free throw 2 of 2
1:24.0,,,105-115,,Offensive rebound by E. Ilyasova
1:24.0,,,105-117,2,E. Ilyasova makes 2-pt shot from 1 ft
1:14.0,A. Brooks makes 3-pt shot from 27 ft (assist by T. Jones),3,108-117,,
1:14.0,,,108-117,,Philadelphia full timeout
1:14.0,,,108-117,,T. McConnell enters the game for J. Embiid
1:06.0,Personal foul by A. Brooks (drawn by M. Belinelli),,108-117,,
1:06.0,,,108-118,1,M. Belinelli makes free throw 1 of 2
1:06.0,,,108-118,,F. Korkmaz enters the game for B. Simmons
1:06.0,,,108-118,,M. Belinelli misses free throw 2 of 2
1:03.0,Defensive rebound by G. Dieng,,108-118,,
0:56.0,G. Dieng misses 2-pt shot from 8 ft,,108-118,,
0:53.0,,,108-118,,Defensive rebound by E. Ilyasova
0:37.0,Personal take foul by G. Dieng (drawn by M. Belinelli),,108-118,,
0:37.0,,,108-119,1,M. Belinelli makes free throw 1 of 2
0:37.0,,,108-120,1,M. Belinelli makes free throw 2 of 2
0:30.0,C. Aldrich misses 2-pt shot from 5 ft,,108-120,,
0:27.0,Offensive rebound by T. Jones,,108-120,,
0:23.0,G. Dieng misses 2-pt shot from 20 ft,,108-120,,
0:21.0,,,108-120,,Defensive rebound by F. Korkmaz
