time,Milwaukee,pts.away,score,pts.home,Utah
1:57.0,G. Payton enters the game for G. Antetokounmpo,,106-120,,
1:33.0,T. Maker misses 3-pt shot from 22 ft,,106-120,,
1:32.0,Offensive rebound by Team,,106-120,,
1:32.0,Turnover by Team (shot clock),,106-120,,
1:32.0,,,106-120,,R. Neto enters the game for R. Rubio
1:32.0,,,106-120,,T. Bradley enters the game for R. Hood
1:32.0,,,106-120,,R. O'Neale enters the game for D. Favors
1:22.0,,,106-120,,D. Mitchell misses 3-pt shot from 26 ft
1:18.0,Defensive rebound by S. Brown,,106-120,,
1:01.0,R. Vaughn misses 3-pt shot from 28 ft,,106-120,,
0:58.0,Offensive rebound by Team,,106-120,,
0:58.0,,,106-120,,Loose ball foul by R. O'Neale (drawn by J. Bolomboy)
0:58.0,J. Bolomboy makes free throw 1 of 2,1,107-120,,
0:58.0,,,107-120,,A. Burks enters the game for D. Mitchell
0:58.0,J. Bolomboy makes free throw 2 of 2,1,108-120,,
0:47.0,,,108-120,,T. Bradley misses 2-pt shot from 10 ft
0:45.0,Defensive rebound by J. Bolomboy,,108-120,,
0:32.0,S. Brown misses 2-pt shot from 11 ft,,108-120,,
0:28.0,,,108-120,,Defensive rebound by R. O'Neale
0:27.0,Personal foul by S. Brown (drawn by R. O'Neale),,108-120,,
0:27.0,,,108-121,1,R. O'Neale makes free throw 1 of 2
0:27.0,,,108-121,,R. O'Neale misses free throw 2 of 2
0:25.0,Defensive rebound by G. Payton,,108-121,,
0:03.0,T. Maker misses 2-pt shot from 10 ft,,108-121,,
0:00.0,,,108-121,,Defensive rebound by T. Bradley
