time,Portland,pts.away,score,pts.home,Houston
1:47.0,G. Papagiannis makes 2-pt shot at rim,2,86-94,,
1:39.0,,,86-94,,Turnover by J. Harden (bad pass; steal by G. Papagiannis)
1:34.0,C. Swanigan makes 2-pt shot from 21 ft (assist by J. Layman),2,88-94,,
1:34.0,,,88-94,,Houston full timeout
1:34.0,,,88-94,,C. Capela enters the game for G. Green
1:34.0,,,88-94,,C. Paul enters the game for T. Black
1:17.0,,,88-94,,T. Ariza misses 3-pt shot from 23 ft
1:14.0,,,88-94,,Offensive rebound by P. Tucker
0:58.0,,,88-94,,Turnover by J. Harden (bad pass; steal by G. Papagiannis)
0:50.0,J. Layman makes 2-pt shot from 17 ft (assist by W. Baldwin),2,90-94,,
0:34.0,,,90-94,,Turnover by C. Paul (lost ball; steal by P. Connaughton)
0:31.0,J. Layman makes 2-pt shot from 1 ft,2,92-94,,
0:13.0,,,92-94,,Shooting foul by P. Connaughton (drawn by J. Harden)
0:13.0,,,92-94,,J. Harden misses free throw 1 of 2
0:13.0,,,92-94,,Offensive rebound by Team
0:13.0,C. McCollum enters the game for G. Papagiannis,,92-94,,
0:13.0,,,92-94,,J. Harden misses free throw 2 of 2
0:11.0,Defensive rebound by C. Swanigan,,92-94,,
0:06.0,P. Connaughton makes 2-pt shot from 1 ft,2,94-94,,
0:06.0,,,94-94,,Houston full timeout
0:06.0,,,94-94,,G. Green enters the game for P. Tucker
0:00.0,,,94-96,2,C. Paul makes 2-pt shot from 3 ft
0:00.0,Portland full timeout,,94-96,,
0:00.0,,,94-96,,P. Tucker enters the game for C. Paul
0:00.0,,,94-96,,L. Mbah a Moute enters the game for G. Green
0:00.0,C. McCollum misses 3-pt shot from 29 ft,,94-96,,
0:00.0,Offensive rebound by Team,,94-96,,
