time,LA Clippers,pts.away,score,pts.home,Brooklyn
2:46.0,,,110-97,,I. Whitehead enters the game for S. Dinwiddie
2:46.0,,,110-97,,J. Okafor enters the game for D. Carroll
2:46.0,,,110-97,,J. Webb enters the game for J. Allen
2:46.0,,,110-97,,N. Stauskas enters the game for A. Crabbe
2:46.0,S. Thornwell enters the game for A. Bradley,,110-97,,
2:46.0,W. Johnson enters the game for L. Williams,,110-97,,
2:29.0,,,110-99,2,J. Okafor makes 2-pt shot from 10 ft
2:26.0,LA Clippers full timeout,,110-99,,
2:26.0,D. Gallinari enters the game for S. Thornwell,,110-99,,
2:26.0,L. Williams enters the game for W. Johnson,,110-99,,
2:05.0,D. Jordan makes 2-pt shot from 2 ft (assist by A. Rivers),2,112-99,,
1:39.0,,,112-99,,I. Whitehead misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by D. Jordan,,112-99,,
1:16.0,A. Rivers misses 2-pt shot from 3 ft,,112-99,,
1:14.0,,,112-99,,Defensive rebound by N. Stauskas
1:07.0,,,112-99,,J. Webb misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by T. Harris,,112-99,,
0:45.0,L. Williams misses 3-pt shot from 26 ft,,112-99,,
0:42.0,,,112-99,,Defensive rebound by J. Webb
0:35.0,,,112-101,2,I. Whitehead makes 2-pt shot from 5 ft
0:14.0,A. Rivers makes 2-pt shot from 4 ft,2,114-101,,
