time,Denver,pts.away,score,pts.home,Miami
2:28.0,P. Millsap misses free throw 2 of 2,,114-115,,
2:26.0,,,114-115,,Defensive rebound by J. Richardson
2:09.0,,,114-115,,J. Richardson misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by N. Jokic,,114-115,,
1:45.0,W. Barton misses 2-pt shot from 13 ft,,114-115,,
1:42.0,,,114-115,,Defensive rebound by K. Olynyk
1:29.0,,,114-115,,G. Dragic misses 2-pt shot from 15 ft
1:26.0,Defensive rebound by N. Jokic,,114-115,,
1:18.0,W. Barton misses 2-pt shot from 2 ft,,114-115,,
1:16.0,Offensive rebound by W. Barton,,114-115,,
1:16.0,W. Barton misses 2-pt shot at rim,,114-115,,
1:16.0,Offensive rebound by N. Jokic,,114-115,,
1:16.0,Shooting foul by G. Dragic (drawn by N. Jokic),,114-115,,
1:16.0,N. Jokic makes free throw 1 of 2,1,115-115,,
1:16.0,N. Jokic makes free throw 2 of 2,1,116-115,,
0:54.0,,,116-115,,J. Johnson misses 3-pt shot from 23 ft
0:52.0,,,116-115,,Offensive rebound by G. Dragic
0:52.0,,,116-115,,Miami full timeout
0:52.0,D. Harris enters the game for N. Jokic,,116-115,,
0:52.0,M. Plumlee enters the game for J. Murray,,116-115,,
0:42.0,Personal foul by W. Chandler (drawn by J. Richardson),,116-115,,
0:34.0,,,116-115,,Shooting foul by M. Plumlee (drawn by G. Dragic)
0:34.0,,,116-116,1,G. Dragic makes free throw 1 of 2
0:34.0,,,116-117,1,G. Dragic makes free throw 2 of 2
0:34.0,Denver full timeout,,116-117,,
0:34.0,,,116-117,,J. Winslow enters the game for W. Ellington
0:34.0,,,116-117,,T. Johnson enters the game for G. Dragic
0:34.0,,,116-117,,B. Adebayo enters the game for K. Olynyk
0:34.0,N. Jokic enters the game for D. Harris,,116-117,,
0:34.0,J. Murray enters the game for M. Plumlee,,116-117,,
0:28.0,N. Jokic misses 2-pt shot from 6 ft,,116-117,,
0:26.0,,,116-117,,Defensive rebound by B. Adebayo
0:26.0,Personal foul by N. Jokic (drawn by B. Adebayo),,116-117,,
0:26.0,,,116-117,,B. Adebayo misses free throw 1 of 2
0:26.0,,,116-117,,Offensive rebound by Team
0:26.0,,,116-118,1,B. Adebayo makes free throw 2 of 2
0:26.0,Denver full timeout,,116-118,,
0:11.0,J. Murray misses 2-pt shot from 1 ft,,116-118,,
0:10.0,Offensive rebound by N. Jokic,,116-118,,
0:10.0,N. Jokic makes 2-pt shot at rim,2,118-118,,
0:10.0,,,118-118,,Miami full timeout
0:10.0,,,118-118,,W. Ellington enters the game for J. Johnson
0:10.0,,,118-118,,G. Dragic enters the game for J. Winslow
0:10.0,,,118-118,,K. Olynyk enters the game for B. Adebayo
0:00.0,,,118-118,,J. Richardson misses 2-pt shot from 7 ft
0:00.0,,,118-118,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: K. Olynyk vs. N. Jokic (P. Millsap gains possession),,,,Jump ball: K. Olynyk vs. N. Jokic (P. Millsap gains possession)
4:43.0,W. Chandler misses 2-pt shot from 12 ft,,118-118,,
4:41.0,,,118-118,,Defensive rebound by J. Richardson
4:30.0,,,118-120,2,K. Olynyk makes 2-pt shot from 22 ft (assist by G. Dragic)
4:15.0,N. Jokic misses 3-pt shot from 25 ft,,118-120,,
4:13.0,,,118-120,,Defensive rebound by G. Dragic
3:51.0,,,118-122,2,J. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk)
3:31.0,W. Chandler misses 2-pt shot at rim,,118-122,,
3:29.0,Offensive rebound by N. Jokic,,118-122,,
3:29.0,N. Jokic misses 2-pt shot at rim (block by J. Richardson),,118-122,,
3:28.0,Offensive rebound by Team,,118-122,,
3:19.0,N. Jokic makes 3-pt shot from 24 ft (assist by J. Murray),3,121-122,,
2:59.0,,,121-122,,Shooting foul by W. Chandler (drawn by J. Johnson)
2:59.0,,,121-123,1,J. Johnson makes free throw 1 of 2
2:59.0,,,121-123,,J. Johnson misses free throw 2 of 2
2:58.0,Defensive rebound by N. Jokic,,121-123,,
2:37.0,J. Murray makes 3-pt shot from 25 ft,3,124-123,,
2:24.0,,,124-125,2,K. Olynyk makes 2-pt shot from 3 ft
2:24.0,,,124-125,,Shooting foul by N. Jokic (drawn by K. Olynyk)
2:24.0,,,124-126,1,K. Olynyk makes free throw 1 of 1
2:05.0,Shooting foul by J. Johnson (drawn by N. Jokic),,124-126,,
2:05.0,N. Jokic makes free throw 1 of 2,1,125-126,,
2:05.0,N. Jokic makes free throw 2 of 2,1,126-126,,
1:46.0,,,126-129,3,J. Johnson makes 3-pt shot from 22 ft
1:33.0,W. Barton makes 3-pt shot from 25 ft (assist by J. Murray),3,129-129,,
1:18.0,,,129-131,2,J. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk)
1:18.0,Denver full timeout,,129-131,,
1:12.0,,,129-131,,Personal foul by W. Ellington (drawn by W. Barton)
0:59.0,Shooting foul by J. Johnson (drawn by J. Murray),,129-131,,
0:59.0,J. Murray makes free throw 1 of 2,1,130-131,,
0:59.0,J. Murray makes free throw 2 of 2,1,131-131,,
0:42.0,,,131-131,,Turnover by J. Richardson (lost ball; steal by W. Chandler)
0:25.0,J. Murray misses 2-pt shot from 18 ft (block by J. Richardson),,131-131,,
0:23.0,Offensive rebound by Team,,131-131,,
0:23.0,Denver full timeout,,131-131,,
0:23.0,,,131-131,,T. Johnson enters the game for W. Ellington
0:23.0,,,131-131,,B. Adebayo enters the game for G. Dragic
0:23.0,,,131-131,,J. Winslow enters the game for K. Olynyk
0:21.0,W. Chandler misses 3-pt shot from 24 ft,,131-131,,
0:19.0,,,131-131,,Defensive rebound by J. Johnson
0:13.0,,,131-131,,Miami full timeout
0:13.0,,,131-131,,G. Dragic enters the game for T. Johnson
0:13.0,,,131-131,,W. Ellington enters the game for B. Adebayo
0:13.0,,,131-131,,K. Olynyk enters the game for J. Winslow
0:13.0,M. Plumlee enters the game for N. Jokic,,131-131,,
0:13.0,D. Harris enters the game for J. Murray,,131-131,,
0:00.0,,,131-131,,J. Johnson misses 2-pt shot from 6 ft
0:00.0,,,131-131,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: K. Olynyk vs. N. Jokic (G. Dragic gains possession),,,,Jump ball: K. Olynyk vs. N. Jokic (G. Dragic gains possession)
4:41.0,,,131-134,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Richardson)
4:12.0,J. Murray misses 3-pt shot from 24 ft,,131-134,,
4:12.0,,,131-134,,Defensive rebound by J. Richardson
3:50.0,Personal foul by P. Millsap (drawn by G. Dragic),,131-134,,
3:39.0,,,131-134,,Turnover by K. Olynyk (lost ball; steal by P. Millsap)
3:35.0,,,131-134,,Personal foul by G. Dragic (drawn by J. Murray)
3:26.0,Offensive foul by N. Jokic (drawn by K. Olynyk),,131-134,,
3:26.0,Turnover by N. Jokic (offensive foul),,131-134,,
3:10.0,,,131-136,2,J. Johnson makes 2-pt shot from 2 ft
3:09.0,Denver full timeout,,131-136,,
3:02.0,J. Murray makes 3-pt shot from 25 ft (assist by W. Barton),3,134-136,,
2:42.0,,,134-139,3,J. Johnson makes 3-pt shot from 23 ft (assist by K. Olynyk)
2:20.0,W. Barton misses 3-pt shot from 22 ft,,134-139,,
2:17.0,,,134-139,,Defensive rebound by G. Dragic
2:00.0,,,134-139,,W. Ellington misses 3-pt shot from 25 ft
1:57.0,Defensive rebound by N. Jokic,,134-139,,
1:51.0,,,134-139,,Personal foul by G. Dragic (drawn by J. Murray)
1:49.0,W. Barton misses 3-pt shot from 23 ft,,134-139,,
1:46.0,,,134-139,,Defensive rebound by K. Olynyk
1:37.0,,,134-139,,Miami full timeout
1:24.0,,,134-142,3,J. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic)
1:10.0,Shooting foul by J. Richardson (drawn by J. Murray),,134-142,,
1:10.0,J. Murray misses free throw 1 of 3,,134-142,,
1:10.0,Offensive rebound by Team,,134-142,,
1:10.0,J. Murray makes free throw 2 of 3,1,135-142,,
1:10.0,M. Plumlee enters the game for N. Jokic,,135-142,,
1:10.0,J. Murray makes free throw 3 of 3,1,136-142,,
0:52.0,,,136-144,2,J. Johnson makes 2-pt shot at rim
0:52.0,Denver full timeout,,136-144,,
0:52.0,N. Jokic enters the game for M. Plumlee,,136-144,,
0:48.0,Turnover by N. Jokic (bad pass),,136-144,,
0:48.0,M. Plumlee enters the game for N. Jokic,,136-144,,
0:40.0,Personal foul by W. Chandler (drawn by G. Dragic),,136-144,,
0:37.0,Personal foul by W. Chandler (drawn by G. Dragic),,136-144,,
0:37.0,,,136-145,1,G. Dragic makes free throw 1 of 2
0:37.0,N. Jokic enters the game for M. Plumlee,,136-145,,
0:37.0,,,136-146,1,G. Dragic makes free throw 2 of 2
0:33.0,W. Barton makes 2-pt shot from 1 ft,2,138-146,,
0:30.0,Personal foul by W. Barton (drawn by W. Ellington),,138-146,,
0:30.0,,,138-147,1,W. Ellington makes free throw 1 of 2
0:30.0,,,138-147,,W. Ellington misses free throw 2 of 2
0:30.0,Defensive rebound by N. Jokic,,138-147,,
0:22.0,J. Murray misses 3-pt shot from 25 ft,,138-147,,
0:20.0,Offensive rebound by P. Millsap,,138-147,,
0:15.0,N. Jokic makes 3-pt shot from 25 ft,3,141-147,,
0:08.0,Personal foul by W. Barton (drawn by G. Dragic),,141-147,,
0:08.0,,,141-149,1,G. Dragic makes free throw 1 of 2
0:08.0,,,141-149,1,G. Dragic makes free throw 2 of 2
0:03.0,N. Jokic misses 2-pt shot from 21 ft,,141-149,,
0:02.0,,,141-149,,Defensive rebound by W. Ellington
