time,San Antonio,pts.away,score,pts.home,LA Lakers
1:26.0,,,105-106,,K. Kuzma misses 2-pt shot from 3 ft
1:21.0,Defensive rebound by R. Gay,,105-106,,
1:02.0,Shooting foul by T. Ennis (drawn by D. Murray),,105-106,,
1:02.0,D. Murray makes free throw 1 of 2,1,106-106,,
1:02.0,D. Murray misses free throw 2 of 2,,106-106,,
1:00.0,,,106-106,,Defensive rebound by I. Zubac
0:43.0,,,106-108,2,T. Ennis makes 2-pt shot from 3 ft
0:23.0,D. Murray makes 2-pt shot from 5 ft,2,108-108,,
0:04.0,Personal foul by K. Anderson (drawn by K. Kuzma),,108-108,,
0:04.0,,,108-108,,LA Lakers full timeout
0:04.0,,,108-108,,K. Caldwell-Pope enters the game for T. Ennis
0:04.0,D. Green enters the game for R. Gay,,108-108,,
0:00.0,,,108-108,,J. Hart misses 2-pt shot from 2 ft
0:00.0,,,108-108,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: I. Zubac vs. L. Aldridge (D. Murray gains possession),,,,Jump ball: I. Zubac vs. L. Aldridge (D. Murray gains possession)
4:41.0,D. Murray misses 2-pt shot from 9 ft,,108-108,,
4:38.0,,,108-108,,Defensive rebound by K. Kuzma
4:24.0,,,108-111,3,K. Kuzma makes 3-pt shot from 27 ft (assist by J. Hart)
4:07.0,P. Mills misses 2-pt shot from 21 ft,,108-111,,
4:04.0,,,108-111,,Defensive rebound by K. Caldwell-Pope
3:54.0,,,108-113,2,K. Kuzma makes 2-pt shot from 8 ft
3:26.0,D. Green misses 3-pt shot from 23 ft,,108-113,,
3:23.0,,,108-113,,Defensive rebound by J. Hart
3:11.0,,,108-113,,K. Kuzma misses 2-pt shot from 10 ft
3:08.0,Defensive rebound by L. Aldridge,,108-113,,
2:58.0,Turnover by L. Aldridge (bad pass; steal by J. Hart),,108-113,,
2:55.0,,,108-113,,Shooting foul by D. Green (drawn by J. Hart)
2:55.0,,,108-114,1,J. Hart makes free throw 1 of 2
2:55.0,R. Gay enters the game for K. Anderson,,108-114,,
2:55.0,,,108-114,,J. Hart misses free throw 2 of 2
2:52.0,Defensive rebound by R. Gay,,108-114,,
2:40.0,P. Mills makes 2-pt shot from 16 ft,2,110-114,,
2:33.0,,,110-114,,LA Lakers full timeout
2:21.0,,,110-114,,T. Ennis misses 3-pt shot from 26 ft (block by D. Green)
2:16.0,Defensive rebound by D. Murray,,110-114,,
2:02.0,D. Green misses 2-pt shot from 14 ft,,110-114,,
2:00.0,,,110-114,,Defensive rebound by J. Hart
1:40.0,,,110-114,,J. Hart misses 3-pt shot from 28 ft (block by D. Murray)
1:39.0,,,110-114,,Offensive rebound by Team
1:39.0,,,110-114,,Turnover by Team (shot clock)
1:23.0,Offensive charge foul by R. Gay (drawn by J. Hart),,110-114,,
1:23.0,Turnover by R. Gay (offensive foul),,110-114,,
1:11.0,,,110-117,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by I. Zubac)
1:00.0,D. Green misses 3-pt shot from 26 ft,,110-117,,
0:56.0,,,110-117,,Defensive rebound by K. Kuzma
0:55.0,Personal foul by D. Murray (drawn by K. Kuzma),,110-117,,
0:41.0,,,110-117,,Shooting foul by D. Green (drawn by K. Kuzma)
0:41.0,,,110-117,,K. Kuzma misses free throw 1 of 2
0:41.0,,,110-117,,Offensive rebound by Team
0:41.0,,,110-118,1,K. Kuzma makes free throw 2 of 2
0:37.0,D. Murray makes 2-pt shot from 5 ft,2,112-118,,
0:33.0,Personal take foul by D. Murray (drawn by J. Hart),,112-118,,
0:33.0,,,112-119,1,J. Hart makes free throw 1 of 2
0:33.0,,,112-120,1,J. Hart makes free throw 2 of 2
0:33.0,San Antonio full timeout,,112-120,,
0:33.0,,,112-120,,A. Caruso enters the game for I. Zubac
0:33.0,K. Anderson enters the game for R. Gay,,112-120,,
0:21.0,P. Mills misses 3-pt shot from 24 ft,,112-120,,
0:19.0,,,112-120,,Defensive rebound by K. Caldwell-Pope
0:18.0,Personal take foul by P. Mills (drawn by K. Caldwell-Pope),,112-120,,
0:18.0,,,112-121,1,K. Caldwell-Pope makes free throw 1 of 2
0:18.0,,,112-122,1,K. Caldwell-Pope makes free throw 2 of 2
0:15.0,Turnover by D. Murray (bad pass),,112-122,,
